"","site","year","doy","smooth_gcc_90","annual_temp","annual_precip","map","mat"
"1","NEON.D05.UNDE.DP1.00033",2017,1,0.325,4.45731506849315,1037.49,1037.49,4.45731506849315
"2","NEON.D05.UNDE.DP1.00033",2017,2,0.32514,4.45731506849315,1037.49,1037.49,4.45731506849315
"3","NEON.D05.UNDE.DP1.00033",2017,3,0.32534,4.45731506849315,1037.49,1037.49,4.45731506849315
"4","NEON.D05.UNDE.DP1.00033",2017,4,0.32555,4.45731506849315,1037.49,1037.49,4.45731506849315
"5","NEON.D05.UNDE.DP1.00033",2017,5,0.32566,4.45731506849315,1037.49,1037.49,4.45731506849315
"6","NEON.D05.UNDE.DP1.00033",2017,6,0.32549,4.45731506849315,1037.49,1037.49,4.45731506849315
"7","NEON.D05.UNDE.DP1.00033",2017,7,0.32533,4.45731506849315,1037.49,1037.49,4.45731506849315
"8","NEON.D05.UNDE.DP1.00033",2017,8,0.32544,4.45731506849315,1037.49,1037.49,4.45731506849315
"9","NEON.D05.UNDE.DP1.00033",2017,9,0.32562,4.45731506849315,1037.49,1037.49,4.45731506849315
"10","NEON.D05.UNDE.DP1.00033",2017,10,0.32586,4.45731506849315,1037.49,1037.49,4.45731506849315
"11","NEON.D05.UNDE.DP1.00033",2017,11,0.32619,4.45731506849315,1037.49,1037.49,4.45731506849315
"12","NEON.D05.UNDE.DP1.00033",2017,12,0.32653,4.45731506849315,1037.49,1037.49,4.45731506849315
"13","NEON.D05.UNDE.DP1.00033",2017,13,0.32673,4.45731506849315,1037.49,1037.49,4.45731506849315
"14","NEON.D05.UNDE.DP1.00033",2017,14,0.32694,4.45731506849315,1037.49,1037.49,4.45731506849315
"15","NEON.D05.UNDE.DP1.00033",2017,15,0.32746,4.45731506849315,1037.49,1037.49,4.45731506849315
"16","NEON.D05.UNDE.DP1.00033",2017,16,0.32787,4.45731506849315,1037.49,1037.49,4.45731506849315
"17","NEON.D05.UNDE.DP1.00033",2017,17,0.32818,4.45731506849315,1037.49,1037.49,4.45731506849315
"18","NEON.D05.UNDE.DP1.00033",2017,18,0.32829,4.45731506849315,1037.49,1037.49,4.45731506849315
"19","NEON.D05.UNDE.DP1.00033",2017,19,0.32833,4.45731506849315,1037.49,1037.49,4.45731506849315
"20","NEON.D05.UNDE.DP1.00033",2017,20,0.32841,4.45731506849315,1037.49,1037.49,4.45731506849315
"21","NEON.D05.UNDE.DP1.00033",2017,21,0.32826,4.45731506849315,1037.49,1037.49,4.45731506849315
"22","NEON.D05.UNDE.DP1.00033",2017,22,0.32801,4.45731506849315,1037.49,1037.49,4.45731506849315
"23","NEON.D05.UNDE.DP1.00033",2017,23,0.32785,4.45731506849315,1037.49,1037.49,4.45731506849315
"24","NEON.D05.UNDE.DP1.00033",2017,24,0.32757,4.45731506849315,1037.49,1037.49,4.45731506849315
"25","NEON.D05.UNDE.DP1.00033",2017,25,0.32687,4.45731506849315,1037.49,1037.49,4.45731506849315
"26","NEON.D05.UNDE.DP1.00033",2017,26,0.32609,4.45731506849315,1037.49,1037.49,4.45731506849315
"27","NEON.D05.UNDE.DP1.00033",2017,27,0.32535,4.45731506849315,1037.49,1037.49,4.45731506849315
"28","NEON.D05.UNDE.DP1.00033",2017,28,0.32469,4.45731506849315,1037.49,1037.49,4.45731506849315
