"","site","year","doy","smooth_gcc_90","annual_temp","annual_precip","map","mat"
"1","NEON.D06.KING.DP1.20002",2017,1,0.33936,13.6064794520548,779.98,779.98,13.6064794520548
"2","NEON.D06.KING.DP1.20002",2017,2,0.33941,13.6064794520548,779.98,779.98,13.6064794520548
"3","NEON.D06.KING.DP1.20002",2017,3,0.33942,13.6064794520548,779.98,779.98,13.6064794520548
"4","NEON.D06.KING.DP1.20002",2017,4,0.33945,13.6064794520548,779.98,779.98,13.6064794520548
"5","NEON.D06.KING.DP1.20002",2017,5,0.33943,13.6064794520548,779.98,779.98,13.6064794520548
"6","NEON.D06.KING.DP1.20002",2017,6,0.33939,13.6064794520548,779.98,779.98,13.6064794520548
"7","NEON.D06.KING.DP1.20002",2017,7,0.33934,13.6064794520548,779.98,779.98,13.6064794520548
"8","NEON.D06.KING.DP1.20002",2017,8,0.33932,13.6064794520548,779.98,779.98,13.6064794520548
"9","NEON.D06.KING.DP1.20002",2017,9,0.33931,13.6064794520548,779.98,779.98,13.6064794520548
"10","NEON.D06.KING.DP1.20002",2017,10,0.3391,13.6064794520548,779.98,779.98,13.6064794520548
"11","NEON.D06.KING.DP1.20002",2017,11,0.33838,13.6064794520548,779.98,779.98,13.6064794520548
"12","NEON.D06.KING.DP1.20002",2017,12,0.33764,13.6064794520548,779.98,779.98,13.6064794520548
"13","NEON.D06.KING.DP1.20002",2017,13,0.33711,13.6064794520548,779.98,779.98,13.6064794520548
"14","NEON.D06.KING.DP1.20002",2017,14,0.33656,13.6064794520548,779.98,779.98,13.6064794520548
"15","NEON.D06.KING.DP1.20002",2017,15,0.33627,13.6064794520548,779.98,779.98,13.6064794520548
"16","NEON.D06.KING.DP1.20002",2017,16,0.33634,13.6064794520548,779.98,779.98,13.6064794520548
"17","NEON.D06.KING.DP1.20002",2017,17,0.33653,13.6064794520548,779.98,779.98,13.6064794520548
"18","NEON.D06.KING.DP1.20002",2017,18,0.33706,13.6064794520548,779.98,779.98,13.6064794520548
"19","NEON.D06.KING.DP1.20002",2017,19,0.33791,13.6064794520548,779.98,779.98,13.6064794520548
"20","NEON.D06.KING.DP1.20002",2017,20,0.33857,13.6064794520548,779.98,779.98,13.6064794520548
"21","NEON.D06.KING.DP1.20002",2017,21,0.33908,13.6064794520548,779.98,779.98,13.6064794520548
"22","NEON.D06.KING.DP1.20002",2017,22,0.3395,13.6064794520548,779.98,779.98,13.6064794520548
"23","NEON.D06.KING.DP1.20002",2017,23,0.33946,13.6064794520548,779.98,779.98,13.6064794520548
"24","NEON.D06.KING.DP1.20002",2017,24,0.33917,13.6064794520548,779.98,779.98,13.6064794520548
"25","NEON.D06.KING.DP1.20002",2017,25,0.33899,13.6064794520548,779.98,779.98,13.6064794520548
"26","NEON.D06.KING.DP1.20002",2017,26,0.33901,13.6064794520548,779.98,779.98,13.6064794520548
"27","NEON.D06.KING.DP1.20002",2017,27,0.33902,13.6064794520548,779.98,779.98,13.6064794520548
"28","NEON.D06.KING.DP1.20002",2017,28,0.33896,13.6064794520548,779.98,779.98,13.6064794520548
"29","NEON.D06.KING.DP1.20002",2017,29,0.33889,13.6064794520548,779.98,779.98,13.6064794520548
"30","NEON.D06.KING.DP1.20002",2017,30,0.33885,13.6064794520548,779.98,779.98,13.6064794520548
"31","NEON.D06.KING.DP1.20002",2017,31,0.33888,13.6064794520548,779.98,779.98,13.6064794520548
"32","NEON.D06.KING.DP1.20002",2017,32,0.33892,13.6064794520548,779.98,779.98,13.6064794520548
"33","NEON.D06.KING.DP1.20002",2017,33,0.33889,13.6064794520548,779.98,779.98,13.6064794520548
"34","NEON.D06.KING.DP1.20002",2017,34,0.33883,13.6064794520548,779.98,779.98,13.6064794520548
"35","NEON.D06.KING.DP1.20002",2017,35,0.33882,13.6064794520548,779.98,779.98,13.6064794520548
"36","NEON.D06.KING.DP1.20002",2017,36,0.3389,13.6064794520548,779.98,779.98,13.6064794520548
"37","NEON.D06.KING.DP1.20002",2017,37,0.33902,13.6064794520548,779.98,779.98,13.6064794520548
"38","NEON.D06.KING.DP1.20002",2017,38,0.33915,13.6064794520548,779.98,779.98,13.6064794520548
"39","NEON.D06.KING.DP1.20002",2017,39,0.33931,13.6064794520548,779.98,779.98,13.6064794520548
"40","NEON.D06.KING.DP1.20002",2017,40,0.33944,13.6064794520548,779.98,779.98,13.6064794520548
"41","NEON.D06.KING.DP1.20002",2017,41,0.33948,13.6064794520548,779.98,779.98,13.6064794520548
"42","NEON.D06.KING.DP1.20002",2017,42,0.33955,13.6064794520548,779.98,779.98,13.6064794520548
"43","NEON.D06.KING.DP1.20002",2017,43,0.3398,13.6064794520548,779.98,779.98,13.6064794520548
"44","NEON.D06.KING.DP1.20002",2017,44,0.34012,13.6064794520548,779.98,779.98,13.6064794520548
"45","NEON.D06.KING.DP1.20002",2017,45,0.34043,13.6064794520548,779.98,779.98,13.6064794520548
"46","NEON.D06.KING.DP1.20002",2017,46,0.34067,13.6064794520548,779.98,779.98,13.6064794520548
"47","NEON.D06.KING.DP1.20002",2017,47,0.34092,13.6064794520548,779.98,779.98,13.6064794520548
"48","NEON.D06.KING.DP1.20002",2017,48,0.34132,13.6064794520548,779.98,779.98,13.6064794520548
"49","NEON.D06.KING.DP1.20002",2017,49,0.34171,13.6064794520548,779.98,779.98,13.6064794520548
"50","NEON.D06.KING.DP1.20002",2017,50,0.34195,13.6064794520548,779.98,779.98,13.6064794520548
"51","NEON.D06.KING.DP1.20002",2017,51,0.34216,13.6064794520548,779.98,779.98,13.6064794520548
