"","site","year","doy","smooth_gcc_90","annual_temp","annual_precip","map","mat"
"1","arsgreatbasinltar098",2022,1,0.34053,8.41913698630137,425.88,438.875,8.42437671232877
"2","arsgreatbasinltar098",2022,2,0.34046,8.41913698630137,425.88,438.875,8.42437671232877
"3","arsgreatbasinltar098",2022,3,0.34033,8.41913698630137,425.88,438.875,8.42437671232877
"4","arsgreatbasinltar098",2022,4,0.34007,8.41913698630137,425.88,438.875,8.42437671232877
"5","arsgreatbasinltar098",2022,5,0.33979,8.41913698630137,425.88,438.875,8.42437671232877
"6","arsgreatbasinltar098",2022,6,0.33953,8.41913698630137,425.88,438.875,8.42437671232877
"7","arsgreatbasinltar098",2022,7,0.33942,8.41913698630137,425.88,438.875,8.42437671232877
"8","arsgreatbasinltar098",2022,8,0.3394,8.41913698630137,425.88,438.875,8.42437671232877
"9","arsgreatbasinltar098",2022,9,0.33957,8.41913698630137,425.88,438.875,8.42437671232877
"10","arsgreatbasinltar098",2022,10,0.33955,8.41913698630137,425.88,438.875,8.42437671232877
"11","arsgreatbasinltar098",2022,11,0.33958,8.41913698630137,425.88,438.875,8.42437671232877
"12","arsgreatbasinltar098",2022,12,0.33986,8.41913698630137,425.88,438.875,8.42437671232877
"13","arsgreatbasinltar098",2022,13,0.34029,8.41913698630137,425.88,438.875,8.42437671232877
"14","arsgreatbasinltar098",2022,14,0.34072,8.41913698630137,425.88,438.875,8.42437671232877
"15","arsgreatbasinltar098",2022,15,0.34113,8.41913698630137,425.88,438.875,8.42437671232877
"16","arsgreatbasinltar098",2022,16,0.34142,8.41913698630137,425.88,438.875,8.42437671232877
"17","arsgreatbasinltar098",2022,17,0.34135,8.41913698630137,425.88,438.875,8.42437671232877
"18","arsgreatbasinltar098",2022,18,0.34093,8.41913698630137,425.88,438.875,8.42437671232877
"19","arsgreatbasinltar098",2022,19,0.34041,8.41913698630137,425.88,438.875,8.42437671232877
"20","arsgreatbasinltar098",2022,20,0.33995,8.41913698630137,425.88,438.875,8.42437671232877
"21","arsgreatbasinltar098",2022,21,0.33973,8.41913698630137,425.88,438.875,8.42437671232877
"22","arsgreatbasinltar098",2022,22,0.33965,8.41913698630137,425.88,438.875,8.42437671232877
"23","arsgreatbasinltar098",2022,23,0.33979,8.41913698630137,425.88,438.875,8.42437671232877
"24","arsgreatbasinltar098",2022,24,0.34003,8.41913698630137,425.88,438.875,8.42437671232877
"25","arsgreatbasinltar098",2022,25,0.34031,8.41913698630137,425.88,438.875,8.42437671232877
"26","arsgreatbasinltar098",2022,26,0.3406,8.41913698630137,425.88,438.875,8.42437671232877
"27","arsgreatbasinltar098",2022,27,0.34086,8.41913698630137,425.88,438.875,8.42437671232877
"28","arsgreatbasinltar098",2022,28,0.34097,8.41913698630137,425.88,438.875,8.42437671232877
"29","arsgreatbasinltar098",2022,29,0.34106,8.41913698630137,425.88,438.875,8.42437671232877
"30","arsgreatbasinltar098",2022,30,0.34109,8.41913698630137,425.88,438.875,8.42437671232877
"31","arsgreatbasinltar098",2022,31,0.34098,8.41913698630137,425.88,438.875,8.42437671232877
"32","arsgreatbasinltar098",2022,32,0.34087,8.41913698630137,425.88,438.875,8.42437671232877
"33","arsgreatbasinltar098",2022,33,0.34085,8.41913698630137,425.88,438.875,8.42437671232877
"34","arsgreatbasinltar098",2022,34,0.34093,8.41913698630137,425.88,438.875,8.42437671232877
"35","arsgreatbasinltar098",2022,35,0.34099,8.41913698630137,425.88,438.875,8.42437671232877
"36","arsgreatbasinltar098",2022,36,0.34105,8.41913698630137,425.88,438.875,8.42437671232877
"37","arsgreatbasinltar098",2022,37,0.34105,8.41913698630137,425.88,438.875,8.42437671232877
"38","arsgreatbasinltar098",2022,38,0.34073,8.41913698630137,425.88,438.875,8.42437671232877
"39","arsgreatbasinltar098",2022,39,0.34038,8.41913698630137,425.88,438.875,8.42437671232877
"40","arsgreatbasinltar098",2022,40,0.34007,8.41913698630137,425.88,438.875,8.42437671232877
"41","arsgreatbasinltar098",2022,41,0.34009,8.41913698630137,425.88,438.875,8.42437671232877
"42","arsgreatbasinltar098",2022,42,0.34018,8.41913698630137,425.88,438.875,8.42437671232877
"43","arsgreatbasinltar098",2022,43,0.3403,8.41913698630137,425.88,438.875,8.42437671232877
"44","arsgreatbasinltar098",2022,44,0.34035,8.41913698630137,425.88,438.875,8.42437671232877
"45","arsgreatbasinltar098",2022,45,0.34019,8.41913698630137,425.88,438.875,8.42437671232877
"46","arsgreatbasinltar098",2022,46,0.34,8.41913698630137,425.88,438.875,8.42437671232877
"47","arsgreatbasinltar098",2022,47,0.33984,8.41913698630137,425.88,438.875,8.42437671232877
"48","arsgreatbasinltar098",2022,48,0.3398,8.41913698630137,425.88,438.875,8.42437671232877
"49","arsgreatbasinltar098",2022,49,0.34007,8.41913698630137,425.88,438.875,8.42437671232877
"50","arsgreatbasinltar098",2022,50,0.34046,8.41913698630137,425.88,438.875,8.42437671232877
"51","arsgreatbasinltar098",2022,51,0.34089,8.41913698630137,425.88,438.875,8.42437671232877
"52","arsgreatbasinltar098",2022,52,0.34136,8.41913698630137,425.88,438.875,8.42437671232877
"53","arsgreatbasinltar098",2022,53,0.34164,8.41913698630137,425.88,438.875,8.42437671232877
"54","arsgreatbasinltar098",2022,54,0.34175,8.41913698630137,425.88,438.875,8.42437671232877
"55","arsgreatbasinltar098",2022,55,0.34143,8.41913698630137,425.88,438.875,8.42437671232877
