"","site","year","doy","smooth_gcc_90","annual_temp","annual_precip","map","mat"
"1","boundarywaters",2006,1,0.323,4.83879452054795,665.59,665.59,4.83879452054795
"2","boundarywaters",2006,2,0.32225,4.83879452054795,665.59,665.59,4.83879452054795
"3","boundarywaters",2006,3,0.3217,4.83879452054795,665.59,665.59,4.83879452054795
"4","boundarywaters",2006,4,0.32116,4.83879452054795,665.59,665.59,4.83879452054795
"5","boundarywaters",2006,5,0.32092,4.83879452054795,665.59,665.59,4.83879452054795
"6","boundarywaters",2006,6,0.32076,4.83879452054795,665.59,665.59,4.83879452054795
"7","boundarywaters",2006,7,0.32063,4.83879452054795,665.59,665.59,4.83879452054795
"8","boundarywaters",2006,8,0.31996,4.83879452054795,665.59,665.59,4.83879452054795
"9","boundarywaters",2006,9,0.31938,4.83879452054795,665.59,665.59,4.83879452054795
"10","boundarywaters",2006,10,0.31923,4.83879452054795,665.59,665.59,4.83879452054795
"11","boundarywaters",2006,11,0.31939,4.83879452054795,665.59,665.59,4.83879452054795
"12","boundarywaters",2006,12,0.3203,4.83879452054795,665.59,665.59,4.83879452054795
"13","boundarywaters",2006,13,0.32163,4.83879452054795,665.59,665.59,4.83879452054795
"14","boundarywaters",2006,14,0.32291,4.83879452054795,665.59,665.59,4.83879452054795
"15","boundarywaters",2006,15,0.32331,4.83879452054795,665.59,665.59,4.83879452054795
"16","boundarywaters",2006,16,0.32343,4.83879452054795,665.59,665.59,4.83879452054795
"17","boundarywaters",2006,17,0.32312,4.83879452054795,665.59,665.59,4.83879452054795
"18","boundarywaters",2006,18,0.32273,4.83879452054795,665.59,665.59,4.83879452054795
"19","boundarywaters",2006,19,0.32228,4.83879452054795,665.59,665.59,4.83879452054795
"20","boundarywaters",2006,20,0.32201,4.83879452054795,665.59,665.59,4.83879452054795
"21","boundarywaters",2006,21,0.32174,4.83879452054795,665.59,665.59,4.83879452054795
"22","boundarywaters",2006,22,0.32148,4.83879452054795,665.59,665.59,4.83879452054795
"23","boundarywaters",2006,23,0.32103,4.83879452054795,665.59,665.59,4.83879452054795
"24","boundarywaters",2006,24,0.32067,4.83879452054795,665.59,665.59,4.83879452054795
"25","boundarywaters",2006,25,0.32072,4.83879452054795,665.59,665.59,4.83879452054795
"26","boundarywaters",2006,26,0.32087,4.83879452054795,665.59,665.59,4.83879452054795
"27","boundarywaters",2006,27,0.32249,4.83879452054795,665.59,665.59,4.83879452054795
"28","boundarywaters",2006,28,0.32454,4.83879452054795,665.59,665.59,4.83879452054795
"29","boundarywaters",2006,29,0.32644,4.83879452054795,665.59,665.59,4.83879452054795
"30","boundarywaters",2006,30,0.32706,4.83879452054795,665.59,665.59,4.83879452054795
"31","boundarywaters",2006,31,0.32744,4.83879452054795,665.59,665.59,4.83879452054795
"32","boundarywaters",2006,32,0.32397,4.83879452054795,665.59,665.59,4.83879452054795
"33","boundarywaters",2006,33,0.32199,4.83879452054795,665.59,665.59,4.83879452054795
"34","boundarywaters",2006,34,0.32174,4.83879452054795,665.59,665.59,4.83879452054795
"35","boundarywaters",2006,35,0.32217,4.83879452054795,665.59,665.59,4.83879452054795
"36","boundarywaters",2006,36,0.32271,4.83879452054795,665.59,665.59,4.83879452054795
"37","boundarywaters",2006,37,0.32307,4.83879452054795,665.59,665.59,4.83879452054795
"38","boundarywaters",2006,38,0.32333,4.83879452054795,665.59,665.59,4.83879452054795
"39","boundarywaters",2006,39,0.3229,4.83879452054795,665.59,665.59,4.83879452054795
"40","boundarywaters",2006,40,0.32238,4.83879452054795,665.59,665.59,4.83879452054795
"41","boundarywaters",2006,41,0.32213,4.83879452054795,665.59,665.59,4.83879452054795
"42","boundarywaters",2006,42,0.32224,4.83879452054795,665.59,665.59,4.83879452054795
"43","boundarywaters",2006,43,0.32237,4.83879452054795,665.59,665.59,4.83879452054795
"44","boundarywaters",2006,44,0.3222,4.83879452054795,665.59,665.59,4.83879452054795
"45","boundarywaters",2006,45,0.32192,4.83879452054795,665.59,665.59,4.83879452054795
"46","boundarywaters",2006,46,0.32139,4.83879452054795,665.59,665.59,4.83879452054795
"47","boundarywaters",2006,47,0.32088,4.83879452054795,665.59,665.59,4.83879452054795
"48","boundarywaters",2006,48,0.32059,4.83879452054795,665.59,665.59,4.83879452054795
"49","boundarywaters",2006,49,0.32044,4.83879452054795,665.59,665.59,4.83879452054795
"50","boundarywaters",2006,50,0.32078,4.83879452054795,665.59,665.59,4.83879452054795
"51","boundarywaters",2006,51,0.32103,4.83879452054795,665.59,665.59,4.83879452054795
"52","boundarywaters",2006,52,0.32125,4.83879452054795,665.59,665.59,4.83879452054795
"53","boundarywaters",2006,53,0.32096,4.83879452054795,665.59,665.59,4.83879452054795
"54","boundarywaters",2006,54,0.32075,4.83879452054795,665.59,665.59,4.83879452054795
"55","boundarywaters",2006,55,0.32099,4.83879452054795,665.59,665.59,4.83879452054795
"56","boundarywaters",2006,56,0.32138,4.83879452054795,665.59,665.59,4.83879452054795
"57","boundarywaters",2006,57,0.3219,4.83879452054795,665.59,665.59,4.83879452054795
"58","boundarywaters",2006,58,0.3228,4.83879452054795,665.59,665.59,4.83879452054795
"59","boundarywaters",2006,59,0.32368,4.83879452054795,665.59,665.59,4.83879452054795
"60","boundarywaters",2006,60,0.32425,4.83879452054795,665.59,665.59,4.83879452054795
"61","boundarywaters",2006,61,0.32447,4.83879452054795,665.59,665.59,4.83879452054795
"62","boundarywaters",2006,62,0.32444,4.83879452054795,665.59,665.59,4.83879452054795
"63","boundarywaters",2006,63,0.32376,4.83879452054795,665.59,665.59,4.83879452054795
"64","boundarywaters",2006,64,0.32297,4.83879452054795,665.59,665.59,4.83879452054795
"65","boundarywaters",2006,65,0.32233,4.83879452054795,665.59,665.59,4.83879452054795
"66","boundarywaters",2006,66,0.32194,4.83879452054795,665.59,665.59,4.83879452054795
"67","boundarywaters",2006,67,0.32273,4.83879452054795,665.59,665.59,4.83879452054795
"68","boundarywaters",2006,68,0.32362,4.83879452054795,665.59,665.59,4.83879452054795
"69","boundarywaters",2006,69,0.32416,4.83879452054795,665.59,665.59,4.83879452054795
"70","boundarywaters",2006,70,0.32384,4.83879452054795,665.59,665.59,4.83879452054795
"71","boundarywaters",2006,71,0.32341,4.83879452054795,665.59,665.59,4.83879452054795
"72","boundarywaters",2006,72,0.323,4.83879452054795,665.59,665.59,4.83879452054795
"73","boundarywaters",2006,73,0.32268,4.83879452054795,665.59,665.59,4.83879452054795
"74","boundarywaters",2006,74,0.32303,4.83879452054795,665.59,665.59,4.83879452054795
"75","boundarywaters",2006,75,0.32378,4.83879452054795,665.59,665.59,4.83879452054795
"76","boundarywaters",2006,76,0.32457,4.83879452054795,665.59,665.59,4.83879452054795
"77","boundarywaters",2006,77,0.32482,4.83879452054795,665.59,665.59,4.83879452054795
"78","boundarywaters",2006,78,0.32488,4.83879452054795,665.59,665.59,4.83879452054795
"79","boundarywaters",2006,79,0.32479,4.83879452054795,665.59,665.59,4.83879452054795
"80","boundarywaters",2006,80,0.3245,4.83879452054795,665.59,665.59,4.83879452054795
"81","boundarywaters",2006,81,0.32422,4.83879452054795,665.59,665.59,4.83879452054795
"82","boundarywaters",2006,82,0.32408,4.83879452054795,665.59,665.59,4.83879452054795
"83","boundarywaters",2006,83,0.32405,4.83879452054795,665.59,665.59,4.83879452054795
"84","boundarywaters",2006,84,0.32432,4.83879452054795,665.59,665.59,4.83879452054795
"85","boundarywaters",2006,85,0.3247,4.83879452054795,665.59,665.59,4.83879452054795
"86","boundarywaters",2006,86,0.3251,4.83879452054795,665.59,665.59,4.83879452054795
"87","boundarywaters",2006,87,0.32526,4.83879452054795,665.59,665.59,4.83879452054795
"88","boundarywaters",2006,88,0.32534,4.83879452054795,665.59,665.59,4.83879452054795
"89","boundarywaters",2006,89,0.32522,4.83879452054795,665.59,665.59,4.83879452054795
"90","boundarywaters",2006,90,0.32522,4.83879452054795,665.59,665.59,4.83879452054795
"91","boundarywaters",2006,91,0.32529,4.83879452054795,665.59,665.59,4.83879452054795
"92","boundarywaters",2006,92,0.32557,4.83879452054795,665.59,665.59,4.83879452054795
"93","boundarywaters",2006,93,0.3259,4.83879452054795,665.59,665.59,4.83879452054795
"94","boundarywaters",2006,94,0.32629,4.83879452054795,665.59,665.59,4.83879452054795
"95","boundarywaters",2006,95,0.32654,4.83879452054795,665.59,665.59,4.83879452054795
"96","boundarywaters",2006,96,0.32678,4.83879452054795,665.59,665.59,4.83879452054795
"97","boundarywaters",2006,97,0.32695,4.83879452054795,665.59,665.59,4.83879452054795
"98","boundarywaters",2006,98,0.32716,4.83879452054795,665.59,665.59,4.83879452054795
"99","boundarywaters",2006,99,0.32762,4.83879452054795,665.59,665.59,4.83879452054795
"100","boundarywaters",2006,100,0.32806,4.83879452054795,665.59,665.59,4.83879452054795
"101","boundarywaters",2006,101,0.32844,4.83879452054795,665.59,665.59,4.83879452054795
"102","boundarywaters",2006,102,0.32848,4.83879452054795,665.59,665.59,4.83879452054795
"103","boundarywaters",2006,103,0.32843,4.83879452054795,665.59,665.59,4.83879452054795
"104","boundarywaters",2006,104,0.32833,4.83879452054795,665.59,665.59,4.83879452054795
"105","boundarywaters",2006,105,0.32821,4.83879452054795,665.59,665.59,4.83879452054795
"106","boundarywaters",2006,106,0.32835,4.83879452054795,665.59,665.59,4.83879452054795
"107","boundarywaters",2006,107,0.32844,4.83879452054795,665.59,665.59,4.83879452054795
"108","boundarywaters",2006,108,0.32824,4.83879452054795,665.59,665.59,4.83879452054795
"109","boundarywaters",2006,109,0.32791,4.83879452054795,665.59,665.59,4.83879452054795
"110","boundarywaters",2006,110,0.32752,4.83879452054795,665.59,665.59,4.83879452054795
"111","boundarywaters",2006,111,0.32704,4.83879452054795,665.59,665.59,4.83879452054795
"112","boundarywaters",2006,112,0.32665,4.83879452054795,665.59,665.59,4.83879452054795
"113","boundarywaters",2006,113,0.32654,4.83879452054795,665.59,665.59,4.83879452054795
"114","boundarywaters",2006,114,0.32689,4.83879452054795,665.59,665.59,4.83879452054795
"115","boundarywaters",2006,115,0.32739,4.83879452054795,665.59,665.59,4.83879452054795
"116","boundarywaters",2006,116,0.3279,4.83879452054795,665.59,665.59,4.83879452054795
"117","boundarywaters",2006,117,0.32842,4.83879452054795,665.59,665.59,4.83879452054795
"118","boundarywaters",2006,118,0.32862,4.83879452054795,665.59,665.59,4.83879452054795
"119","boundarywaters",2006,119,0.32906,4.83879452054795,665.59,665.59,4.83879452054795
"120","boundarywaters",2006,120,0.32963,4.83879452054795,665.59,665.59,4.83879452054795
"121","boundarywaters",2006,121,0.33073,4.83879452054795,665.59,665.59,4.83879452054795
"122","boundarywaters",2006,122,0.33191,4.83879452054795,665.59,665.59,4.83879452054795
"123","boundarywaters",2006,123,0.33279,4.83879452054795,665.59,665.59,4.83879452054795
"124","boundarywaters",2006,124,0.33371,4.83879452054795,665.59,665.59,4.83879452054795
"125","boundarywaters",2006,125,0.33451,4.83879452054795,665.59,665.59,4.83879452054795
"126","boundarywaters",2006,126,0.33549,4.83879452054795,665.59,665.59,4.83879452054795
"127","boundarywaters",2006,127,0.33758,4.83879452054795,665.59,665.59,4.83879452054795
"128","boundarywaters",2006,128,0.33937,4.83879452054795,665.59,665.59,4.83879452054795
"129","boundarywaters",2006,129,0.34099,4.83879452054795,665.59,665.59,4.83879452054795
"130","boundarywaters",2006,130,0.3418,4.83879452054795,665.59,665.59,4.83879452054795
"131","boundarywaters",2006,131,0.34226,4.83879452054795,665.59,665.59,4.83879452054795
"132","boundarywaters",2006,132,0.3422,4.83879452054795,665.59,665.59,4.83879452054795
"133","boundarywaters",2006,133,0.34243,4.83879452054795,665.59,665.59,4.83879452054795
"134","boundarywaters",2006,134,0.34247,4.83879452054795,665.59,665.59,4.83879452054795
"135","boundarywaters",2006,135,0.34212,4.83879452054795,665.59,665.59,4.83879452054795
"136","boundarywaters",2006,136,0.3414,4.83879452054795,665.59,665.59,4.83879452054795
"137","boundarywaters",2006,137,0.33983,4.83879452054795,665.59,665.59,4.83879452054795
"138","boundarywaters",2006,138,0.33801,4.83879452054795,665.59,665.59,4.83879452054795
"139","boundarywaters",2006,139,0.33646,4.83879452054795,665.59,665.59,4.83879452054795
"140","boundarywaters",2006,140,0.33564,4.83879452054795,665.59,665.59,4.83879452054795
"141","boundarywaters",2006,141,0.33573,4.83879452054795,665.59,665.59,4.83879452054795
"142","boundarywaters",2006,142,0.33743,4.83879452054795,665.59,665.59,4.83879452054795
"143","boundarywaters",2006,143,0.34043,4.83879452054795,665.59,665.59,4.83879452054795
"144","boundarywaters",2006,144,0.34494,4.83879452054795,665.59,665.59,4.83879452054795
"145","boundarywaters",2006,145,0.35074,4.83879452054795,665.59,665.59,4.83879452054795
"146","boundarywaters",2006,146,0.35806,4.83879452054795,665.59,665.59,4.83879452054795
"147","boundarywaters",2006,147,0.36708,4.83879452054795,665.59,665.59,4.83879452054795
"148","boundarywaters",2006,148,0.37654,4.83879452054795,665.59,665.59,4.83879452054795
"149","boundarywaters",2006,149,0.38628,4.83879452054795,665.59,665.59,4.83879452054795
"150","boundarywaters",2006,150,0.395,4.83879452054795,665.59,665.59,4.83879452054795
"151","boundarywaters",2006,151,0.4007,4.83879452054795,665.59,665.59,4.83879452054795
"152","boundarywaters",2006,152,0.40347,4.83879452054795,665.59,665.59,4.83879452054795
"153","boundarywaters",2006,153,0.40486,4.83879452054795,665.59,665.59,4.83879452054795
"154","boundarywaters",2006,154,0.40578,4.83879452054795,665.59,665.59,4.83879452054795
"155","boundarywaters",2006,155,0.40606,4.83879452054795,665.59,665.59,4.83879452054795
"156","boundarywaters",2006,156,0.40683,4.83879452054795,665.59,665.59,4.83879452054795
"157","boundarywaters",2006,157,0.40688,4.83879452054795,665.59,665.59,4.83879452054795
"158","boundarywaters",2006,158,0.40654,4.83879452054795,665.59,665.59,4.83879452054795
"159","boundarywaters",2006,159,0.40495,4.83879452054795,665.59,665.59,4.83879452054795
"160","boundarywaters",2006,160,0.40338,4.83879452054795,665.59,665.59,4.83879452054795
"161","boundarywaters",2006,161,0.4037,4.83879452054795,665.59,665.59,4.83879452054795
"162","boundarywaters",2006,162,0.40393,4.83879452054795,665.59,665.59,4.83879452054795
"163","boundarywaters",2006,163,0.40276,4.83879452054795,665.59,665.59,4.83879452054795
"164","boundarywaters",2006,164,0.40174,4.83879452054795,665.59,665.59,4.83879452054795
"165","boundarywaters",2006,165,0.40071,4.83879452054795,665.59,665.59,4.83879452054795
"166","boundarywaters",2006,166,0.40107,4.83879452054795,665.59,665.59,4.83879452054795
"167","boundarywaters",2006,167,0.40181,4.83879452054795,665.59,665.59,4.83879452054795
"168","boundarywaters",2006,168,0.40386,4.83879452054795,665.59,665.59,4.83879452054795
"169","boundarywaters",2006,169,0.40583,4.83879452054795,665.59,665.59,4.83879452054795
"170","boundarywaters",2006,170,0.40556,4.83879452054795,665.59,665.59,4.83879452054795
"171","boundarywaters",2006,171,0.40448,4.83879452054795,665.59,665.59,4.83879452054795
"172","boundarywaters",2006,172,0.40306,4.83879452054795,665.59,665.59,4.83879452054795
"173","boundarywaters",2006,173,0.40246,4.83879452054795,665.59,665.59,4.83879452054795
"174","boundarywaters",2006,174,0.40189,4.83879452054795,665.59,665.59,4.83879452054795
"175","boundarywaters",2006,175,0.40166,4.83879452054795,665.59,665.59,4.83879452054795
"176","boundarywaters",2006,176,0.40035,4.83879452054795,665.59,665.59,4.83879452054795
"177","boundarywaters",2006,177,0.39912,4.83879452054795,665.59,665.59,4.83879452054795
"178","boundarywaters",2006,178,0.39856,4.83879452054795,665.59,665.59,4.83879452054795
"179","boundarywaters",2006,179,0.39848,4.83879452054795,665.59,665.59,4.83879452054795
"180","boundarywaters",2006,180,0.39972,4.83879452054795,665.59,665.59,4.83879452054795
"181","boundarywaters",2006,181,0.40108,4.83879452054795,665.59,665.59,4.83879452054795
"182","boundarywaters",2006,182,0.40199,4.83879452054795,665.59,665.59,4.83879452054795
"183","boundarywaters",2006,183,0.40265,4.83879452054795,665.59,665.59,4.83879452054795
"184","boundarywaters",2006,184,0.40233,4.83879452054795,665.59,665.59,4.83879452054795
"185","boundarywaters",2006,185,0.40134,4.83879452054795,665.59,665.59,4.83879452054795
"186","boundarywaters",2006,186,0.40008,4.83879452054795,665.59,665.59,4.83879452054795
"187","boundarywaters",2006,187,0.39924,4.83879452054795,665.59,665.59,4.83879452054795
"188","boundarywaters",2006,188,0.39864,4.83879452054795,665.59,665.59,4.83879452054795
"189","boundarywaters",2006,189,0.39852,4.83879452054795,665.59,665.59,4.83879452054795
"190","boundarywaters",2006,190,0.39847,4.83879452054795,665.59,665.59,4.83879452054795
"191","boundarywaters",2006,191,0.39848,4.83879452054795,665.59,665.59,4.83879452054795
"192","boundarywaters",2006,192,0.39836,4.83879452054795,665.59,665.59,4.83879452054795
"193","boundarywaters",2006,193,0.39829,4.83879452054795,665.59,665.59,4.83879452054795
"194","boundarywaters",2006,194,0.39822,4.83879452054795,665.59,665.59,4.83879452054795
"195","boundarywaters",2006,195,0.39846,4.83879452054795,665.59,665.59,4.83879452054795
"196","boundarywaters",2006,196,0.39854,4.83879452054795,665.59,665.59,4.83879452054795
"197","boundarywaters",2006,197,0.39795,4.83879452054795,665.59,665.59,4.83879452054795
"198","boundarywaters",2006,198,0.39724,4.83879452054795,665.59,665.59,4.83879452054795
"199","boundarywaters",2006,199,0.39606,4.83879452054795,665.59,665.59,4.83879452054795
"200","boundarywaters",2006,200,0.39503,4.83879452054795,665.59,665.59,4.83879452054795
"201","boundarywaters",2006,201,0.3952,4.83879452054795,665.59,665.59,4.83879452054795
"202","boundarywaters",2006,202,0.39573,4.83879452054795,665.59,665.59,4.83879452054795
"203","boundarywaters",2006,203,0.39681,4.83879452054795,665.59,665.59,4.83879452054795
"204","boundarywaters",2006,204,0.39734,4.83879452054795,665.59,665.59,4.83879452054795
"205","boundarywaters",2006,205,0.39772,4.83879452054795,665.59,665.59,4.83879452054795
"206","boundarywaters",2006,206,0.39815,4.83879452054795,665.59,665.59,4.83879452054795
"207","boundarywaters",2006,207,0.39812,4.83879452054795,665.59,665.59,4.83879452054795
"208","boundarywaters",2006,208,0.39691,4.83879452054795,665.59,665.59,4.83879452054795
"209","boundarywaters",2006,209,0.39483,4.83879452054795,665.59,665.59,4.83879452054795
"210","boundarywaters",2006,210,0.39292,4.83879452054795,665.59,665.59,4.83879452054795
"211","boundarywaters",2006,211,0.39177,4.83879452054795,665.59,665.59,4.83879452054795
"212","boundarywaters",2006,212,0.39115,4.83879452054795,665.59,665.59,4.83879452054795
"213","boundarywaters",2006,213,0.39256,4.83879452054795,665.59,665.59,4.83879452054795
"214","boundarywaters",2006,214,0.3944,4.83879452054795,665.59,665.59,4.83879452054795
"215","boundarywaters",2006,215,0.39628,4.83879452054795,665.59,665.59,4.83879452054795
"216","boundarywaters",2006,216,0.39655,4.83879452054795,665.59,665.59,4.83879452054795
"217","boundarywaters",2006,217,0.39635,4.83879452054795,665.59,665.59,4.83879452054795
"218","boundarywaters",2006,218,0.39604,4.83879452054795,665.59,665.59,4.83879452054795
"219","boundarywaters",2006,219,0.39554,4.83879452054795,665.59,665.59,4.83879452054795
"220","boundarywaters",2006,220,0.3946,4.83879452054795,665.59,665.59,4.83879452054795
"221","boundarywaters",2006,221,0.39334,4.83879452054795,665.59,665.59,4.83879452054795
"222","boundarywaters",2006,222,0.39242,4.83879452054795,665.59,665.59,4.83879452054795
"223","boundarywaters",2006,223,0.39215,4.83879452054795,665.59,665.59,4.83879452054795
"224","boundarywaters",2006,224,0.39223,4.83879452054795,665.59,665.59,4.83879452054795
"225","boundarywaters",2006,225,0.39283,4.83879452054795,665.59,665.59,4.83879452054795
"226","boundarywaters",2006,226,0.39381,4.83879452054795,665.59,665.59,4.83879452054795
"227","boundarywaters",2006,227,0.39431,4.83879452054795,665.59,665.59,4.83879452054795
"228","boundarywaters",2006,228,0.39376,4.83879452054795,665.59,665.59,4.83879452054795
"229","boundarywaters",2006,229,0.39303,4.83879452054795,665.59,665.59,4.83879452054795
"230","boundarywaters",2006,230,0.39315,4.83879452054795,665.59,665.59,4.83879452054795
"231","boundarywaters",2006,231,0.39368,4.83879452054795,665.59,665.59,4.83879452054795
