"","site","year","doy","smooth_gcc_90","annual_temp","annual_precip","map","mat"
"1","groundhog",2012,1,0.34189,3.99458904109589,799.08,913.825,2.68331506849315
"2","groundhog",2012,2,0.34224,3.99458904109589,799.08,913.825,2.68331506849315
"3","groundhog",2012,3,0.34266,3.99458904109589,799.08,913.825,2.68331506849315
"4","groundhog",2012,4,0.3431,3.99458904109589,799.08,913.825,2.68331506849315
"5","groundhog",2012,5,0.3435,3.99458904109589,799.08,913.825,2.68331506849315
"6","groundhog",2012,6,0.34399,3.99458904109589,799.08,913.825,2.68331506849315
"7","groundhog",2012,7,0.34441,3.99458904109589,799.08,913.825,2.68331506849315
"8","groundhog",2012,8,0.34483,3.99458904109589,799.08,913.825,2.68331506849315
"9","groundhog",2012,9,0.34518,3.99458904109589,799.08,913.825,2.68331506849315
"10","groundhog",2012,10,0.34506,3.99458904109589,799.08,913.825,2.68331506849315
"11","groundhog",2012,11,0.3448,3.99458904109589,799.08,913.825,2.68331506849315
"12","groundhog",2012,12,0.3441,3.99458904109589,799.08,913.825,2.68331506849315
"13","groundhog",2012,13,0.34336,3.99458904109589,799.08,913.825,2.68331506849315
"14","groundhog",2012,14,0.34293,3.99458904109589,799.08,913.825,2.68331506849315
"15","groundhog",2012,15,0.34261,3.99458904109589,799.08,913.825,2.68331506849315
"16","groundhog",2012,16,0.34282,3.99458904109589,799.08,913.825,2.68331506849315
"17","groundhog",2012,17,0.34314,3.99458904109589,799.08,913.825,2.68331506849315
"18","groundhog",2012,18,0.34351,3.99458904109589,799.08,913.825,2.68331506849315
"19","groundhog",2012,19,0.34387,3.99458904109589,799.08,913.825,2.68331506849315
"20","groundhog",2012,20,0.34403,3.99458904109589,799.08,913.825,2.68331506849315
"21","groundhog",2012,21,0.34414,3.99458904109589,799.08,913.825,2.68331506849315
"22","groundhog",2012,22,0.34424,3.99458904109589,799.08,913.825,2.68331506849315
"23","groundhog",2012,23,0.34426,3.99458904109589,799.08,913.825,2.68331506849315
"24","groundhog",2012,24,0.34401,3.99458904109589,799.08,913.825,2.68331506849315
"25","groundhog",2012,25,0.34365,3.99458904109589,799.08,913.825,2.68331506849315
"26","groundhog",2012,26,0.34302,3.99458904109589,799.08,913.825,2.68331506849315
"27","groundhog",2012,27,0.34239,3.99458904109589,799.08,913.825,2.68331506849315
"28","groundhog",2012,28,0.34196,3.99458904109589,799.08,913.825,2.68331506849315
"29","groundhog",2012,29,0.34163,3.99458904109589,799.08,913.825,2.68331506849315
"30","groundhog",2012,30,0.34161,3.99458904109589,799.08,913.825,2.68331506849315
"31","groundhog",2012,31,0.34171,3.99458904109589,799.08,913.825,2.68331506849315
"32","groundhog",2012,32,0.34195,3.99458904109589,799.08,913.825,2.68331506849315
"33","groundhog",2012,33,0.3423,3.99458904109589,799.08,913.825,2.68331506849315
"34","groundhog",2012,34,0.34296,3.99458904109589,799.08,913.825,2.68331506849315
"35","groundhog",2012,35,0.34388,3.99458904109589,799.08,913.825,2.68331506849315
"36","groundhog",2012,36,0.3446,3.99458904109589,799.08,913.825,2.68331506849315
"37","groundhog",2012,37,0.34514,3.99458904109589,799.08,913.825,2.68331506849315
"38","groundhog",2012,38,0.34553,3.99458904109589,799.08,913.825,2.68331506849315
"39","groundhog",2012,39,0.34552,3.99458904109589,799.08,913.825,2.68331506849315
"40","groundhog",2012,40,0.34541,3.99458904109589,799.08,913.825,2.68331506849315
"41","groundhog",2012,41,0.34507,3.99458904109589,799.08,913.825,2.68331506849315
"42","groundhog",2012,42,0.34472,3.99458904109589,799.08,913.825,2.68331506849315
"43","groundhog",2012,43,0.3446,3.99458904109589,799.08,913.825,2.68331506849315
"44","groundhog",2012,44,0.34448,3.99458904109589,799.08,913.825,2.68331506849315
"45","groundhog",2012,45,0.34461,3.99458904109589,799.08,913.825,2.68331506849315
