"","site","year","doy","smooth_gcc_90","annual_temp","annual_precip","map","mat"
"1","nevcanspg3a",2023,1,0.3178,5.04343835616438,854.96,854.96,5.04343835616438
"2","nevcanspg3a",2023,2,0.31735,5.04343835616438,854.96,854.96,5.04343835616438
"3","nevcanspg3a",2023,3,0.31786,5.04343835616438,854.96,854.96,5.04343835616438
"4","nevcanspg3a",2023,4,0.31858,5.04343835616438,854.96,854.96,5.04343835616438
"5","nevcanspg3a",2023,5,0.3191,5.04343835616438,854.96,854.96,5.04343835616438
"6","nevcanspg3a",2023,6,0.31945,5.04343835616438,854.96,854.96,5.04343835616438
"7","nevcanspg3a",2023,7,0.31933,5.04343835616438,854.96,854.96,5.04343835616438
"8","nevcanspg3a",2023,8,0.31902,5.04343835616438,854.96,854.96,5.04343835616438
"9","nevcanspg3a",2023,9,0.31854,5.04343835616438,854.96,854.96,5.04343835616438
"10","nevcanspg3a",2023,10,0.31826,5.04343835616438,854.96,854.96,5.04343835616438
"11","nevcanspg3a",2023,11,0.31869,5.04343835616438,854.96,854.96,5.04343835616438
"12","nevcanspg3a",2023,12,0.31967,5.04343835616438,854.96,854.96,5.04343835616438
"13","nevcanspg3a",2023,13,0.32047,5.04343835616438,854.96,854.96,5.04343835616438
"14","nevcanspg3a",2023,14,0.31991,5.04343835616438,854.96,854.96,5.04343835616438
"15","nevcanspg3a",2023,15,0.31904,5.04343835616438,854.96,854.96,5.04343835616438
"16","nevcanspg3a",2023,16,0.31793,5.04343835616438,854.96,854.96,5.04343835616438
"17","nevcanspg3a",2023,17,0.3177,5.04343835616438,854.96,854.96,5.04343835616438
"18","nevcanspg3a",2023,18,0.31783,5.04343835616438,854.96,854.96,5.04343835616438
"19","nevcanspg3a",2023,19,0.31845,5.04343835616438,854.96,854.96,5.04343835616438
"20","nevcanspg3a",2023,20,0.31928,5.04343835616438,854.96,854.96,5.04343835616438
"21","nevcanspg3a",2023,21,0.32002,5.04343835616438,854.96,854.96,5.04343835616438
"22","nevcanspg3a",2023,22,0.32088,5.04343835616438,854.96,854.96,5.04343835616438
"23","nevcanspg3a",2023,23,0.32168,5.04343835616438,854.96,854.96,5.04343835616438
"24","nevcanspg3a",2023,24,0.32194,5.04343835616438,854.96,854.96,5.04343835616438
"25","nevcanspg3a",2023,25,0.32205,5.04343835616438,854.96,854.96,5.04343835616438
"26","nevcanspg3a",2023,26,0.32239,5.04343835616438,854.96,854.96,5.04343835616438
"27","nevcanspg3a",2023,27,0.3226,5.04343835616438,854.96,854.96,5.04343835616438
"28","nevcanspg3a",2023,28,0.32228,5.04343835616438,854.96,854.96,5.04343835616438
"29","nevcanspg3a",2023,29,0.32198,5.04343835616438,854.96,854.96,5.04343835616438
"30","nevcanspg3a",2023,30,0.32199,5.04343835616438,854.96,854.96,5.04343835616438
"31","nevcanspg3a",2023,31,0.32251,5.04343835616438,854.96,854.96,5.04343835616438
"32","nevcanspg3a",2023,32,0.32313,5.04343835616438,854.96,854.96,5.04343835616438
