"","site","year","doy","smooth_gcc_90","annual_temp","annual_precip","map","mat"
"1","oakridge1",2008,1,0.3334,14.5194246575342,1283.94,1480.295,14.4693767123288
"2","oakridge1",2008,2,0.3334,14.5194246575342,1283.94,1480.295,14.4693767123288
"3","oakridge1",2008,3,0.33341,14.5194246575342,1283.94,1480.295,14.4693767123288
"4","oakridge1",2008,4,0.33344,14.5194246575342,1283.94,1480.295,14.4693767123288
"5","oakridge1",2008,5,0.33348,14.5194246575342,1283.94,1480.295,14.4693767123288
"6","oakridge1",2008,6,0.33351,14.5194246575342,1283.94,1480.295,14.4693767123288
"7","oakridge1",2008,7,0.33354,14.5194246575342,1283.94,1480.295,14.4693767123288
"8","oakridge1",2008,8,0.33357,14.5194246575342,1283.94,1480.295,14.4693767123288
"9","oakridge1",2008,9,0.33359,14.5194246575342,1283.94,1480.295,14.4693767123288
"10","oakridge1",2008,10,0.3336,14.5194246575342,1283.94,1480.295,14.4693767123288
"11","oakridge1",2008,11,0.33361,14.5194246575342,1283.94,1480.295,14.4693767123288
"12","oakridge1",2008,12,0.33362,14.5194246575342,1283.94,1480.295,14.4693767123288
"13","oakridge1",2008,13,0.33361,14.5194246575342,1283.94,1480.295,14.4693767123288
"14","oakridge1",2008,14,0.33359,14.5194246575342,1283.94,1480.295,14.4693767123288
"15","oakridge1",2008,15,0.33356,14.5194246575342,1283.94,1480.295,14.4693767123288
"16","oakridge1",2008,16,0.33355,14.5194246575342,1283.94,1480.295,14.4693767123288
"17","oakridge1",2008,17,0.33349,14.5194246575342,1283.94,1480.295,14.4693767123288
"18","oakridge1",2008,18,0.33338,14.5194246575342,1283.94,1480.295,14.4693767123288
"19","oakridge1",2008,19,0.33342,14.5194246575342,1283.94,1480.295,14.4693767123288
"20","oakridge1",2008,20,0.33377,14.5194246575342,1283.94,1480.295,14.4693767123288
"21","oakridge1",2008,21,0.33429,14.5194246575342,1283.94,1480.295,14.4693767123288
"22","oakridge1",2008,22,0.33467,14.5194246575342,1283.94,1480.295,14.4693767123288
"23","oakridge1",2008,23,0.33497,14.5194246575342,1283.94,1480.295,14.4693767123288
"24","oakridge1",2008,24,0.33532,14.5194246575342,1283.94,1480.295,14.4693767123288
"25","oakridge1",2008,25,0.33554,14.5194246575342,1283.94,1480.295,14.4693767123288
