"","site","year","doy","smooth_gcc_90","annual_temp","annual_precip","map","mat"
"1","spruceT0P06",2016,1,0.33116,5.40276712328767,977.99,867.735,4.72418493150685
"2","spruceT0P06",2016,2,0.3311,5.40276712328767,977.99,867.735,4.72418493150685
"3","spruceT0P06",2016,3,0.33102,5.40276712328767,977.99,867.735,4.72418493150685
"4","spruceT0P06",2016,4,0.33094,5.40276712328767,977.99,867.735,4.72418493150685
"5","spruceT0P06",2016,5,0.33076,5.40276712328767,977.99,867.735,4.72418493150685
"6","spruceT0P06",2016,6,0.33061,5.40276712328767,977.99,867.735,4.72418493150685
"7","spruceT0P06",2016,7,0.33058,5.40276712328767,977.99,867.735,4.72418493150685
"8","spruceT0P06",2016,8,0.33057,5.40276712328767,977.99,867.735,4.72418493150685
"9","spruceT0P06",2016,9,0.33061,5.40276712328767,977.99,867.735,4.72418493150685
"10","spruceT0P06",2016,10,0.33069,5.40276712328767,977.99,867.735,4.72418493150685
"11","spruceT0P06",2016,11,0.33084,5.40276712328767,977.99,867.735,4.72418493150685
"12","spruceT0P06",2016,12,0.33104,5.40276712328767,977.99,867.735,4.72418493150685
"13","spruceT0P06",2016,13,0.33125,5.40276712328767,977.99,867.735,4.72418493150685
"14","spruceT0P06",2016,14,0.33154,5.40276712328767,977.99,867.735,4.72418493150685
"15","spruceT0P06",2016,15,0.33185,5.40276712328767,977.99,867.735,4.72418493150685
"16","spruceT0P06",2016,16,0.33208,5.40276712328767,977.99,867.735,4.72418493150685
"17","spruceT0P06",2016,17,0.33232,5.40276712328767,977.99,867.735,4.72418493150685
"18","spruceT0P06",2016,18,0.33254,5.40276712328767,977.99,867.735,4.72418493150685
"19","spruceT0P06",2016,19,0.33273,5.40276712328767,977.99,867.735,4.72418493150685
"20","spruceT0P06",2016,20,0.33287,5.40276712328767,977.99,867.735,4.72418493150685
"21","spruceT0P06",2016,21,0.333,5.40276712328767,977.99,867.735,4.72418493150685
"22","spruceT0P06",2016,22,0.33312,5.40276712328767,977.99,867.735,4.72418493150685
"23","spruceT0P06",2016,23,0.33323,5.40276712328767,977.99,867.735,4.72418493150685
"24","spruceT0P06",2016,24,0.33336,5.40276712328767,977.99,867.735,4.72418493150685
"25","spruceT0P06",2016,25,0.33348,5.40276712328767,977.99,867.735,4.72418493150685
"26","spruceT0P06",2016,26,0.33357,5.40276712328767,977.99,867.735,4.72418493150685
"27","spruceT0P06",2016,27,0.33357,5.40276712328767,977.99,867.735,4.72418493150685
"28","spruceT0P06",2016,28,0.33344,5.40276712328767,977.99,867.735,4.72418493150685
"29","spruceT0P06",2016,29,0.33324,5.40276712328767,977.99,867.735,4.72418493150685
"30","spruceT0P06",2016,30,0.33306,5.40276712328767,977.99,867.735,4.72418493150685
"31","spruceT0P06",2016,31,0.33281,5.40276712328767,977.99,867.735,4.72418493150685
"32","spruceT0P06",2016,32,0.33257,5.40276712328767,977.99,867.735,4.72418493150685
"33","spruceT0P06",2016,33,0.33242,5.40276712328767,977.99,867.735,4.72418493150685
"34","spruceT0P06",2016,34,0.33227,5.40276712328767,977.99,867.735,4.72418493150685
"35","spruceT0P06",2016,35,0.33214,5.40276712328767,977.99,867.735,4.72418493150685
"36","spruceT0P06",2016,36,0.33204,5.40276712328767,977.99,867.735,4.72418493150685
"37","spruceT0P06",2016,37,0.33199,5.40276712328767,977.99,867.735,4.72418493150685
"38","spruceT0P06",2016,38,0.33198,5.40276712328767,977.99,867.735,4.72418493150685
