"","site","year","doy","smooth_gcc_90","annual_temp","annual_precip","map","mat"
"1","spruceT2P20",2016,1,0.32648,5.40276712328767,977.99,867.735,4.72418493150685
"2","spruceT2P20",2016,2,0.32664,5.40276712328767,977.99,867.735,4.72418493150685
"3","spruceT2P20",2016,3,0.3269,5.40276712328767,977.99,867.735,4.72418493150685
"4","spruceT2P20",2016,4,0.327,5.40276712328767,977.99,867.735,4.72418493150685
"5","spruceT2P20",2016,5,0.32684,5.40276712328767,977.99,867.735,4.72418493150685
"6","spruceT2P20",2016,6,0.32666,5.40276712328767,977.99,867.735,4.72418493150685
"7","spruceT2P20",2016,7,0.32648,5.40276712328767,977.99,867.735,4.72418493150685
"8","spruceT2P20",2016,8,0.32622,5.40276712328767,977.99,867.735,4.72418493150685
"9","spruceT2P20",2016,9,0.32596,5.40276712328767,977.99,867.735,4.72418493150685
"10","spruceT2P20",2016,10,0.32582,5.40276712328767,977.99,867.735,4.72418493150685
"11","spruceT2P20",2016,11,0.32575,5.40276712328767,977.99,867.735,4.72418493150685
"12","spruceT2P20",2016,12,0.32569,5.40276712328767,977.99,867.735,4.72418493150685
"13","spruceT2P20",2016,13,0.32572,5.40276712328767,977.99,867.735,4.72418493150685
"14","spruceT2P20",2016,14,0.32592,5.40276712328767,977.99,867.735,4.72418493150685
"15","spruceT2P20",2016,15,0.32618,5.40276712328767,977.99,867.735,4.72418493150685
"16","spruceT2P20",2016,16,0.32647,5.40276712328767,977.99,867.735,4.72418493150685
"17","spruceT2P20",2016,17,0.32685,5.40276712328767,977.99,867.735,4.72418493150685
"18","spruceT2P20",2016,18,0.32724,5.40276712328767,977.99,867.735,4.72418493150685
"19","spruceT2P20",2016,19,0.32757,5.40276712328767,977.99,867.735,4.72418493150685
"20","spruceT2P20",2016,20,0.32785,5.40276712328767,977.99,867.735,4.72418493150685
"21","spruceT2P20",2016,21,0.32815,5.40276712328767,977.99,867.735,4.72418493150685
"22","spruceT2P20",2016,22,0.32843,5.40276712328767,977.99,867.735,4.72418493150685
"23","spruceT2P20",2016,23,0.32867,5.40276712328767,977.99,867.735,4.72418493150685
"24","spruceT2P20",2016,24,0.32888,5.40276712328767,977.99,867.735,4.72418493150685
"25","spruceT2P20",2016,25,0.32909,5.40276712328767,977.99,867.735,4.72418493150685
"26","spruceT2P20",2016,26,0.32924,5.40276712328767,977.99,867.735,4.72418493150685
