"","site","year","doy","smooth_gcc_90","annual_temp","annual_precip","map","mat"
"1","spruceT6P08",2016,1,0.32866,5.40276712328767,977.99,867.735,4.72418493150685
"2","spruceT6P08",2016,2,0.32923,5.40276712328767,977.99,867.735,4.72418493150685
"3","spruceT6P08",2016,3,0.32998,5.40276712328767,977.99,867.735,4.72418493150685
"4","spruceT6P08",2016,4,0.33037,5.40276712328767,977.99,867.735,4.72418493150685
"5","spruceT6P08",2016,5,0.33029,5.40276712328767,977.99,867.735,4.72418493150685
"6","spruceT6P08",2016,6,0.33004,5.40276712328767,977.99,867.735,4.72418493150685
"7","spruceT6P08",2016,7,0.32947,5.40276712328767,977.99,867.735,4.72418493150685
"8","spruceT6P08",2016,8,0.32854,5.40276712328767,977.99,867.735,4.72418493150685
"9","spruceT6P08",2016,9,0.32754,5.40276712328767,977.99,867.735,4.72418493150685
"10","spruceT6P08",2016,10,0.32674,5.40276712328767,977.99,867.735,4.72418493150685
"11","spruceT6P08",2016,11,0.32601,5.40276712328767,977.99,867.735,4.72418493150685
"12","spruceT6P08",2016,12,0.32521,5.40276712328767,977.99,867.735,4.72418493150685
"13","spruceT6P08",2016,13,0.32457,5.40276712328767,977.99,867.735,4.72418493150685
"14","spruceT6P08",2016,14,0.32394,5.40276712328767,977.99,867.735,4.72418493150685
"15","spruceT6P08",2016,15,0.32342,5.40276712328767,977.99,867.735,4.72418493150685
"16","spruceT6P08",2016,16,0.32327,5.40276712328767,977.99,867.735,4.72418493150685
"17","spruceT6P08",2016,17,0.32333,5.40276712328767,977.99,867.735,4.72418493150685
"18","spruceT6P08",2016,18,0.32352,5.40276712328767,977.99,867.735,4.72418493150685
"19","spruceT6P08",2016,19,0.32376,5.40276712328767,977.99,867.735,4.72418493150685
"20","spruceT6P08",2016,20,0.32411,5.40276712328767,977.99,867.735,4.72418493150685
"21","spruceT6P08",2016,21,0.3246,5.40276712328767,977.99,867.735,4.72418493150685
"22","spruceT6P08",2016,22,0.32515,5.40276712328767,977.99,867.735,4.72418493150685
"23","spruceT6P08",2016,23,0.32567,5.40276712328767,977.99,867.735,4.72418493150685
"24","spruceT6P08",2016,24,0.32628,5.40276712328767,977.99,867.735,4.72418493150685
"25","spruceT6P08",2016,25,0.32703,5.40276712328767,977.99,867.735,4.72418493150685
"26","spruceT6P08",2016,26,0.32777,5.40276712328767,977.99,867.735,4.72418493150685
"27","spruceT6P08",2016,27,0.32834,5.40276712328767,977.99,867.735,4.72418493150685
"28","spruceT6P08",2016,28,0.32873,5.40276712328767,977.99,867.735,4.72418493150685
"29","spruceT6P08",2016,29,0.32905,5.40276712328767,977.99,867.735,4.72418493150685
"30","spruceT6P08",2016,30,0.32927,5.40276712328767,977.99,867.735,4.72418493150685
"31","spruceT6P08",2016,31,0.32952,5.40276712328767,977.99,867.735,4.72418493150685
"32","spruceT6P08",2016,32,0.32968,5.40276712328767,977.99,867.735,4.72418493150685
"33","spruceT6P08",2016,33,0.32956,5.40276712328767,977.99,867.735,4.72418493150685
"34","spruceT6P08",2016,34,0.32924,5.40276712328767,977.99,867.735,4.72418493150685
"35","spruceT6P08",2016,35,0.32884,5.40276712328767,977.99,867.735,4.72418493150685
"36","spruceT6P08",2016,36,0.32845,5.40276712328767,977.99,867.735,4.72418493150685
"37","spruceT6P08",2016,37,0.32793,5.40276712328767,977.99,867.735,4.72418493150685
"38","spruceT6P08",2016,38,0.32725,5.40276712328767,977.99,867.735,4.72418493150685
"39","spruceT6P08",2016,39,0.32676,5.40276712328767,977.99,867.735,4.72418493150685
"40","spruceT6P08",2016,40,0.32629,5.40276712328767,977.99,867.735,4.72418493150685
"41","spruceT6P08",2016,41,0.32593,5.40276712328767,977.99,867.735,4.72418493150685
"42","spruceT6P08",2016,42,0.32598,5.40276712328767,977.99,867.735,4.72418493150685
"43","spruceT6P08",2016,43,0.32624,5.40276712328767,977.99,867.735,4.72418493150685
"44","spruceT6P08",2016,44,0.32661,5.40276712328767,977.99,867.735,4.72418493150685
"45","spruceT6P08",2016,45,0.32703,5.40276712328767,977.99,867.735,4.72418493150685
"46","spruceT6P08",2016,46,0.32776,5.40276712328767,977.99,867.735,4.72418493150685
"47","spruceT6P08",2016,47,0.32875,5.40276712328767,977.99,867.735,4.72418493150685
"48","spruceT6P08",2016,48,0.32948,5.40276712328767,977.99,867.735,4.72418493150685
"49","spruceT6P08",2016,49,0.32987,5.40276712328767,977.99,867.735,4.72418493150685
"50","spruceT6P08",2016,50,0.33021,5.40276712328767,977.99,867.735,4.72418493150685
"51","spruceT6P08",2016,51,0.33045,5.40276712328767,977.99,867.735,4.72418493150685
"52","spruceT6P08",2016,52,0.33058,5.40276712328767,977.99,867.735,4.72418493150685
"53","spruceT6P08",2016,53,0.33065,5.40276712328767,977.99,867.735,4.72418493150685
"54","spruceT6P08",2016,54,0.33071,5.40276712328767,977.99,867.735,4.72418493150685
"55","spruceT6P08",2016,55,0.33074,5.40276712328767,977.99,867.735,4.72418493150685
"56","spruceT6P08",2016,56,0.33069,5.40276712328767,977.99,867.735,4.72418493150685
"57","spruceT6P08",2016,57,0.33062,5.40276712328767,977.99,867.735,4.72418493150685
"58","spruceT6P08",2016,58,0.33058,5.40276712328767,977.99,867.735,4.72418493150685
"59","spruceT6P08",2016,59,0.33047,5.40276712328767,977.99,867.735,4.72418493150685
"60","spruceT6P08",2016,60,0.33026,5.40276712328767,977.99,867.735,4.72418493150685
"61","spruceT6P08",2016,61,0.33012,5.40276712328767,977.99,867.735,4.72418493150685
