"","site","year","doy","smooth_gcc_90","annual_temp","annual_precip","map","mat"
"1","windriver",2015,1,0.36621,11.4285479452055,2230.18,2291.71,10.9448150684932
"2","windriver",2015,2,0.36648,11.4285479452055,2230.18,2291.71,10.9448150684932
"3","windriver",2015,3,0.36679,11.4285479452055,2230.18,2291.71,10.9448150684932
"4","windriver",2015,4,0.36694,11.4285479452055,2230.18,2291.71,10.9448150684932
"5","windriver",2015,5,0.36692,11.4285479452055,2230.18,2291.71,10.9448150684932
"6","windriver",2015,6,0.36681,11.4285479452055,2230.18,2291.71,10.9448150684932
"7","windriver",2015,7,0.36666,11.4285479452055,2230.18,2291.71,10.9448150684932
"8","windriver",2015,8,0.3665,11.4285479452055,2230.18,2291.71,10.9448150684932
"9","windriver",2015,9,0.36625,11.4285479452055,2230.18,2291.71,10.9448150684932
"10","windriver",2015,10,0.36589,11.4285479452055,2230.18,2291.71,10.9448150684932
"11","windriver",2015,11,0.36551,11.4285479452055,2230.18,2291.71,10.9448150684932
"12","windriver",2015,12,0.36522,11.4285479452055,2230.18,2291.71,10.9448150684932
"13","windriver",2015,13,0.36506,11.4285479452055,2230.18,2291.71,10.9448150684932
"14","windriver",2015,14,0.36498,11.4285479452055,2230.18,2291.71,10.9448150684932
"15","windriver",2015,15,0.36497,11.4285479452055,2230.18,2291.71,10.9448150684932
"16","windriver",2015,16,0.36501,11.4285479452055,2230.18,2291.71,10.9448150684932
"17","windriver",2015,17,0.36509,11.4285479452055,2230.18,2291.71,10.9448150684932
"18","windriver",2015,18,0.3652,11.4285479452055,2230.18,2291.71,10.9448150684932
"19","windriver",2015,19,0.36534,11.4285479452055,2230.18,2291.71,10.9448150684932
"20","windriver",2015,20,0.3655,11.4285479452055,2230.18,2291.71,10.9448150684932
"21","windriver",2015,21,0.36577,11.4285479452055,2230.18,2291.71,10.9448150684932
"22","windriver",2015,22,0.36616,11.4285479452055,2230.18,2291.71,10.9448150684932
"23","windriver",2015,23,0.36653,11.4285479452055,2230.18,2291.71,10.9448150684932
"24","windriver",2015,24,0.36672,11.4285479452055,2230.18,2291.71,10.9448150684932
"25","windriver",2015,25,0.36672,11.4285479452055,2230.18,2291.71,10.9448150684932
"26","windriver",2015,26,0.36661,11.4285479452055,2230.18,2291.71,10.9448150684932
"27","windriver",2015,27,0.36642,11.4285479452055,2230.18,2291.71,10.9448150684932
"28","windriver",2015,28,0.36621,11.4285479452055,2230.18,2291.71,10.9448150684932
"29","windriver",2015,29,0.36584,11.4285479452055,2230.18,2291.71,10.9448150684932
"30","windriver",2015,30,0.36529,11.4285479452055,2230.18,2291.71,10.9448150684932
"31","windriver",2015,31,0.36474,11.4285479452055,2230.18,2291.71,10.9448150684932
"32","windriver",2015,32,0.36436,11.4285479452055,2230.18,2291.71,10.9448150684932
"33","windriver",2015,33,0.36412,11.4285479452055,2230.18,2291.71,10.9448150684932
"34","windriver",2015,34,0.36392,11.4285479452055,2230.18,2291.71,10.9448150684932
"35","windriver",2015,35,0.36382,11.4285479452055,2230.18,2291.71,10.9448150684932
"36","windriver",2015,36,0.3639,11.4285479452055,2230.18,2291.71,10.9448150684932
"37","windriver",2015,37,0.36422,11.4285479452055,2230.18,2291.71,10.9448150684932
"38","windriver",2015,38,0.36473,11.4285479452055,2230.18,2291.71,10.9448150684932
"39","windriver",2015,39,0.3653,11.4285479452055,2230.18,2291.71,10.9448150684932
"40","windriver",2015,40,0.36579,11.4285479452055,2230.18,2291.71,10.9448150684932
"41","windriver",2015,41,0.36627,11.4285479452055,2230.18,2291.71,10.9448150684932
"42","windriver",2015,42,0.36684,11.4285479452055,2230.18,2291.71,10.9448150684932
"43","windriver",2015,43,0.36737,11.4285479452055,2230.18,2291.71,10.9448150684932
"44","windriver",2015,44,0.36774,11.4285479452055,2230.18,2291.71,10.9448150684932
"45","windriver",2015,45,0.36784,11.4285479452055,2230.18,2291.71,10.9448150684932
"46","windriver",2015,46,0.36779,11.4285479452055,2230.18,2291.71,10.9448150684932
"47","windriver",2015,47,0.3678,11.4285479452055,2230.18,2291.71,10.9448150684932
"48","windriver",2015,48,0.36786,11.4285479452055,2230.18,2291.71,10.9448150684932
"49","windriver",2015,49,0.36791,11.4285479452055,2230.18,2291.71,10.9448150684932
"50","windriver",2015,50,0.36802,11.4285479452055,2230.18,2291.71,10.9448150684932
"51","windriver",2015,51,0.36814,11.4285479452055,2230.18,2291.71,10.9448150684932
"52","windriver",2015,52,0.36824,11.4285479452055,2230.18,2291.71,10.9448150684932
"53","windriver",2015,53,0.36827,11.4285479452055,2230.18,2291.71,10.9448150684932
"54","windriver",2015,54,0.3682,11.4285479452055,2230.18,2291.71,10.9448150684932
"55","windriver",2015,55,0.36808,11.4285479452055,2230.18,2291.71,10.9448150684932
"56","windriver",2015,56,0.36797,11.4285479452055,2230.18,2291.71,10.9448150684932
"57","windriver",2015,57,0.36794,11.4285479452055,2230.18,2291.71,10.9448150684932
"58","windriver",2015,58,0.36799,11.4285479452055,2230.18,2291.71,10.9448150684932
"59","windriver",2015,59,0.36807,11.4285479452055,2230.18,2291.71,10.9448150684932
"60","windriver",2015,60,0.3682,11.4285479452055,2230.18,2291.71,10.9448150684932
"61","windriver",2015,61,0.36838,11.4285479452055,2230.18,2291.71,10.9448150684932
"62","windriver",2015,62,0.36868,11.4285479452055,2230.18,2291.71,10.9448150684932
"63","windriver",2015,63,0.3691,11.4285479452055,2230.18,2291.71,10.9448150684932
"64","windriver",2015,64,0.3695,11.4285479452055,2230.18,2291.71,10.9448150684932
"65","windriver",2015,65,0.36978,11.4285479452055,2230.18,2291.71,10.9448150684932
"66","windriver",2015,66,0.36985,11.4285479452055,2230.18,2291.71,10.9448150684932
"67","windriver",2015,67,0.36982,11.4285479452055,2230.18,2291.71,10.9448150684932
"68","windriver",2015,68,0.36979,11.4285479452055,2230.18,2291.71,10.9448150684932
"69","windriver",2015,69,0.36986,11.4285479452055,2230.18,2291.71,10.9448150684932
"70","windriver",2015,70,0.37008,11.4285479452055,2230.18,2291.71,10.9448150684932
"71","windriver",2015,71,0.37036,11.4285479452055,2230.18,2291.71,10.9448150684932
"72","windriver",2015,72,0.37065,11.4285479452055,2230.18,2291.71,10.9448150684932
"73","windriver",2015,73,0.37088,11.4285479452055,2230.18,2291.71,10.9448150684932
"74","windriver",2015,74,0.37111,11.4285479452055,2230.18,2291.71,10.9448150684932
"75","windriver",2015,75,0.3714,11.4285479452055,2230.18,2291.71,10.9448150684932
"76","windriver",2015,76,0.37162,11.4285479452055,2230.18,2291.71,10.9448150684932
"77","windriver",2015,77,0.3717,11.4285479452055,2230.18,2291.71,10.9448150684932
"78","windriver",2015,78,0.37139,11.4285479452055,2230.18,2291.71,10.9448150684932
"79","windriver",2015,79,0.37086,11.4285479452055,2230.18,2291.71,10.9448150684932
"80","windriver",2015,80,0.37055,11.4285479452055,2230.18,2291.71,10.9448150684932
"81","windriver",2015,81,0.37035,11.4285479452055,2230.18,2291.71,10.9448150684932
"82","windriver",2015,82,0.37024,11.4285479452055,2230.18,2291.71,10.9448150684932
"83","windriver",2015,83,0.37061,11.4285479452055,2230.18,2291.71,10.9448150684932
"84","windriver",2015,84,0.37126,11.4285479452055,2230.18,2291.71,10.9448150684932
"85","windriver",2015,85,0.37196,11.4285479452055,2230.18,2291.71,10.9448150684932
"86","windriver",2015,86,0.37251,11.4285479452055,2230.18,2291.71,10.9448150684932
"87","windriver",2015,87,0.37298,11.4285479452055,2230.18,2291.71,10.9448150684932
"88","windriver",2015,88,0.37352,11.4285479452055,2230.18,2291.71,10.9448150684932
"89","windriver",2015,89,0.37398,11.4285479452055,2230.18,2291.71,10.9448150684932
"90","windriver",2015,90,0.3742,11.4285479452055,2230.18,2291.71,10.9448150684932
"91","windriver",2015,91,0.37405,11.4285479452055,2230.18,2291.71,10.9448150684932
"92","windriver",2015,92,0.37363,11.4285479452055,2230.18,2291.71,10.9448150684932
"93","windriver",2015,93,0.37314,11.4285479452055,2230.18,2291.71,10.9448150684932
"94","windriver",2015,94,0.37281,11.4285479452055,2230.18,2291.71,10.9448150684932
"95","windriver",2015,95,0.3726,11.4285479452055,2230.18,2291.71,10.9448150684932
"96","windriver",2015,96,0.37238,11.4285479452055,2230.18,2291.71,10.9448150684932
"97","windriver",2015,97,0.37219,11.4285479452055,2230.18,2291.71,10.9448150684932
"98","windriver",2015,98,0.37203,11.4285479452055,2230.18,2291.71,10.9448150684932
"99","windriver",2015,99,0.37187,11.4285479452055,2230.18,2291.71,10.9448150684932
"100","windriver",2015,100,0.3717,11.4285479452055,2230.18,2291.71,10.9448150684932
"101","windriver",2015,101,0.37164,11.4285479452055,2230.18,2291.71,10.9448150684932
"102","windriver",2015,102,0.37179,11.4285479452055,2230.18,2291.71,10.9448150684932
"103","windriver",2015,103,0.37234,11.4285479452055,2230.18,2291.71,10.9448150684932
"104","windriver",2015,104,0.37318,11.4285479452055,2230.18,2291.71,10.9448150684932
"105","windriver",2015,105,0.37404,11.4285479452055,2230.18,2291.71,10.9448150684932
"106","windriver",2015,106,0.37462,11.4285479452055,2230.18,2291.71,10.9448150684932
"107","windriver",2015,107,0.37493,11.4285479452055,2230.18,2291.71,10.9448150684932
"108","windriver",2015,108,0.37516,11.4285479452055,2230.18,2291.71,10.9448150684932
"109","windriver",2015,109,0.37526,11.4285479452055,2230.18,2291.71,10.9448150684932
"110","windriver",2015,110,0.37518,11.4285479452055,2230.18,2291.71,10.9448150684932
"111","windriver",2015,111,0.37461,11.4285479452055,2230.18,2291.71,10.9448150684932
"112","windriver",2015,112,0.37367,11.4285479452055,2230.18,2291.71,10.9448150684932
"113","windriver",2015,113,0.37303,11.4285479452055,2230.18,2291.71,10.9448150684932
"114","windriver",2015,114,0.37258,11.4285479452055,2230.18,2291.71,10.9448150684932
"115","windriver",2015,115,0.37225,11.4285479452055,2230.18,2291.71,10.9448150684932
