"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","NEON.D02.SCBI.DP1.00042",1,0.30971,NA,NA,1135.395,11.9439411581569,1,NA
"2","NEON.D02.SCBI.DP1.00042",2,0.30829,NA,NA,1135.395,11.9439411581569,1,NA
"3","NEON.D02.SCBI.DP1.00042",3,0.30817,NA,NA,1135.395,11.9439411581569,1,NA
"4","NEON.D02.SCBI.DP1.00042",4,0.31129,NA,NA,1135.395,11.9439411581569,1,NA
"5","NEON.D02.SCBI.DP1.00042",5,0.31688,NA,NA,1135.395,11.9439411581569,1,NA
"6","NEON.D02.SCBI.DP1.00042",6,0.32277,NA,NA,1135.395,11.9439411581569,1,NA
"7","NEON.D02.SCBI.DP1.00042",7,0.32677,NA,NA,1135.395,11.9439411581569,1,NA
"8","NEON.D02.SCBI.DP1.00042",8,0.32922,NA,NA,1135.395,11.9439411581569,1,NA
"9","NEON.D02.SCBI.DP1.00042",9,0.32784,NA,NA,1135.395,11.9439411581569,1,NA
"10","NEON.D02.SCBI.DP1.00042",10,0.32443,NA,NA,1135.395,11.9439411581569,1,NA
"11","NEON.D02.SCBI.DP1.00042",11,0.32033,NA,NA,1135.395,11.9439411581569,1,NA
"12","NEON.D02.SCBI.DP1.00042",12,0.31715,NA,NA,1135.395,11.9439411581569,1,NA
"13","NEON.D02.SCBI.DP1.00042",13,0.31429,NA,NA,1135.395,11.9439411581569,1,NA
"14","NEON.D02.SCBI.DP1.00042",14,0.3126,NA,NA,1135.395,11.9439411581569,1,NA
"15","NEON.D02.SCBI.DP1.00042",15,0.312,NA,NA,1135.395,11.9439411581569,1,NA
"16","NEON.D02.SCBI.DP1.00042",16,0.31205,NA,NA,1135.395,11.9439411581569,1,NA
"17","NEON.D02.SCBI.DP1.00042",17,0.31261,NA,NA,1135.395,11.9439411581569,1,NA
"18","NEON.D02.SCBI.DP1.00042",18,0.3133,NA,NA,1135.395,11.9439411581569,1,NA
"19","NEON.D02.SCBI.DP1.00042",19,0.31302,NA,NA,1135.395,11.9439411581569,1,NA
"20","NEON.D02.SCBI.DP1.00042",20,0.31399,NA,NA,1135.395,11.9439411581569,1,NA
"21","NEON.D02.SCBI.DP1.00042",21,0.31542,NA,NA,1135.395,11.9439411581569,1,NA
"22","NEON.D02.SCBI.DP1.00042",22,0.31784,NA,NA,1135.395,11.9439411581569,1,NA
"23","NEON.D02.SCBI.DP1.00042",23,0.31994,NA,NA,1135.395,11.9439411581569,1,NA
"24","NEON.D02.SCBI.DP1.00042",24,0.3212,NA,NA,1135.395,11.9439411581569,1,NA
"25","NEON.D02.SCBI.DP1.00042",25,0.32027,NA,NA,1135.395,11.9439411581569,1,NA
"26","NEON.D02.SCBI.DP1.00042",26,0.31899,NA,NA,1135.395,11.9439411581569,1,NA
"27","NEON.D02.SCBI.DP1.00042",27,0.31827,NA,NA,1135.395,11.9439411581569,1,NA
"28","NEON.D02.SCBI.DP1.00042",28,0.31796,NA,NA,1135.395,11.9439411581569,1,NA
"29","NEON.D02.SCBI.DP1.00042",29,0.32066,NA,NA,1135.395,11.9439411581569,1,NA
"30","NEON.D02.SCBI.DP1.00042",30,0.32187,NA,NA,1135.395,11.9439411581569,1,NA
"31","NEON.D02.SCBI.DP1.00042",31,0.32264,NA,NA,1135.395,11.9439411581569,1,NA
"32","NEON.D02.SCBI.DP1.00042",32,0.32129,NA,NA,1135.395,11.9439411581569,1,NA
