"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","NEON.D06.KONA.DP1.00033",1,0.35001,NA,NA,953.459090909091,12.4766142590286,1,NA
"2","NEON.D06.KONA.DP1.00033",2,0.3503,NA,NA,953.459090909091,12.4766142590286,1,NA
"3","NEON.D06.KONA.DP1.00033",3,0.34728,NA,NA,953.459090909091,12.4766142590286,1,NA
"4","NEON.D06.KONA.DP1.00033",4,0.34337,NA,NA,953.459090909091,12.4766142590286,1,NA
"5","NEON.D06.KONA.DP1.00033",5,0.34004,NA,NA,953.459090909091,12.4766142590286,1,NA
"6","NEON.D06.KONA.DP1.00033",6,0.33885,NA,NA,953.459090909091,12.4766142590286,1,NA
"7","NEON.D06.KONA.DP1.00033",7,0.33918,NA,NA,953.459090909091,12.4766142590286,1,NA
"8","NEON.D06.KONA.DP1.00033",8,0.34152,NA,NA,953.459090909091,12.4766142590286,1,NA
"9","NEON.D06.KONA.DP1.00033",9,0.34431,NA,NA,953.459090909091,12.4766142590286,1,NA
"10","NEON.D06.KONA.DP1.00033",10,0.34613,NA,NA,953.459090909091,12.4766142590286,1,NA
"11","NEON.D06.KONA.DP1.00033",11,0.34708,NA,NA,953.459090909091,12.4766142590286,1,NA
"12","NEON.D06.KONA.DP1.00033",12,0.34613,NA,NA,953.459090909091,12.4766142590286,1,NA
"13","NEON.D06.KONA.DP1.00033",13,0.34615,NA,NA,953.459090909091,12.4766142590286,1,NA
"14","NEON.D06.KONA.DP1.00033",14,0.3466,NA,NA,953.459090909091,12.4766142590286,1,NA
"15","NEON.D06.KONA.DP1.00033",15,0.34814,NA,NA,953.459090909091,12.4766142590286,1,NA
"16","NEON.D06.KONA.DP1.00033",16,0.34858,NA,NA,953.459090909091,12.4766142590286,1,NA
"17","NEON.D06.KONA.DP1.00033",17,0.34882,NA,NA,953.459090909091,12.4766142590286,1,NA
"18","NEON.D06.KONA.DP1.00033",18,0.34881,NA,NA,953.459090909091,12.4766142590286,1,NA
"19","NEON.D06.KONA.DP1.00033",19,0.34981,NA,NA,953.459090909091,12.4766142590286,1,NA
"20","NEON.D06.KONA.DP1.00033",20,0.35114,NA,NA,953.459090909091,12.4766142590286,1,NA
"21","NEON.D06.KONA.DP1.00033",21,0.35258,NA,NA,953.459090909091,12.4766142590286,1,NA
"22","NEON.D06.KONA.DP1.00033",22,0.35379,NA,NA,953.459090909091,12.4766142590286,1,NA
"23","NEON.D06.KONA.DP1.00033",23,0.35434,NA,NA,953.459090909091,12.4766142590286,1,NA
"24","NEON.D06.KONA.DP1.00033",24,0.3542,NA,NA,953.459090909091,12.4766142590286,1,NA
"25","NEON.D06.KONA.DP1.00033",25,0.3528,NA,NA,953.459090909091,12.4766142590286,1,NA
