"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","arbutuslakeinlet",1,0.345494,NA,NA,1183.73227272727,5.09777210460772,5,NA
"2","arbutuslakeinlet",2,0.345984,NA,NA,1183.73227272727,5.09777210460772,5,NA
"3","arbutuslakeinlet",3,0.346638,NA,NA,1183.73227272727,5.09777210460772,5,NA
"4","arbutuslakeinlet",4,0.347456,NA,NA,1183.73227272727,5.09777210460772,5,NA
"5","arbutuslakeinlet",5,0.34827,NA,NA,1183.73227272727,5.09777210460772,5,NA
"6","arbutuslakeinlet",6,0.34893,NA,NA,1183.73227272727,5.09777210460772,5,NA
"7","arbutuslakeinlet",7,0.349464,NA,NA,1183.73227272727,5.09777210460772,5,NA
"8","arbutuslakeinlet",8,0.34986,NA,NA,1183.73227272727,5.09777210460772,5,NA
"9","arbutuslakeinlet",9,0.35029,NA,NA,1183.73227272727,5.09777210460772,5,NA
"10","arbutuslakeinlet",10,0.35053,NA,NA,1183.73227272727,5.09777210460772,5,NA
"11","arbutuslakeinlet",11,0.349998,NA,NA,1183.73227272727,5.09777210460772,5,NA
"12","arbutuslakeinlet",12,0.34879,NA,NA,1183.73227272727,5.09777210460772,5,NA
"13","arbutuslakeinlet",13,0.347342,NA,NA,1183.73227272727,5.09777210460772,5,NA
"14","arbutuslakeinlet",14,0.34571,NA,NA,1183.73227272727,5.09777210460772,5,NA
"15","arbutuslakeinlet",15,0.343992,NA,NA,1183.73227272727,5.09777210460772,5,NA
"16","arbutuslakeinlet",16,0.342618,NA,NA,1183.73227272727,5.09777210460772,5,NA
"17","arbutuslakeinlet",17,0.34177,NA,NA,1183.73227272727,5.09777210460772,5,NA
"18","arbutuslakeinlet",18,0.341286,NA,NA,1183.73227272727,5.09777210460772,5,NA
"19","arbutuslakeinlet",19,0.341102,NA,NA,1183.73227272727,5.09777210460772,5,NA
"20","arbutuslakeinlet",20,0.341064,NA,NA,1183.73227272727,5.09777210460772,5,NA
"21","arbutuslakeinlet",21,0.34112,NA,NA,1183.73227272727,5.09777210460772,5,NA
"22","arbutuslakeinlet",22,0.341358,NA,NA,1183.73227272727,5.09777210460772,5,NA
"23","arbutuslakeinlet",23,0.34181,NA,NA,1183.73227272727,5.09777210460772,5,NA
"24","arbutuslakeinlet",24,0.34242,NA,NA,1183.73227272727,5.09777210460772,5,NA
"25","arbutuslakeinlet",25,0.343364,NA,NA,1183.73227272727,5.09777210460772,5,NA
"26","arbutuslakeinlet",26,0.344698,NA,NA,1183.73227272727,5.09777210460772,5,NA
"27","arbutuslakeinlet",27,0.34608,NA,NA,1183.73227272727,5.09777210460772,5,NA
"28","arbutuslakeinlet",28,0.347206,NA,NA,1183.73227272727,5.09777210460772,5,NA
"29","arbutuslakeinlet",29,0.347906,NA,NA,1183.73227272727,5.09777210460772,5,NA
"30","arbutuslakeinlet",30,0.348064,NA,NA,1183.73227272727,5.09777210460772,5,NA
"31","arbutuslakeinlet",31,0.347944,NA,NA,1183.73227272727,5.09777210460772,5,NA
"32","arbutuslakeinlet",32,0.34782,NA,NA,1183.73227272727,5.09777210460772,5,NA
"33","arbutuslakeinlet",33,0.347736,NA,NA,1183.73227272727,5.09777210460772,5,NA
"34","arbutuslakeinlet",34,0.347646,NA,NA,1183.73227272727,5.09777210460772,5,NA
"35","arbutuslakeinlet",35,0.347568,NA,NA,1183.73227272727,5.09777210460772,5,NA
"36","arbutuslakeinlet",36,0.347512,NA,NA,1183.73227272727,5.09777210460772,5,NA
"37","arbutuslakeinlet",37,0.347632,NA,NA,1183.73227272727,5.09777210460772,5,NA
"38","arbutuslakeinlet",38,0.348048,NA,NA,1183.73227272727,5.09777210460772,5,NA
"39","arbutuslakeinlet",39,0.34893,NA,NA,1183.73227272727,5.09777210460772,5,NA
"40","arbutuslakeinlet",40,0.35018,NA,NA,1183.73227272727,5.09777210460772,5,NA
"41","arbutuslakeinlet",41,0.351736,NA,NA,1183.73227272727,5.09777210460772,5,NA
"42","arbutuslakeinlet",42,0.35352,NA,NA,1183.73227272727,5.09777210460772,5,NA
"43","arbutuslakeinlet",43,0.355156,NA,NA,1183.73227272727,5.09777210460772,5,NA
"44","arbutuslakeinlet",44,0.356368,NA,NA,1183.73227272727,5.09777210460772,5,NA
"45","arbutuslakeinlet",45,0.357286,NA,NA,1183.73227272727,5.09777210460772,5,NA
"46","arbutuslakeinlet",46,0.357914,NA,NA,1183.73227272727,5.09777210460772,5,NA
"47","arbutuslakeinlet",47,0.357984,NA,NA,1183.73227272727,5.09777210460772,5,NA
"48","arbutuslakeinlet",48,0.357446,NA,NA,1183.73227272727,5.09777210460772,5,NA
"49","arbutuslakeinlet",49,0.355938,NA,NA,1183.73227272727,5.09777210460772,5,NA
"50","arbutuslakeinlet",50,0.353494,NA,NA,1183.73227272727,5.09777210460772,5,NA
"51","arbutuslakeinlet",51,0.351184,NA,NA,1183.73227272727,5.09777210460772,5,NA
"52","arbutuslakeinlet",52,0.349614,NA,NA,1183.73227272727,5.09777210460772,5,NA
"53","arbutuslakeinlet",53,0.348316,NA,NA,1183.73227272727,5.09777210460772,5,NA
"54","arbutuslakeinlet",54,0.347116,NA,NA,1183.73227272727,5.09777210460772,5,NA
"55","arbutuslakeinlet",55,0.346096,NA,NA,1183.73227272727,5.09777210460772,5,NA
"56","arbutuslakeinlet",56,0.345344,NA,NA,1183.73227272727,5.09777210460772,5,NA
"57","arbutuslakeinlet",57,0.34502,NA,NA,1183.73227272727,5.09777210460772,5,NA
"58","arbutuslakeinlet",58,0.34506,NA,NA,1183.73227272727,5.09777210460772,5,NA
"59","arbutuslakeinlet",59,0.345178,NA,NA,1183.73227272727,5.09777210460772,5,NA
"60","arbutuslakeinlet",60,0.345714,NA,NA,1183.73227272727,5.09777210460772,5,NA
"61","arbutuslakeinlet",61,0.347086,NA,NA,1183.73227272727,5.09777210460772,5,NA
"62","arbutuslakeinlet",62,0.348768,NA,NA,1183.73227272727,5.09777210460772,5,NA
"63","arbutuslakeinlet",63,0.349968,NA,NA,1183.73227272727,5.09777210460772,5,NA
"64","arbutuslakeinlet",64,0.35032,NA,NA,1183.73227272727,5.09777210460772,5,NA
"65","arbutuslakeinlet",65,0.350608,NA,NA,1183.73227272727,5.09777210460772,5,NA
"66","arbutuslakeinlet",66,0.351104,NA,NA,1183.73227272727,5.09777210460772,5,NA
"67","arbutuslakeinlet",67,0.351044,NA,NA,1183.73227272727,5.09777210460772,5,NA
"68","arbutuslakeinlet",68,0.3505,NA,NA,1183.73227272727,5.09777210460772,5,NA
"69","arbutuslakeinlet",69,0.35015,NA,NA,1183.73227272727,5.09777210460772,5,NA
"70","arbutuslakeinlet",70,0.350264,NA,NA,1183.73227272727,5.09777210460772,5,NA
"71","arbutuslakeinlet",71,0.351234,NA,NA,1183.73227272727,5.09777210460772,5,NA
"72","arbutuslakeinlet",72,0.352674,NA,NA,1183.73227272727,5.09777210460772,5,NA
"73","arbutuslakeinlet",73,0.353762,NA,NA,1183.73227272727,5.09777210460772,5,NA
"74","arbutuslakeinlet",74,0.354348,NA,NA,1183.73227272727,5.09777210460772,5,NA
"75","arbutuslakeinlet",75,0.35487,NA,NA,1183.73227272727,5.09777210460772,5,NA
"76","arbutuslakeinlet",76,0.355464,NA,NA,1183.73227272727,5.09777210460772,5,NA
"77","arbutuslakeinlet",77,0.356114,NA,NA,1183.73227272727,5.09777210460772,5,NA
"78","arbutuslakeinlet",78,0.35664,NA,NA,1183.73227272727,5.09777210460772,5,NA
"79","arbutuslakeinlet",79,0.356768,NA,NA,1183.73227272727,5.09777210460772,5,NA
"80","arbutuslakeinlet",80,0.356534,NA,NA,1183.73227272727,5.09777210460772,5,NA
"81","arbutuslakeinlet",81,0.356324,NA,NA,1183.73227272727,5.09777210460772,5,NA
"82","arbutuslakeinlet",82,0.356078,NA,NA,1183.73227272727,5.09777210460772,5,NA
"83","arbutuslakeinlet",83,0.355712,NA,NA,1183.73227272727,5.09777210460772,5,NA
"84","arbutuslakeinlet",84,0.355472,NA,NA,1183.73227272727,5.09777210460772,5,NA
"85","arbutuslakeinlet",85,0.355458,NA,NA,1183.73227272727,5.09777210460772,5,NA
"86","arbutuslakeinlet",86,0.355648,NA,NA,1183.73227272727,5.09777210460772,5,NA
"87","arbutuslakeinlet",87,0.35601,NA,NA,1183.73227272727,5.09777210460772,5,NA
"88","arbutuslakeinlet",88,0.356428,NA,NA,1183.73227272727,5.09777210460772,5,NA
"89","arbutuslakeinlet",89,0.356794,NA,NA,1183.73227272727,5.09777210460772,5,NA
"90","arbutuslakeinlet",90,0.357188,NA,NA,1183.73227272727,5.09777210460772,5,NA
"91","arbutuslakeinlet",91,0.35765,NA,NA,1183.73227272727,5.09777210460772,5,NA
"92","arbutuslakeinlet",92,0.357934,NA,NA,1183.73227272727,5.09777210460772,5,NA
"93","arbutuslakeinlet",93,0.3578,NA,NA,1183.73227272727,5.09777210460772,5,NA
"94","arbutuslakeinlet",94,0.35749,NA,NA,1183.73227272727,5.09777210460772,5,NA
"95","arbutuslakeinlet",95,0.357396,NA,NA,1183.73227272727,5.09777210460772,5,NA
"96","arbutuslakeinlet",96,0.35766,NA,NA,1183.73227272727,5.09777210460772,5,NA
"97","arbutuslakeinlet",97,0.35823,NA,NA,1183.73227272727,5.09777210460772,5,NA
"98","arbutuslakeinlet",98,0.35919,NA,NA,1183.73227272727,5.09777210460772,5,NA
"99","arbutuslakeinlet",99,0.36036,NA,NA,1183.73227272727,5.09777210460772,5,NA
"100","arbutuslakeinlet",100,0.361502,NA,NA,1183.73227272727,5.09777210460772,5,NA
"101","arbutuslakeinlet",101,0.363028,NA,NA,1183.73227272727,5.09777210460772,5,NA
