"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","bartlettir",1,0.353525,NA,NA,1330.0875,6.54264539227895,2,NA
"2","bartlettir",2,0.353115,NA,NA,1330.0875,6.54264539227895,2,NA
"3","bartlettir",3,0.35271,NA,NA,1330.0875,6.54264539227895,2,NA
"4","bartlettir",4,0.35217,NA,NA,1330.0875,6.54264539227895,2,NA
"5","bartlettir",5,0.35142,NA,NA,1330.0875,6.54264539227895,2,NA
"6","bartlettir",6,0.350615,NA,NA,1330.0875,6.54264539227895,2,NA
"7","bartlettir",7,0.34987,NA,NA,1330.0875,6.54264539227895,2,NA
"8","bartlettir",8,0.349315,NA,NA,1330.0875,6.54264539227895,2,NA
"9","bartlettir",9,0.34895,NA,NA,1330.0875,6.54264539227895,2,NA
"10","bartlettir",10,0.34866,NA,NA,1330.0875,6.54264539227895,2,NA
"11","bartlettir",11,0.34844,NA,NA,1330.0875,6.54264539227895,2,NA
"12","bartlettir",12,0.348275,NA,NA,1330.0875,6.54264539227895,2,NA
"13","bartlettir",13,0.348155,NA,NA,1330.0875,6.54264539227895,2,NA
"14","bartlettir",14,0.348065,NA,NA,1330.0875,6.54264539227895,2,NA
"15","bartlettir",15,0.347975,NA,NA,1330.0875,6.54264539227895,2,NA
"16","bartlettir",16,0.347875,NA,NA,1330.0875,6.54264539227895,2,NA
"17","bartlettir",17,0.347775,NA,NA,1330.0875,6.54264539227895,2,NA
"18","bartlettir",18,0.34769,NA,NA,1330.0875,6.54264539227895,2,NA
"19","bartlettir",19,0.347625,NA,NA,1330.0875,6.54264539227895,2,NA
"20","bartlettir",20,0.347645,NA,NA,1330.0875,6.54264539227895,2,NA
"21","bartlettir",21,0.347815,NA,NA,1330.0875,6.54264539227895,2,NA
"22","bartlettir",22,0.348105,NA,NA,1330.0875,6.54264539227895,2,NA
"23","bartlettir",23,0.34845,NA,NA,1330.0875,6.54264539227895,2,NA
"24","bartlettir",24,0.348785,NA,NA,1330.0875,6.54264539227895,2,NA
"25","bartlettir",25,0.34905,NA,NA,1330.0875,6.54264539227895,2,NA
"26","bartlettir",26,0.349135,NA,NA,1330.0875,6.54264539227895,2,NA
"27","bartlettir",27,0.349025,NA,NA,1330.0875,6.54264539227895,2,NA
"28","bartlettir",28,0.348825,NA,NA,1330.0875,6.54264539227895,2,NA
"29","bartlettir",29,0.348605,NA,NA,1330.0875,6.54264539227895,2,NA
"30","bartlettir",30,0.348435,NA,NA,1330.0875,6.54264539227895,2,NA
"31","bartlettir",31,0.348385,NA,NA,1330.0875,6.54264539227895,2,NA
"32","bartlettir",32,0.34848,NA,NA,1330.0875,6.54264539227895,2,NA
"33","bartlettir",33,0.34868,NA,NA,1330.0875,6.54264539227895,2,NA
"34","bartlettir",34,0.348925,NA,NA,1330.0875,6.54264539227895,2,NA
"35","bartlettir",35,0.34922,NA,NA,1330.0875,6.54264539227895,2,NA
"36","bartlettir",36,0.34953,NA,NA,1330.0875,6.54264539227895,2,NA
"37","bartlettir",37,0.34985,NA,NA,1330.0875,6.54264539227895,2,NA
"38","bartlettir",38,0.350215,NA,NA,1330.0875,6.54264539227895,2,NA
"39","bartlettir",39,0.350745,NA,NA,1330.0875,6.54264539227895,2,NA
"40","bartlettir",40,0.35145,NA,NA,1330.0875,6.54264539227895,2,NA
"41","bartlettir",41,0.352215,NA,NA,1330.0875,6.54264539227895,2,NA
"42","bartlettir",42,0.352935,NA,NA,1330.0875,6.54264539227895,2,NA
"43","bartlettir",43,0.35352,NA,NA,1330.0875,6.54264539227895,2,NA
