"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","bbc1",1,0.334185714285714,0.3334,-0.000785714285714334,1354.84545454545,7.51808312577833,7,1
"2","bbc1",2,0.334162857142857,0.33319,-0.000972857142857164,1354.84545454545,7.51808312577833,7,1
"3","bbc1",3,0.334145714285714,0.33303,-0.00111571428571428,1354.84545454545,7.51808312577833,7,1
"4","bbc1",4,0.334132857142857,0.33296,-0.00117285714285714,1354.84545454545,7.51808312577833,7,1
"5","bbc1",5,0.334151428571429,0.33297,-0.00118142857142856,1354.84545454545,7.51808312577833,7,1
"6","bbc1",6,0.334245714285714,0.333,-0.00124571428571429,1354.84545454545,7.51808312577833,7,1
"7","bbc1",7,0.334391428571429,0.33296,-0.00143142857142858,1354.84545454545,7.51808312577833,7,1
"8","bbc1",8,0.334507142857143,0.33289,-0.00161714285714282,1354.84545454545,7.51808312577833,7,1
"9","bbc1",9,0.334561428571429,0.33285,-0.00171142857142859,1354.84545454545,7.51808312577833,7,1
"10","bbc1",10,0.334595714285714,0.33281,-0.00178571428571428,1354.84545454545,7.51808312577833,7,1
"11","bbc1",11,0.334638571428571,0.33275,-0.00188857142857146,1354.84545454545,7.51808312577833,7,1
"12","bbc1",12,0.334682857142857,0.33264,-0.00204285714285712,1354.84545454545,7.51808312577833,7,1
"13","bbc1",13,0.334725714285714,0.33249,-0.00223571428571429,1354.84545454545,7.51808312577833,7,1
"14","bbc1",14,0.33476,0.3323,-0.00246000000000002,1354.84545454545,7.51808312577833,7,1
"15","bbc1",15,0.334765714285714,0.33211,-0.00265571428571426,1354.84545454545,7.51808312577833,7,1
"16","bbc1",16,0.334725714285714,0.33193,-0.00279571428571429,1354.84545454545,7.51808312577833,7,1
"17","bbc1",17,0.334627142857143,0.3318,-0.00282714285714286,1354.84545454545,7.51808312577833,7,1
"18","bbc1",18,0.334498571428571,0.33174,-0.00275857142857144,1354.84545454545,7.51808312577833,7,1
"19","bbc1",19,0.33438,0.33171,-0.00267000000000001,1354.84545454545,7.51808312577833,7,1
"20","bbc1",20,0.334257142857143,0.3317,-0.00255714285714287,1354.84545454545,7.51808312577833,7,1
"21","bbc1",21,0.33409,0.3317,-0.00239,1354.84545454545,7.51808312577833,7,1
"22","bbc1",22,0.333891428571429,0.33175,-0.00214142857142857,1354.84545454545,7.51808312577833,7,1
"23","bbc1",23,0.333717142857143,0.33194,-0.00177714285714287,1354.84545454545,7.51808312577833,7,1
"24","bbc1",24,0.333601428571429,0.33229,-0.00131142857142863,1354.84545454545,7.51808312577833,7,1
"25","bbc1",25,0.333525714285714,0.33264,-0.000885714285714267,1354.84545454545,7.51808312577833,7,1
"26","bbc1",26,0.333471428571429,0.33285,-0.000621428571428606,1354.84545454545,7.51808312577833,7,1
"27","bbc1",27,0.33344,0.33293,-0.00051000000000001,1354.84545454545,7.51808312577833,7,1
"28","bbc1",28,0.333428571428571,0.33302,-0.000408571428571425,1354.84545454545,7.51808312577833,7,1
"29","bbc1",29,0.333427142857143,0.33311,-0.000317142857142849,1354.84545454545,7.51808312577833,7,1
"30","bbc1",30,0.333425714285714,0.33318,-0.000245714285714294,1354.84545454545,7.51808312577833,7,1
"31","bbc1",31,0.333445714285714,0.33321,-0.000235714285714284,1354.84545454545,7.51808312577833,7,1
"32","bbc1",32,0.333491428571429,0.3332,-0.000291428571428554,1354.84545454545,7.51808312577833,7,1
"33","bbc1",33,0.333544285714286,0.33312,-0.00042428571428571,1354.84545454545,7.51808312577833,7,1
"34","bbc1",34,0.333591428571429,0.33287,-0.000721428571428595,1354.84545454545,7.51808312577833,7,1
"35","bbc1",35,0.333642857142857,0.33246,-0.00118285714285715,1354.84545454545,7.51808312577833,7,1
"36","bbc1",36,0.333682857142857,0.33205,-0.0016328571428571,1354.84545454545,7.51808312577833,7,1
"37","bbc1",37,0.333725714285714,0.3318,-0.00192571428571431,1354.84545454545,7.51808312577833,7,1
"38","bbc1",38,0.333787142857143,0.33159,-0.0021971428571429,1354.84545454545,7.51808312577833,7,1
"39","bbc1",39,0.33386,0.33128,-0.00257999999999997,1354.84545454545,7.51808312577833,7,1
"40","bbc1",40,0.333941428571429,0.33098,-0.00296142857142856,1354.84545454545,7.51808312577833,7,1
"41","bbc1",41,0.334041428571429,0.33084,-0.00320142857142858,1354.84545454545,7.51808312577833,7,1
"42","bbc1",42,0.33416,0.33082,-0.00334000000000001,1354.84545454545,7.51808312577833,7,1
