"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","bitterootvalley",1,0.33793,NA,NA,341.449318181818,8.0505899750934,1,NA
"2","bitterootvalley",2,0.33777,NA,NA,341.449318181818,8.0505899750934,1,NA
"3","bitterootvalley",3,0.33781,NA,NA,341.449318181818,8.0505899750934,1,NA
"4","bitterootvalley",4,0.33779,NA,NA,341.449318181818,8.0505899750934,1,NA
"5","bitterootvalley",5,0.33767,NA,NA,341.449318181818,8.0505899750934,1,NA
"6","bitterootvalley",6,0.33754,NA,NA,341.449318181818,8.0505899750934,1,NA
"7","bitterootvalley",7,0.33726,NA,NA,341.449318181818,8.0505899750934,1,NA
"8","bitterootvalley",8,0.33699,NA,NA,341.449318181818,8.0505899750934,1,NA
"9","bitterootvalley",9,0.33687,NA,NA,341.449318181818,8.0505899750934,1,NA
"10","bitterootvalley",10,0.33679,NA,NA,341.449318181818,8.0505899750934,1,NA
"11","bitterootvalley",11,0.33672,NA,NA,341.449318181818,8.0505899750934,1,NA
"12","bitterootvalley",12,0.33663,NA,NA,341.449318181818,8.0505899750934,1,NA
"13","bitterootvalley",13,0.33653,NA,NA,341.449318181818,8.0505899750934,1,NA
"14","bitterootvalley",14,0.33644,NA,NA,341.449318181818,8.0505899750934,1,NA
"15","bitterootvalley",15,0.33635,NA,NA,341.449318181818,8.0505899750934,1,NA
"16","bitterootvalley",16,0.33615,NA,NA,341.449318181818,8.0505899750934,1,NA
"17","bitterootvalley",17,0.3359,NA,NA,341.449318181818,8.0505899750934,1,NA
"18","bitterootvalley",18,0.33573,NA,NA,341.449318181818,8.0505899750934,1,NA
"19","bitterootvalley",19,0.33555,NA,NA,341.449318181818,8.0505899750934,1,NA
"20","bitterootvalley",20,0.33543,NA,NA,341.449318181818,8.0505899750934,1,NA
"21","bitterootvalley",21,0.33561,NA,NA,341.449318181818,8.0505899750934,1,NA
"22","bitterootvalley",22,0.33582,NA,NA,341.449318181818,8.0505899750934,1,NA
"23","bitterootvalley",23,0.33602,NA,NA,341.449318181818,8.0505899750934,1,NA
"24","bitterootvalley",24,0.33624,NA,NA,341.449318181818,8.0505899750934,1,NA
"25","bitterootvalley",25,0.33644,NA,NA,341.449318181818,8.0505899750934,1,NA
"26","bitterootvalley",26,0.33661,NA,NA,341.449318181818,8.0505899750934,1,NA
"27","bitterootvalley",27,0.33668,NA,NA,341.449318181818,8.0505899750934,1,NA
"28","bitterootvalley",28,0.33668,NA,NA,341.449318181818,8.0505899750934,1,NA
"29","bitterootvalley",29,0.33644,NA,NA,341.449318181818,8.0505899750934,1,NA
"30","bitterootvalley",30,0.33616,NA,NA,341.449318181818,8.0505899750934,1,NA
"31","bitterootvalley",31,0.33588,NA,NA,341.449318181818,8.0505899750934,1,NA
"32","bitterootvalley",32,0.33553,NA,NA,341.449318181818,8.0505899750934,1,NA
"33","bitterootvalley",33,0.33532,NA,NA,341.449318181818,8.0505899750934,1,NA
"34","bitterootvalley",34,0.33521,NA,NA,341.449318181818,8.0505899750934,1,NA
"35","bitterootvalley",35,0.33517,NA,NA,341.449318181818,8.0505899750934,1,NA
"36","bitterootvalley",36,0.33525,NA,NA,341.449318181818,8.0505899750934,1,NA
"37","bitterootvalley",37,0.3354,NA,NA,341.449318181818,8.0505899750934,1,NA
"38","bitterootvalley",38,0.33556,NA,NA,341.449318181818,8.0505899750934,1,NA
"39","bitterootvalley",39,0.33577,NA,NA,341.449318181818,8.0505899750934,1,NA
"40","bitterootvalley",40,0.33617,NA,NA,341.449318181818,8.0505899750934,1,NA
"41","bitterootvalley",41,0.33708,NA,NA,341.449318181818,8.0505899750934,1,NA
"42","bitterootvalley",42,0.33803,NA,NA,341.449318181818,8.0505899750934,1,NA
"43","bitterootvalley",43,0.33903,NA,NA,341.449318181818,8.0505899750934,1,NA
"44","bitterootvalley",44,0.33996,NA,NA,341.449318181818,8.0505899750934,1,NA
"45","bitterootvalley",45,0.34059,NA,NA,341.449318181818,8.0505899750934,1,NA
"46","bitterootvalley",46,0.34123,NA,NA,341.449318181818,8.0505899750934,1,NA
"47","bitterootvalley",47,0.3416,NA,NA,341.449318181818,8.0505899750934,1,NA
"48","bitterootvalley",48,0.34128,NA,NA,341.449318181818,8.0505899750934,1,NA
"49","bitterootvalley",49,0.34072,NA,NA,341.449318181818,8.0505899750934,1,NA
"50","bitterootvalley",50,0.3399,NA,NA,341.449318181818,8.0505899750934,1,NA
"51","bitterootvalley",51,0.33899,NA,NA,341.449318181818,8.0505899750934,1,NA
"52","bitterootvalley",52,0.33826,NA,NA,341.449318181818,8.0505899750934,1,NA
"53","bitterootvalley",53,0.33762,NA,NA,341.449318181818,8.0505899750934,1,NA
"54","bitterootvalley",54,0.33731,NA,NA,341.449318181818,8.0505899750934,1,NA
"55","bitterootvalley",55,0.33713,NA,NA,341.449318181818,8.0505899750934,1,NA
"56","bitterootvalley",56,0.337,NA,NA,341.449318181818,8.0505899750934,1,NA
"57","bitterootvalley",57,0.33703,NA,NA,341.449318181818,8.0505899750934,1,NA
"58","bitterootvalley",58,0.33764,NA,NA,341.449318181818,8.0505899750934,1,NA
"59","bitterootvalley",59,0.33833,NA,NA,341.449318181818,8.0505899750934,1,NA
"60","bitterootvalley",60,0.33897,NA,NA,341.449318181818,8.0505899750934,1,NA
"61","bitterootvalley",61,0.33978,NA,NA,341.449318181818,8.0505899750934,1,NA
"62","bitterootvalley",62,0.34031,NA,NA,341.449318181818,8.0505899750934,1,NA
"63","bitterootvalley",63,0.34049,NA,NA,341.449318181818,8.0505899750934,1,NA
"64","bitterootvalley",64,0.34053,NA,NA,341.449318181818,8.0505899750934,1,NA
"65","bitterootvalley",65,0.34012,NA,NA,341.449318181818,8.0505899750934,1,NA
"66","bitterootvalley",66,0.33961,NA,NA,341.449318181818,8.0505899750934,1,NA
"67","bitterootvalley",67,0.33915,NA,NA,341.449318181818,8.0505899750934,1,NA
"68","bitterootvalley",68,0.33852,NA,NA,341.449318181818,8.0505899750934,1,NA
"69","bitterootvalley",69,0.33811,NA,NA,341.449318181818,8.0505899750934,1,NA
"70","bitterootvalley",70,0.33826,NA,NA,341.449318181818,8.0505899750934,1,NA
"71","bitterootvalley",71,0.33848,NA,NA,341.449318181818,8.0505899750934,1,NA
"72","bitterootvalley",72,0.33863,NA,NA,341.449318181818,8.0505899750934,1,NA
"73","bitterootvalley",73,0.33875,NA,NA,341.449318181818,8.0505899750934,1,NA
"74","bitterootvalley",74,0.33866,NA,NA,341.449318181818,8.0505899750934,1,NA
"75","bitterootvalley",75,0.33852,NA,NA,341.449318181818,8.0505899750934,1,NA
"76","bitterootvalley",76,0.33837,NA,NA,341.449318181818,8.0505899750934,1,NA
"77","bitterootvalley",77,0.33805,NA,NA,341.449318181818,8.0505899750934,1,NA
"78","bitterootvalley",78,0.33772,NA,NA,341.449318181818,8.0505899750934,1,NA
"79","bitterootvalley",79,0.33749,NA,NA,341.449318181818,8.0505899750934,1,NA
"80","bitterootvalley",80,0.3373,NA,NA,341.449318181818,8.0505899750934,1,NA
"81","bitterootvalley",81,0.33726,NA,NA,341.449318181818,8.0505899750934,1,NA
"82","bitterootvalley",82,0.33732,NA,NA,341.449318181818,8.0505899750934,1,NA
"83","bitterootvalley",83,0.33754,NA,NA,341.449318181818,8.0505899750934,1,NA
"84","bitterootvalley",84,0.33783,NA,NA,341.449318181818,8.0505899750934,1,NA
"85","bitterootvalley",85,0.33817,NA,NA,341.449318181818,8.0505899750934,1,NA
"86","bitterootvalley",86,0.33851,NA,NA,341.449318181818,8.0505899750934,1,NA
"87","bitterootvalley",87,0.33881,NA,NA,341.449318181818,8.0505899750934,1,NA
"88","bitterootvalley",88,0.33906,NA,NA,341.449318181818,8.0505899750934,1,NA
"89","bitterootvalley",89,0.33917,NA,NA,341.449318181818,8.0505899750934,1,NA
"90","bitterootvalley",90,0.33924,NA,NA,341.449318181818,8.0505899750934,1,NA
"91","bitterootvalley",91,0.33925,NA,NA,341.449318181818,8.0505899750934,1,NA
"92","bitterootvalley",92,0.33899,NA,NA,341.449318181818,8.0505899750934,1,NA
"93","bitterootvalley",93,0.33871,NA,NA,341.449318181818,8.0505899750934,1,NA
"94","bitterootvalley",94,0.33864,NA,NA,341.449318181818,8.0505899750934,1,NA
"95","bitterootvalley",95,0.33861,NA,NA,341.449318181818,8.0505899750934,1,NA
"96","bitterootvalley",96,0.33884,NA,NA,341.449318181818,8.0505899750934,1,NA
"97","bitterootvalley",97,0.33922,NA,NA,341.449318181818,8.0505899750934,1,NA
"98","bitterootvalley",98,0.3394,NA,NA,341.449318181818,8.0505899750934,1,NA
"99","bitterootvalley",99,0.33924,NA,NA,341.449318181818,8.0505899750934,1,NA
"100","bitterootvalley",100,0.33903,NA,NA,341.449318181818,8.0505899750934,1,NA
"101","bitterootvalley",101,0.33875,NA,NA,341.449318181818,8.0505899750934,1,NA
"102","bitterootvalley",102,0.33846,NA,NA,341.449318181818,8.0505899750934,1,NA
"103","bitterootvalley",103,0.33821,NA,NA,341.449318181818,8.0505899750934,1,NA
"104","bitterootvalley",104,0.33789,NA,NA,341.449318181818,8.0505899750934,1,NA
"105","bitterootvalley",105,0.33775,NA,NA,341.449318181818,8.0505899750934,1,NA
"106","bitterootvalley",106,0.33784,NA,NA,341.449318181818,8.0505899750934,1,NA
"107","bitterootvalley",107,0.33807,NA,NA,341.449318181818,8.0505899750934,1,NA
"108","bitterootvalley",108,0.33855,NA,NA,341.449318181818,8.0505899750934,1,NA
"109","bitterootvalley",109,0.33913,NA,NA,341.449318181818,8.0505899750934,1,NA
"110","bitterootvalley",110,0.33976,NA,NA,341.449318181818,8.0505899750934,1,NA
"111","bitterootvalley",111,0.3404,NA,NA,341.449318181818,8.0505899750934,1,NA
"112","bitterootvalley",112,0.341,NA,NA,341.449318181818,8.0505899750934,1,NA
"113","bitterootvalley",113,0.3416,NA,NA,341.449318181818,8.0505899750934,1,NA
"114","bitterootvalley",114,0.34215,NA,NA,341.449318181818,8.0505899750934,1,NA
"115","bitterootvalley",115,0.34269,NA,NA,341.449318181818,8.0505899750934,1,NA
"116","bitterootvalley",116,0.34304,NA,NA,341.449318181818,8.0505899750934,1,NA
"117","bitterootvalley",117,0.34339,NA,NA,341.449318181818,8.0505899750934,1,NA
"118","bitterootvalley",118,0.34389,NA,NA,341.449318181818,8.0505899750934,1,NA
"119","bitterootvalley",119,0.34441,NA,NA,341.449318181818,8.0505899750934,1,NA
"120","bitterootvalley",120,0.34501,NA,NA,341.449318181818,8.0505899750934,1,NA
"121","bitterootvalley",121,0.34588,NA,NA,341.449318181818,8.0505899750934,1,NA
"122","bitterootvalley",122,0.34679,NA,NA,341.449318181818,8.0505899750934,1,NA
"123","bitterootvalley",123,0.34748,NA,NA,341.449318181818,8.0505899750934,1,NA
"124","bitterootvalley",124,0.3482,NA,NA,341.449318181818,8.0505899750934,1,NA
"125","bitterootvalley",125,0.34902,NA,NA,341.449318181818,8.0505899750934,1,NA
"126","bitterootvalley",126,0.34986,NA,NA,341.449318181818,8.0505899750934,1,NA
"127","bitterootvalley",127,0.35083,NA,NA,341.449318181818,8.0505899750934,1,NA
"128","bitterootvalley",128,0.35206,NA,NA,341.449318181818,8.0505899750934,1,NA
"129","bitterootvalley",129,0.35331,NA,NA,341.449318181818,8.0505899750934,1,NA
"130","bitterootvalley",130,0.35435,NA,NA,341.449318181818,8.0505899750934,1,NA
"131","bitterootvalley",131,0.35546,NA,NA,341.449318181818,8.0505899750934,1,NA
"132","bitterootvalley",132,0.35655,NA,NA,341.449318181818,8.0505899750934,1,NA
"133","bitterootvalley",133,0.35763,NA,NA,341.449318181818,8.0505899750934,1,NA
"134","bitterootvalley",134,0.3591,NA,NA,341.449318181818,8.0505899750934,1,NA
"135","bitterootvalley",135,0.36134,NA,NA,341.449318181818,8.0505899750934,1,NA
"136","bitterootvalley",136,0.36368,NA,NA,341.449318181818,8.0505899750934,1,NA
"137","bitterootvalley",137,0.36647,NA,NA,341.449318181818,8.0505899750934,1,NA
"138","bitterootvalley",138,0.36915,NA,NA,341.449318181818,8.0505899750934,1,NA
"139","bitterootvalley",139,0.3712,NA,NA,341.449318181818,8.0505899750934,1,NA
"140","bitterootvalley",140,0.37302,NA,NA,341.449318181818,8.0505899750934,1,NA
"141","bitterootvalley",141,0.37351,NA,NA,341.449318181818,8.0505899750934,1,NA
"142","bitterootvalley",142,0.3739,NA,NA,341.449318181818,8.0505899750934,1,NA
"143","bitterootvalley",143,0.37427,NA,NA,341.449318181818,8.0505899750934,1,NA
"144","bitterootvalley",144,0.37476,NA,NA,341.449318181818,8.0505899750934,1,NA
"145","bitterootvalley",145,0.37654,NA,NA,341.449318181818,8.0505899750934,1,NA
"146","bitterootvalley",146,0.37855,NA,NA,341.449318181818,8.0505899750934,1,NA
"147","bitterootvalley",147,0.38123,NA,NA,341.449318181818,8.0505899750934,1,NA
"148","bitterootvalley",148,0.38461,NA,NA,341.449318181818,8.0505899750934,1,NA
"149","bitterootvalley",149,0.38728,NA,NA,341.449318181818,8.0505899750934,1,NA
"150","bitterootvalley",150,0.38925,NA,NA,341.449318181818,8.0505899750934,1,NA
"151","bitterootvalley",151,0.39083,NA,NA,341.449318181818,8.0505899750934,1,NA
"152","bitterootvalley",152,0.39123,NA,NA,341.449318181818,8.0505899750934,1,NA
"153","bitterootvalley",153,0.3912,NA,NA,341.449318181818,8.0505899750934,1,NA
"154","bitterootvalley",154,0.39114,NA,NA,341.449318181818,8.0505899750934,1,NA
"155","bitterootvalley",155,0.39071,NA,NA,341.449318181818,8.0505899750934,1,NA
"156","bitterootvalley",156,0.39021,NA,NA,341.449318181818,8.0505899750934,1,NA
"157","bitterootvalley",157,0.38949,NA,NA,341.449318181818,8.0505899750934,1,NA
"158","bitterootvalley",158,0.38864,NA,NA,341.449318181818,8.0505899750934,1,NA
"159","bitterootvalley",159,0.38729,NA,NA,341.449318181818,8.0505899750934,1,NA
"160","bitterootvalley",160,0.38605,NA,NA,341.449318181818,8.0505899750934,1,NA
"161","bitterootvalley",161,0.38556,NA,NA,341.449318181818,8.0505899750934,1,NA
"162","bitterootvalley",162,0.38522,NA,NA,341.449318181818,8.0505899750934,1,NA
"163","bitterootvalley",163,0.38534,NA,NA,341.449318181818,8.0505899750934,1,NA
"164","bitterootvalley",164,0.38613,NA,NA,341.449318181818,8.0505899750934,1,NA
"165","bitterootvalley",165,0.38724,NA,NA,341.449318181818,8.0505899750934,1,NA
"166","bitterootvalley",166,0.38903,NA,NA,341.449318181818,8.0505899750934,1,NA
"167","bitterootvalley",167,0.39105,NA,NA,341.449318181818,8.0505899750934,1,NA
"168","bitterootvalley",168,0.39305,NA,NA,341.449318181818,8.0505899750934,1,NA
"169","bitterootvalley",169,0.39503,NA,NA,341.449318181818,8.0505899750934,1,NA
"170","bitterootvalley",170,0.39614,NA,NA,341.449318181818,8.0505899750934,1,NA
"171","bitterootvalley",171,0.39712,NA,NA,341.449318181818,8.0505899750934,1,NA
"172","bitterootvalley",172,0.39821,NA,NA,341.449318181818,8.0505899750934,1,NA
"173","bitterootvalley",173,0.39928,NA,NA,341.449318181818,8.0505899750934,1,NA
"174","bitterootvalley",174,0.4006,NA,NA,341.449318181818,8.0505899750934,1,NA
"175","bitterootvalley",175,0.40186,NA,NA,341.449318181818,8.0505899750934,1,NA
"176","bitterootvalley",176,0.40294,NA,NA,341.449318181818,8.0505899750934,1,NA
"177","bitterootvalley",177,0.40396,NA,NA,341.449318181818,8.0505899750934,1,NA
"178","bitterootvalley",178,0.40478,NA,NA,341.449318181818,8.0505899750934,1,NA
"179","bitterootvalley",179,0.40559,NA,NA,341.449318181818,8.0505899750934,1,NA
"180","bitterootvalley",180,0.40622,NA,NA,341.449318181818,8.0505899750934,1,NA
"181","bitterootvalley",181,0.40595,NA,NA,341.449318181818,8.0505899750934,1,NA
"182","bitterootvalley",182,0.40555,NA,NA,341.449318181818,8.0505899750934,1,NA
"183","bitterootvalley",183,0.40548,NA,NA,341.449318181818,8.0505899750934,1,NA
"184","bitterootvalley",184,0.40531,NA,NA,341.449318181818,8.0505899750934,1,NA
"185","bitterootvalley",185,0.40515,NA,NA,341.449318181818,8.0505899750934,1,NA
"186","bitterootvalley",186,0.40497,NA,NA,341.449318181818,8.0505899750934,1,NA
"187","bitterootvalley",187,0.40481,NA,NA,341.449318181818,8.0505899750934,1,NA
"188","bitterootvalley",188,0.40473,NA,NA,341.449318181818,8.0505899750934,1,NA
"189","bitterootvalley",189,0.4047,NA,NA,341.449318181818,8.0505899750934,1,NA
"190","bitterootvalley",190,0.40467,NA,NA,341.449318181818,8.0505899750934,1,NA
"191","bitterootvalley",191,0.40465,NA,NA,341.449318181818,8.0505899750934,1,NA
"192","bitterootvalley",192,0.40485,NA,NA,341.449318181818,8.0505899750934,1,NA
"193","bitterootvalley",193,0.40545,NA,NA,341.449318181818,8.0505899750934,1,NA
"194","bitterootvalley",194,0.40613,NA,NA,341.449318181818,8.0505899750934,1,NA
"195","bitterootvalley",195,0.4072,NA,NA,341.449318181818,8.0505899750934,1,NA
"196","bitterootvalley",196,0.40828,NA,NA,341.449318181818,8.0505899750934,1,NA
"197","bitterootvalley",197,0.40904,NA,NA,341.449318181818,8.0505899750934,1,NA
"198","bitterootvalley",198,0.40964,NA,NA,341.449318181818,8.0505899750934,1,NA
"199","bitterootvalley",199,0.40991,NA,NA,341.449318181818,8.0505899750934,1,NA
"200","bitterootvalley",200,0.40994,NA,NA,341.449318181818,8.0505899750934,1,NA
"201","bitterootvalley",201,0.4093,NA,NA,341.449318181818,8.0505899750934,1,NA
"202","bitterootvalley",202,0.40846,NA,NA,341.449318181818,8.0505899750934,1,NA
"203","bitterootvalley",203,0.40731,NA,NA,341.449318181818,8.0505899750934,1,NA
"204","bitterootvalley",204,0.40614,NA,NA,341.449318181818,8.0505899750934,1,NA
"205","bitterootvalley",205,0.40529,NA,NA,341.449318181818,8.0505899750934,1,NA
"206","bitterootvalley",206,0.40439,NA,NA,341.449318181818,8.0505899750934,1,NA
"207","bitterootvalley",207,0.4039,NA,NA,341.449318181818,8.0505899750934,1,NA
"208","bitterootvalley",208,0.40429,NA,NA,341.449318181818,8.0505899750934,1,NA
"209","bitterootvalley",209,0.40482,NA,NA,341.449318181818,8.0505899750934,1,NA
"210","bitterootvalley",210,0.40566,NA,NA,341.449318181818,8.0505899750934,1,NA
"211","bitterootvalley",211,0.40644,NA,NA,341.449318181818,8.0505899750934,1,NA
"212","bitterootvalley",212,0.40627,NA,NA,341.449318181818,8.0505899750934,1,NA
"213","bitterootvalley",213,0.40584,NA,NA,341.449318181818,8.0505899750934,1,NA
"214","bitterootvalley",214,0.40529,NA,NA,341.449318181818,8.0505899750934,1,NA
"215","bitterootvalley",215,0.40405,NA,NA,341.449318181818,8.0505899750934,1,NA
"216","bitterootvalley",216,0.40276,NA,NA,341.449318181818,8.0505899750934,1,NA
"217","bitterootvalley",217,0.40188,NA,NA,341.449318181818,8.0505899750934,1,NA
"218","bitterootvalley",218,0.40107,NA,NA,341.449318181818,8.0505899750934,1,NA
"219","bitterootvalley",219,0.4009,NA,NA,341.449318181818,8.0505899750934,1,NA
"220","bitterootvalley",220,0.40108,NA,NA,341.449318181818,8.0505899750934,1,NA
"221","bitterootvalley",221,0.4011,NA,NA,341.449318181818,8.0505899750934,1,NA
"222","bitterootvalley",222,0.40112,NA,NA,341.449318181818,8.0505899750934,1,NA
"223","bitterootvalley",223,0.40108,NA,NA,341.449318181818,8.0505899750934,1,NA
"224","bitterootvalley",224,0.40053,NA,NA,341.449318181818,8.0505899750934,1,NA
"225","bitterootvalley",225,0.39986,NA,NA,341.449318181818,8.0505899750934,1,NA
"226","bitterootvalley",226,0.39888,NA,NA,341.449318181818,8.0505899750934,1,NA
"227","bitterootvalley",227,0.39788,NA,NA,341.449318181818,8.0505899750934,1,NA
"228","bitterootvalley",228,0.39706,NA,NA,341.449318181818,8.0505899750934,1,NA
"229","bitterootvalley",229,0.39634,NA,NA,341.449318181818,8.0505899750934,1,NA
"230","bitterootvalley",230,0.39588,NA,NA,341.449318181818,8.0505899750934,1,NA
"231","bitterootvalley",231,0.39557,NA,NA,341.449318181818,8.0505899750934,1,NA
"232","bitterootvalley",232,0.3957,NA,NA,341.449318181818,8.0505899750934,1,NA
"233","bitterootvalley",233,0.39594,NA,NA,341.449318181818,8.0505899750934,1,NA
"234","bitterootvalley",234,0.3961,NA,NA,341.449318181818,8.0505899750934,1,NA
"235","bitterootvalley",235,0.39638,NA,NA,341.449318181818,8.0505899750934,1,NA
"236","bitterootvalley",236,0.39659,NA,NA,341.449318181818,8.0505899750934,1,NA
"237","bitterootvalley",237,0.39669,NA,NA,341.449318181818,8.0505899750934,1,NA
"238","bitterootvalley",238,0.39678,NA,NA,341.449318181818,8.0505899750934,1,NA
"239","bitterootvalley",239,0.3969,NA,NA,341.449318181818,8.0505899750934,1,NA
"240","bitterootvalley",240,0.39695,NA,NA,341.449318181818,8.0505899750934,1,NA
"241","bitterootvalley",241,0.39681,NA,NA,341.449318181818,8.0505899750934,1,NA
"242","bitterootvalley",242,0.3966,NA,NA,341.449318181818,8.0505899750934,1,NA
"243","bitterootvalley",243,0.39645,NA,NA,341.449318181818,8.0505899750934,1,NA
"244","bitterootvalley",244,0.39642,NA,NA,341.449318181818,8.0505899750934,1,NA
"245","bitterootvalley",245,0.3964,NA,NA,341.449318181818,8.0505899750934,1,NA
"246","bitterootvalley",246,0.39649,NA,NA,341.449318181818,8.0505899750934,1,NA
"247","bitterootvalley",247,0.3965,NA,NA,341.449318181818,8.0505899750934,1,NA
"248","bitterootvalley",248,0.39622,NA,NA,341.449318181818,8.0505899750934,1,NA
"249","bitterootvalley",249,0.39587,NA,NA,341.449318181818,8.0505899750934,1,NA
"250","bitterootvalley",250,0.39542,NA,NA,341.449318181818,8.0505899750934,1,NA
"251","bitterootvalley",251,0.39469,NA,NA,341.449318181818,8.0505899750934,1,NA
"252","bitterootvalley",252,0.39392,NA,NA,341.449318181818,8.0505899750934,1,NA
"253","bitterootvalley",253,0.39298,NA,NA,341.449318181818,8.0505899750934,1,NA
"254","bitterootvalley",254,0.39205,NA,NA,341.449318181818,8.0505899750934,1,NA
"255","bitterootvalley",255,0.39147,NA,NA,341.449318181818,8.0505899750934,1,NA
"256","bitterootvalley",256,0.39101,NA,NA,341.449318181818,8.0505899750934,1,NA
"257","bitterootvalley",257,0.39087,NA,NA,341.449318181818,8.0505899750934,1,NA
"258","bitterootvalley",258,0.3909,NA,NA,341.449318181818,8.0505899750934,1,NA
"259","bitterootvalley",259,0.39103,NA,NA,341.449318181818,8.0505899750934,1,NA
"260","bitterootvalley",260,0.39124,NA,NA,341.449318181818,8.0505899750934,1,NA
"261","bitterootvalley",261,0.39152,NA,NA,341.449318181818,8.0505899750934,1,NA
"262","bitterootvalley",262,0.39178,NA,NA,341.449318181818,8.0505899750934,1,NA
"263","bitterootvalley",263,0.39207,NA,NA,341.449318181818,8.0505899750934,1,NA
"264","bitterootvalley",264,0.39247,NA,NA,341.449318181818,8.0505899750934,1,NA
"265","bitterootvalley",265,0.39262,NA,NA,341.449318181818,8.0505899750934,1,NA
"266","bitterootvalley",266,0.39253,NA,NA,341.449318181818,8.0505899750934,1,NA
"267","bitterootvalley",267,0.39228,NA,NA,341.449318181818,8.0505899750934,1,NA
"268","bitterootvalley",268,0.39163,NA,NA,341.449318181818,8.0505899750934,1,NA
"269","bitterootvalley",269,0.39077,NA,NA,341.449318181818,8.0505899750934,1,NA
"270","bitterootvalley",270,0.38973,NA,NA,341.449318181818,8.0505899750934,1,NA
"271","bitterootvalley",271,0.38847,NA,NA,341.449318181818,8.0505899750934,1,NA
"272","bitterootvalley",272,0.38718,NA,NA,341.449318181818,8.0505899750934,1,NA
"273","bitterootvalley",273,0.3858,NA,NA,341.449318181818,8.0505899750934,1,NA
"274","bitterootvalley",274,0.38436,NA,NA,341.449318181818,8.0505899750934,1,NA
"275","bitterootvalley",275,0.38292,NA,NA,341.449318181818,8.0505899750934,1,NA
"276","bitterootvalley",276,0.38144,NA,NA,341.449318181818,8.0505899750934,1,NA
"277","bitterootvalley",277,0.37995,NA,NA,341.449318181818,8.0505899750934,1,NA
"278","bitterootvalley",278,0.37841,NA,NA,341.449318181818,8.0505899750934,1,NA
"279","bitterootvalley",279,0.37701,NA,NA,341.449318181818,8.0505899750934,1,NA
"280","bitterootvalley",280,0.37577,NA,NA,341.449318181818,8.0505899750934,1,NA
"281","bitterootvalley",281,0.37461,NA,NA,341.449318181818,8.0505899750934,1,NA
"282","bitterootvalley",282,0.37354,NA,NA,341.449318181818,8.0505899750934,1,NA
"283","bitterootvalley",283,0.37252,NA,NA,341.449318181818,8.0505899750934,1,NA
"284","bitterootvalley",284,0.37166,NA,NA,341.449318181818,8.0505899750934,1,NA
"285","bitterootvalley",285,0.37085,NA,NA,341.449318181818,8.0505899750934,1,NA
"286","bitterootvalley",286,0.37011,NA,NA,341.449318181818,8.0505899750934,1,NA
"287","bitterootvalley",287,0.36938,NA,NA,341.449318181818,8.0505899750934,1,NA
"288","bitterootvalley",288,0.3684,NA,NA,341.449318181818,8.0505899750934,1,NA
"289","bitterootvalley",289,0.36739,NA,NA,341.449318181818,8.0505899750934,1,NA
"290","bitterootvalley",290,0.36644,NA,NA,341.449318181818,8.0505899750934,1,NA
"291","bitterootvalley",291,0.36547,NA,NA,341.449318181818,8.0505899750934,1,NA
"292","bitterootvalley",292,0.36455,NA,NA,341.449318181818,8.0505899750934,1,NA
"293","bitterootvalley",293,0.36365,NA,NA,341.449318181818,8.0505899750934,1,NA
"294","bitterootvalley",294,0.36264,NA,NA,341.449318181818,8.0505899750934,1,NA
"295","bitterootvalley",295,0.36151,NA,NA,341.449318181818,8.0505899750934,1,NA
"296","bitterootvalley",296,0.36032,NA,NA,341.449318181818,8.0505899750934,1,NA
"297","bitterootvalley",297,0.35907,NA,NA,341.449318181818,8.0505899750934,1,NA
"298","bitterootvalley",298,0.35775,NA,NA,341.449318181818,8.0505899750934,1,NA
"299","bitterootvalley",299,0.35637,NA,NA,341.449318181818,8.0505899750934,1,NA
"300","bitterootvalley",300,0.35491,NA,NA,341.449318181818,8.0505899750934,1,NA
"301","bitterootvalley",301,0.3534,NA,NA,341.449318181818,8.0505899750934,1,NA
"302","bitterootvalley",302,0.35159,NA,NA,341.449318181818,8.0505899750934,1,NA
"303","bitterootvalley",303,0.34984,NA,NA,341.449318181818,8.0505899750934,1,NA
"304","bitterootvalley",304,0.34821,NA,NA,341.449318181818,8.0505899750934,1,NA
"305","bitterootvalley",305,0.34673,NA,NA,341.449318181818,8.0505899750934,1,NA
