"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","farewellgap",1,0.33,NA,NA,1074.06772727273,6.58152552926526,2,NA
"2","farewellgap",2,0.32894,NA,NA,1074.06772727273,6.58152552926526,2,NA
"3","farewellgap",3,0.32843,NA,NA,1074.06772727273,6.58152552926526,2,NA
"4","farewellgap",4,0.32812,NA,NA,1074.06772727273,6.58152552926526,2,NA
"5","farewellgap",5,0.3282,NA,NA,1074.06772727273,6.58152552926526,2,NA
"6","farewellgap",6,0.32896,NA,NA,1074.06772727273,6.58152552926526,2,NA
"7","farewellgap",7,0.32963,NA,NA,1074.06772727273,6.58152552926526,2,NA
"8","farewellgap",8,0.33018,NA,NA,1074.06772727273,6.58152552926526,2,NA
"9","farewellgap",9,0.33113,NA,NA,1074.06772727273,6.58152552926526,2,NA
"10","farewellgap",10,0.331925,NA,NA,1074.06772727273,6.58152552926526,2,NA
"11","farewellgap",11,0.33158,NA,NA,1074.06772727273,6.58152552926526,2,NA
"12","farewellgap",12,0.33004,NA,NA,1074.06772727273,6.58152552926526,2,NA
"13","farewellgap",13,0.328255,NA,NA,1074.06772727273,6.58152552926526,2,NA
"14","farewellgap",14,0.3274,NA,NA,1074.06772727273,6.58152552926526,2,NA
"15","farewellgap",15,0.32698,NA,NA,1074.06772727273,6.58152552926526,2,NA
"16","farewellgap",16,0.327125,NA,NA,1074.06772727273,6.58152552926526,2,NA
"17","farewellgap",17,0.32785,NA,NA,1074.06772727273,6.58152552926526,2,NA
"18","farewellgap",18,0.328745,NA,NA,1074.06772727273,6.58152552926526,2,NA
"19","farewellgap",19,0.32945,NA,NA,1074.06772727273,6.58152552926526,2,NA
"20","farewellgap",20,0.329425,NA,NA,1074.06772727273,6.58152552926526,2,NA
"21","farewellgap",21,0.32912,NA,NA,1074.06772727273,6.58152552926526,2,NA
"22","farewellgap",22,0.328155,NA,NA,1074.06772727273,6.58152552926526,2,NA
"23","farewellgap",23,0.32729,NA,NA,1074.06772727273,6.58152552926526,2,NA
"24","farewellgap",24,0.32731,NA,NA,1074.06772727273,6.58152552926526,2,NA
"25","farewellgap",25,0.328425,NA,NA,1074.06772727273,6.58152552926526,2,NA
"26","farewellgap",26,0.33005,NA,NA,1074.06772727273,6.58152552926526,2,NA
"27","farewellgap",27,0.33137,NA,NA,1074.06772727273,6.58152552926526,2,NA
"28","farewellgap",28,0.33163,NA,NA,1074.06772727273,6.58152552926526,2,NA
"29","farewellgap",29,0.330315,NA,NA,1074.06772727273,6.58152552926526,2,NA
"30","farewellgap",30,0.3287,NA,NA,1074.06772727273,6.58152552926526,2,NA
"31","farewellgap",31,0.32663,NA,NA,1074.06772727273,6.58152552926526,2,NA
"32","farewellgap",32,0.324485,NA,NA,1074.06772727273,6.58152552926526,2,NA
"33","farewellgap",33,0.323155,NA,NA,1074.06772727273,6.58152552926526,2,NA
"34","farewellgap",34,0.32188,NA,NA,1074.06772727273,6.58152552926526,2,NA
"35","farewellgap",35,0.32219,NA,NA,1074.06772727273,6.58152552926526,2,NA
"36","farewellgap",36,0.323015,NA,NA,1074.06772727273,6.58152552926526,2,NA
"37","farewellgap",37,0.324085,NA,NA,1074.06772727273,6.58152552926526,2,NA
"38","farewellgap",38,0.324195,NA,NA,1074.06772727273,6.58152552926526,2,NA
"39","farewellgap",39,0.324075,NA,NA,1074.06772727273,6.58152552926526,2,NA
"40","farewellgap",40,0.32266,NA,NA,1074.06772727273,6.58152552926526,2,NA
"41","farewellgap",41,0.32067,NA,NA,1074.06772727273,6.58152552926526,2,NA
"42","farewellgap",42,0.31952,NA,NA,1074.06772727273,6.58152552926526,2,NA
"43","farewellgap",43,0.32152,NA,NA,1074.06772727273,6.58152552926526,2,NA
"44","farewellgap",44,0.323985,NA,NA,1074.06772727273,6.58152552926526,2,NA
"45","farewellgap",45,0.32562,NA,NA,1074.06772727273,6.58152552926526,2,NA
"46","farewellgap",46,0.326115,NA,NA,1074.06772727273,6.58152552926526,2,NA
