"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","glees",1,0.32265,NA,NA,929.184772727273,0.646675280199253,1,NA
"2","glees",2,0.32212,NA,NA,929.184772727273,0.646675280199253,1,NA
"3","glees",3,0.32217,NA,NA,929.184772727273,0.646675280199253,1,NA
"4","glees",4,0.32227,NA,NA,929.184772727273,0.646675280199253,1,NA
"5","glees",5,0.32107,NA,NA,929.184772727273,0.646675280199253,1,NA
"6","glees",6,0.32121,NA,NA,929.184772727273,0.646675280199253,1,NA
"7","glees",7,0.32362,NA,NA,929.184772727273,0.646675280199253,1,NA
"8","glees",8,0.3251,NA,NA,929.184772727273,0.646675280199253,1,NA
"9","glees",9,0.32569,NA,NA,929.184772727273,0.646675280199253,1,NA
"10","glees",10,0.32589,NA,NA,929.184772727273,0.646675280199253,1,NA
"11","glees",11,0.32602,NA,NA,929.184772727273,0.646675280199253,1,NA
"12","glees",12,0.32605,NA,NA,929.184772727273,0.646675280199253,1,NA
"13","glees",13,0.32602,NA,NA,929.184772727273,0.646675280199253,1,NA
"14","glees",14,0.32602,NA,NA,929.184772727273,0.646675280199253,1,NA
"15","glees",15,0.32601,NA,NA,929.184772727273,0.646675280199253,1,NA
"16","glees",16,0.32624,NA,NA,929.184772727273,0.646675280199253,1,NA
"17","glees",17,0.32643,NA,NA,929.184772727273,0.646675280199253,1,NA
"18","glees",18,0.32636,NA,NA,929.184772727273,0.646675280199253,1,NA
"19","glees",19,0.32614,NA,NA,929.184772727273,0.646675280199253,1,NA
"20","glees",20,0.3257,NA,NA,929.184772727273,0.646675280199253,1,NA
"21","glees",21,0.32516,NA,NA,929.184772727273,0.646675280199253,1,NA
"22","glees",22,0.32417,NA,NA,929.184772727273,0.646675280199253,1,NA
"23","glees",23,0.32324,NA,NA,929.184772727273,0.646675280199253,1,NA
"24","glees",24,0.32268,NA,NA,929.184772727273,0.646675280199253,1,NA
"25","glees",25,0.32231,NA,NA,929.184772727273,0.646675280199253,1,NA
"26","glees",26,0.32249,NA,NA,929.184772727273,0.646675280199253,1,NA
"27","glees",27,0.32298,NA,NA,929.184772727273,0.646675280199253,1,NA
"28","glees",28,0.3235,NA,NA,929.184772727273,0.646675280199253,1,NA
"29","glees",29,0.3242,NA,NA,929.184772727273,0.646675280199253,1,NA
"30","glees",30,0.32499,NA,NA,929.184772727273,0.646675280199253,1,NA
"31","glees",31,0.32566,NA,NA,929.184772727273,0.646675280199253,1,NA
"32","glees",32,0.32626,NA,NA,929.184772727273,0.646675280199253,1,NA
"33","glees",33,0.3268,NA,NA,929.184772727273,0.646675280199253,1,NA
"34","glees",34,0.32723,NA,NA,929.184772727273,0.646675280199253,1,NA
"35","glees",35,0.32743,NA,NA,929.184772727273,0.646675280199253,1,NA
"36","glees",36,0.32751,NA,NA,929.184772727273,0.646675280199253,1,NA
"37","glees",37,0.32748,NA,NA,929.184772727273,0.646675280199253,1,NA
"38","glees",38,0.32699,NA,NA,929.184772727273,0.646675280199253,1,NA
"39","glees",39,0.32647,NA,NA,929.184772727273,0.646675280199253,1,NA
