"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","grandteton",1,0.33702,NA,NA,784.478863636364,2.86529919053549,5,NA
"2","grandteton",2,0.337108,NA,NA,784.478863636364,2.86529919053549,5,NA
"3","grandteton",3,0.337208,NA,NA,784.478863636364,2.86529919053549,5,NA
"4","grandteton",4,0.337346,NA,NA,784.478863636364,2.86529919053549,5,NA
"5","grandteton",5,0.3375,NA,NA,784.478863636364,2.86529919053549,5,NA
"6","grandteton",6,0.337642,NA,NA,784.478863636364,2.86529919053549,5,NA
"7","grandteton",7,0.337766,NA,NA,784.478863636364,2.86529919053549,5,NA
"8","grandteton",8,0.337862,NA,NA,784.478863636364,2.86529919053549,5,NA
"9","grandteton",9,0.337928,NA,NA,784.478863636364,2.86529919053549,5,NA
"10","grandteton",10,0.337936,NA,NA,784.478863636364,2.86529919053549,5,NA
"11","grandteton",11,0.33788,NA,NA,784.478863636364,2.86529919053549,5,NA
"12","grandteton",12,0.337806,NA,NA,784.478863636364,2.86529919053549,5,NA
"13","grandteton",13,0.337756,NA,NA,784.478863636364,2.86529919053549,5,NA
"14","grandteton",14,0.337748,NA,NA,784.478863636364,2.86529919053549,5,NA
"15","grandteton",15,0.337742,NA,NA,784.478863636364,2.86529919053549,5,NA
"16","grandteton",16,0.337744,NA,NA,784.478863636364,2.86529919053549,5,NA
"17","grandteton",17,0.337754,NA,NA,784.478863636364,2.86529919053549,5,NA
"18","grandteton",18,0.337734,NA,NA,784.478863636364,2.86529919053549,5,NA
"19","grandteton",19,0.337668,NA,NA,784.478863636364,2.86529919053549,5,NA
"20","grandteton",20,0.337568,NA,NA,784.478863636364,2.86529919053549,5,NA
"21","grandteton",21,0.337436,NA,NA,784.478863636364,2.86529919053549,5,NA
"22","grandteton",22,0.337316,NA,NA,784.478863636364,2.86529919053549,5,NA
"23","grandteton",23,0.337246,NA,NA,784.478863636364,2.86529919053549,5,NA
"24","grandteton",24,0.337434,NA,NA,784.478863636364,2.86529919053549,5,NA
"25","grandteton",25,0.337894,NA,NA,784.478863636364,2.86529919053549,5,NA
"26","grandteton",26,0.338308,NA,NA,784.478863636364,2.86529919053549,5,NA
"27","grandteton",27,0.338392,NA,NA,784.478863636364,2.86529919053549,5,NA
"28","grandteton",28,0.338334,NA,NA,784.478863636364,2.86529919053549,5,NA
"29","grandteton",29,0.338362,NA,NA,784.478863636364,2.86529919053549,5,NA
"30","grandteton",30,0.338394,NA,NA,784.478863636364,2.86529919053549,5,NA
"31","grandteton",31,0.338354,NA,NA,784.478863636364,2.86529919053549,5,NA
"32","grandteton",32,0.338166,NA,NA,784.478863636364,2.86529919053549,5,NA
"33","grandteton",33,0.33789,NA,NA,784.478863636364,2.86529919053549,5,NA
"34","grandteton",34,0.337618,NA,NA,784.478863636364,2.86529919053549,5,NA
"35","grandteton",35,0.337364,NA,NA,784.478863636364,2.86529919053549,5,NA
"36","grandteton",36,0.337202,NA,NA,784.478863636364,2.86529919053549,5,NA
"37","grandteton",37,0.337196,NA,NA,784.478863636364,2.86529919053549,5,NA
