"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","harvardhemlock",1,0.42758,NA,NA,1384.45272727273,7.39144115815691,1,NA
"2","harvardhemlock",2,0.4269,NA,NA,1384.45272727273,7.39144115815691,1,NA
"3","harvardhemlock",3,0.42632,NA,NA,1384.45272727273,7.39144115815691,1,NA
"4","harvardhemlock",4,0.42573,NA,NA,1384.45272727273,7.39144115815691,1,NA
"5","harvardhemlock",5,0.42503,NA,NA,1384.45272727273,7.39144115815691,1,NA
"6","harvardhemlock",6,0.42441,NA,NA,1384.45272727273,7.39144115815691,1,NA
"7","harvardhemlock",7,0.42406,NA,NA,1384.45272727273,7.39144115815691,1,NA
"8","harvardhemlock",8,0.42407,NA,NA,1384.45272727273,7.39144115815691,1,NA
"9","harvardhemlock",9,0.42427,NA,NA,1384.45272727273,7.39144115815691,1,NA
"10","harvardhemlock",10,0.42444,NA,NA,1384.45272727273,7.39144115815691,1,NA
"11","harvardhemlock",11,0.42491,NA,NA,1384.45272727273,7.39144115815691,1,NA
"12","harvardhemlock",12,0.42581,NA,NA,1384.45272727273,7.39144115815691,1,NA
"13","harvardhemlock",13,0.42666,NA,NA,1384.45272727273,7.39144115815691,1,NA
"14","harvardhemlock",14,0.42697,NA,NA,1384.45272727273,7.39144115815691,1,NA
"15","harvardhemlock",15,0.42699,NA,NA,1384.45272727273,7.39144115815691,1,NA
"16","harvardhemlock",16,0.42705,NA,NA,1384.45272727273,7.39144115815691,1,NA
"17","harvardhemlock",17,0.42673,NA,NA,1384.45272727273,7.39144115815691,1,NA
"18","harvardhemlock",18,0.4257,NA,NA,1384.45272727273,7.39144115815691,1,NA
"19","harvardhemlock",19,0.42414,NA,NA,1384.45272727273,7.39144115815691,1,NA
"20","harvardhemlock",20,0.42241,NA,NA,1384.45272727273,7.39144115815691,1,NA
"21","harvardhemlock",21,0.42089,NA,NA,1384.45272727273,7.39144115815691,1,NA
"22","harvardhemlock",22,0.41883,NA,NA,1384.45272727273,7.39144115815691,1,NA
"23","harvardhemlock",23,0.41617,NA,NA,1384.45272727273,7.39144115815691,1,NA
"24","harvardhemlock",24,0.41435,NA,NA,1384.45272727273,7.39144115815691,1,NA
"25","harvardhemlock",25,0.41354,NA,NA,1384.45272727273,7.39144115815691,1,NA
"26","harvardhemlock",26,0.41296,NA,NA,1384.45272727273,7.39144115815691,1,NA
"27","harvardhemlock",27,0.41268,NA,NA,1384.45272727273,7.39144115815691,1,NA
"28","harvardhemlock",28,0.41275,NA,NA,1384.45272727273,7.39144115815691,1,NA
"29","harvardhemlock",29,0.41389,NA,NA,1384.45272727273,7.39144115815691,1,NA
"30","harvardhemlock",30,0.41583,NA,NA,1384.45272727273,7.39144115815691,1,NA
"31","harvardhemlock",31,0.41716,NA,NA,1384.45272727273,7.39144115815691,1,NA
"32","harvardhemlock",32,0.41793,NA,NA,1384.45272727273,7.39144115815691,1,NA
"33","harvardhemlock",33,0.41894,NA,NA,1384.45272727273,7.39144115815691,1,NA
"34","harvardhemlock",34,0.41993,NA,NA,1384.45272727273,7.39144115815691,1,NA
"35","harvardhemlock",35,0.42061,NA,NA,1384.45272727273,7.39144115815691,1,NA
"36","harvardhemlock",36,0.42077,NA,NA,1384.45272727273,7.39144115815691,1,NA
"37","harvardhemlock",37,0.42065,NA,NA,1384.45272727273,7.39144115815691,1,NA
"38","harvardhemlock",38,0.42063,NA,NA,1384.45272727273,7.39144115815691,1,NA
"39","harvardhemlock",39,0.4205,NA,NA,1384.45272727273,7.39144115815691,1,NA
"40","harvardhemlock",40,0.42,NA,NA,1384.45272727273,7.39144115815691,1,NA
"41","harvardhemlock",41,0.41946,NA,NA,1384.45272727273,7.39144115815691,1,NA
"42","harvardhemlock",42,0.41919,NA,NA,1384.45272727273,7.39144115815691,1,NA
"43","harvardhemlock",43,0.41943,NA,NA,1384.45272727273,7.39144115815691,1,NA
"44","harvardhemlock",44,0.41991,NA,NA,1384.45272727273,7.39144115815691,1,NA
"45","harvardhemlock",45,0.42028,NA,NA,1384.45272727273,7.39144115815691,1,NA
"46","harvardhemlock",46,0.42051,NA,NA,1384.45272727273,7.39144115815691,1,NA
"47","harvardhemlock",47,0.42082,NA,NA,1384.45272727273,7.39144115815691,1,NA
"48","harvardhemlock",48,0.42114,NA,NA,1384.45272727273,7.39144115815691,1,NA
"49","harvardhemlock",49,0.42139,NA,NA,1384.45272727273,7.39144115815691,1,NA
"50","harvardhemlock",50,0.42144,NA,NA,1384.45272727273,7.39144115815691,1,NA
"51","harvardhemlock",51,0.42134,NA,NA,1384.45272727273,7.39144115815691,1,NA
"52","harvardhemlock",52,0.42129,NA,NA,1384.45272727273,7.39144115815691,1,NA
"53","harvardhemlock",53,0.42136,NA,NA,1384.45272727273,7.39144115815691,1,NA
"54","harvardhemlock",54,0.42146,NA,NA,1384.45272727273,7.39144115815691,1,NA
"55","harvardhemlock",55,0.42159,NA,NA,1384.45272727273,7.39144115815691,1,NA
"56","harvardhemlock",56,0.42172,NA,NA,1384.45272727273,7.39144115815691,1,NA
"57","harvardhemlock",57,0.42185,NA,NA,1384.45272727273,7.39144115815691,1,NA
"58","harvardhemlock",58,0.42197,NA,NA,1384.45272727273,7.39144115815691,1,NA
"59","harvardhemlock",59,0.42214,NA,NA,1384.45272727273,7.39144115815691,1,NA
"60","harvardhemlock",60,0.42224,NA,NA,1384.45272727273,7.39144115815691,1,NA
"61","harvardhemlock",61,0.42224,NA,NA,1384.45272727273,7.39144115815691,1,NA
"62","harvardhemlock",62,0.42228,NA,NA,1384.45272727273,7.39144115815691,1,NA
"63","harvardhemlock",63,0.42254,NA,NA,1384.45272727273,7.39144115815691,1,NA
"64","harvardhemlock",64,0.42316,NA,NA,1384.45272727273,7.39144115815691,1,NA
"65","harvardhemlock",65,0.42398,NA,NA,1384.45272727273,7.39144115815691,1,NA
"66","harvardhemlock",66,0.42469,NA,NA,1384.45272727273,7.39144115815691,1,NA
"67","harvardhemlock",67,0.42539,NA,NA,1384.45272727273,7.39144115815691,1,NA
"68","harvardhemlock",68,0.42624,NA,NA,1384.45272727273,7.39144115815691,1,NA
"69","harvardhemlock",69,0.42709,NA,NA,1384.45272727273,7.39144115815691,1,NA
"70","harvardhemlock",70,0.42776,NA,NA,1384.45272727273,7.39144115815691,1,NA
"71","harvardhemlock",71,0.42801,NA,NA,1384.45272727273,7.39144115815691,1,NA
"72","harvardhemlock",72,0.42802,NA,NA,1384.45272727273,7.39144115815691,1,NA
