"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","hubbardbrooksfws",1,0.33708,NA,NA,1407.1175,4.53967310087173,1,NA
"2","hubbardbrooksfws",2,0.33695,NA,NA,1407.1175,4.53967310087173,1,NA
"3","hubbardbrooksfws",3,0.33678,NA,NA,1407.1175,4.53967310087173,1,NA
"4","hubbardbrooksfws",4,0.33662,NA,NA,1407.1175,4.53967310087173,1,NA
"5","hubbardbrooksfws",5,0.33633,NA,NA,1407.1175,4.53967310087173,1,NA
"6","hubbardbrooksfws",6,0.33595,NA,NA,1407.1175,4.53967310087173,1,NA
"7","hubbardbrooksfws",7,0.33578,NA,NA,1407.1175,4.53967310087173,1,NA
"8","hubbardbrooksfws",8,0.33599,NA,NA,1407.1175,4.53967310087173,1,NA
"9","hubbardbrooksfws",9,0.33627,NA,NA,1407.1175,4.53967310087173,1,NA
"10","hubbardbrooksfws",10,0.33669,NA,NA,1407.1175,4.53967310087173,1,NA
"11","hubbardbrooksfws",11,0.33729,NA,NA,1407.1175,4.53967310087173,1,NA
"12","hubbardbrooksfws",12,0.33773,NA,NA,1407.1175,4.53967310087173,1,NA
"13","hubbardbrooksfws",13,0.33804,NA,NA,1407.1175,4.53967310087173,1,NA
"14","hubbardbrooksfws",14,0.33827,NA,NA,1407.1175,4.53967310087173,1,NA
"15","hubbardbrooksfws",15,0.33819,NA,NA,1407.1175,4.53967310087173,1,NA
"16","hubbardbrooksfws",16,0.33793,NA,NA,1407.1175,4.53967310087173,1,NA
"17","hubbardbrooksfws",17,0.33762,NA,NA,1407.1175,4.53967310087173,1,NA
"18","hubbardbrooksfws",18,0.33718,NA,NA,1407.1175,4.53967310087173,1,NA
"19","hubbardbrooksfws",19,0.33672,NA,NA,1407.1175,4.53967310087173,1,NA
"20","hubbardbrooksfws",20,0.33636,NA,NA,1407.1175,4.53967310087173,1,NA
"21","hubbardbrooksfws",21,0.33598,NA,NA,1407.1175,4.53967310087173,1,NA
"22","hubbardbrooksfws",22,0.33568,NA,NA,1407.1175,4.53967310087173,1,NA
"23","hubbardbrooksfws",23,0.33556,NA,NA,1407.1175,4.53967310087173,1,NA
"24","hubbardbrooksfws",24,0.33552,NA,NA,1407.1175,4.53967310087173,1,NA
"25","hubbardbrooksfws",25,0.33538,NA,NA,1407.1175,4.53967310087173,1,NA
"26","hubbardbrooksfws",26,0.3351,NA,NA,1407.1175,4.53967310087173,1,NA
"27","hubbardbrooksfws",27,0.33479,NA,NA,1407.1175,4.53967310087173,1,NA
"28","hubbardbrooksfws",28,0.33449,NA,NA,1407.1175,4.53967310087173,1,NA
"29","hubbardbrooksfws",29,0.33397,NA,NA,1407.1175,4.53967310087173,1,NA
"30","hubbardbrooksfws",30,0.33348,NA,NA,1407.1175,4.53967310087173,1,NA
"31","hubbardbrooksfws",31,0.33325,NA,NA,1407.1175,4.53967310087173,1,NA
"32","hubbardbrooksfws",32,0.33308,NA,NA,1407.1175,4.53967310087173,1,NA
"33","hubbardbrooksfws",33,0.33307,NA,NA,1407.1175,4.53967310087173,1,NA
"34","hubbardbrooksfws",34,0.33342,NA,NA,1407.1175,4.53967310087173,1,NA
"35","hubbardbrooksfws",35,0.33387,NA,NA,1407.1175,4.53967310087173,1,NA
"36","hubbardbrooksfws",36,0.33426,NA,NA,1407.1175,4.53967310087173,1,NA
"37","hubbardbrooksfws",37,0.33474,NA,NA,1407.1175,4.53967310087173,1,NA
