"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","hwmo1",1,0.3907675,NA,NA,635.435227272727,20.6624554794521,4,NA
"2","hwmo1",2,0.3909425,NA,NA,635.435227272727,20.6624554794521,4,NA
"3","hwmo1",3,0.3910675,NA,NA,635.435227272727,20.6624554794521,4,NA
"4","hwmo1",4,0.391265,NA,NA,635.435227272727,20.6624554794521,4,NA
"5","hwmo1",5,0.3916625,NA,NA,635.435227272727,20.6624554794521,4,NA
"6","hwmo1",6,0.39236,NA,NA,635.435227272727,20.6624554794521,4,NA
"7","hwmo1",7,0.3930725,NA,NA,635.435227272727,20.6624554794521,4,NA
"8","hwmo1",8,0.3937875,NA,NA,635.435227272727,20.6624554794521,4,NA
"9","hwmo1",9,0.394625,NA,NA,635.435227272727,20.6624554794521,4,NA
"10","hwmo1",10,0.39552,NA,NA,635.435227272727,20.6624554794521,4,NA
"11","hwmo1",11,0.3963725,NA,NA,635.435227272727,20.6624554794521,4,NA
"12","hwmo1",12,0.3972,NA,NA,635.435227272727,20.6624554794521,4,NA
"13","hwmo1",13,0.39801,NA,NA,635.435227272727,20.6624554794521,4,NA
"14","hwmo1",14,0.3987475,NA,NA,635.435227272727,20.6624554794521,4,NA
"15","hwmo1",15,0.3993125,NA,NA,635.435227272727,20.6624554794521,4,NA
"16","hwmo1",16,0.3997775,NA,NA,635.435227272727,20.6624554794521,4,NA
"17","hwmo1",17,0.4002525,NA,NA,635.435227272727,20.6624554794521,4,NA
"18","hwmo1",18,0.4006575,NA,NA,635.435227272727,20.6624554794521,4,NA
"19","hwmo1",19,0.401045,NA,NA,635.435227272727,20.6624554794521,4,NA
"20","hwmo1",20,0.401485,NA,NA,635.435227272727,20.6624554794521,4,NA
"21","hwmo1",21,0.4019125,NA,NA,635.435227272727,20.6624554794521,4,NA
"22","hwmo1",22,0.40236,NA,NA,635.435227272727,20.6624554794521,4,NA
"23","hwmo1",23,0.4030275,NA,NA,635.435227272727,20.6624554794521,4,NA
