"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","ivotuk",1,0.337085,NA,NA,285.836590909091,-8.29161706102117,2,NA
"2","ivotuk",2,0.33714,NA,NA,285.836590909091,-8.29161706102117,2,NA
"3","ivotuk",3,0.337195,NA,NA,285.836590909091,-8.29161706102117,2,NA
"4","ivotuk",4,0.33725,NA,NA,285.836590909091,-8.29161706102117,2,NA
"5","ivotuk",5,0.337305,NA,NA,285.836590909091,-8.29161706102117,2,NA
"6","ivotuk",6,0.33736,NA,NA,285.836590909091,-8.29161706102117,2,NA
"7","ivotuk",7,0.337415,NA,NA,285.836590909091,-8.29161706102117,2,NA
"8","ivotuk",8,0.337475,NA,NA,285.836590909091,-8.29161706102117,2,NA
"9","ivotuk",9,0.33753,NA,NA,285.836590909091,-8.29161706102117,2,NA
"10","ivotuk",10,0.337585,NA,NA,285.836590909091,-8.29161706102117,2,NA
"11","ivotuk",11,0.33764,NA,NA,285.836590909091,-8.29161706102117,2,NA
"12","ivotuk",12,0.3377,NA,NA,285.836590909091,-8.29161706102117,2,NA
"13","ivotuk",13,0.337755,NA,NA,285.836590909091,-8.29161706102117,2,NA
"14","ivotuk",14,0.33781,NA,NA,285.836590909091,-8.29161706102117,2,NA
"15","ivotuk",15,0.337865,NA,NA,285.836590909091,-8.29161706102117,2,NA
"16","ivotuk",16,0.33792,NA,NA,285.836590909091,-8.29161706102117,2,NA
"17","ivotuk",17,0.337975,NA,NA,285.836590909091,-8.29161706102117,2,NA
"18","ivotuk",18,0.33803,NA,NA,285.836590909091,-8.29161706102117,2,NA
"19","ivotuk",19,0.338085,NA,NA,285.836590909091,-8.29161706102117,2,NA
"20","ivotuk",20,0.338145,NA,NA,285.836590909091,-8.29161706102117,2,NA
"21","ivotuk",21,0.3382,NA,NA,285.836590909091,-8.29161706102117,2,NA
"22","ivotuk",22,0.33826,NA,NA,285.836590909091,-8.29161706102117,2,NA
"23","ivotuk",23,0.338315,NA,NA,285.836590909091,-8.29161706102117,2,NA
"24","ivotuk",24,0.33837,NA,NA,285.836590909091,-8.29161706102117,2,NA
"25","ivotuk",25,0.338425,NA,NA,285.836590909091,-8.29161706102117,2,NA
"26","ivotuk",26,0.33848,NA,NA,285.836590909091,-8.29161706102117,2,NA
"27","ivotuk",27,0.338535,NA,NA,285.836590909091,-8.29161706102117,2,NA
"28","ivotuk",28,0.33859,NA,NA,285.836590909091,-8.29161706102117,2,NA
"29","ivotuk",29,0.338645,NA,NA,285.836590909091,-8.29161706102117,2,NA
"30","ivotuk",30,0.3387,NA,NA,285.836590909091,-8.29161706102117,2,NA
"31","ivotuk",31,0.338755,NA,NA,285.836590909091,-8.29161706102117,2,NA
"32","ivotuk",32,0.338815,NA,NA,285.836590909091,-8.29161706102117,2,NA
"33","ivotuk",33,0.338875,NA,NA,285.836590909091,-8.29161706102117,2,NA
"34","ivotuk",34,0.33893,NA,NA,285.836590909091,-8.29161706102117,2,NA
"35","ivotuk",35,0.338985,NA,NA,285.836590909091,-8.29161706102117,2,NA
"36","ivotuk",36,0.33904,NA,NA,285.836590909091,-8.29161706102117,2,NA
"37","ivotuk",37,0.339095,NA,NA,285.836590909091,-8.29161706102117,2,NA
"38","ivotuk",38,0.33915,NA,NA,285.836590909091,-8.29161706102117,2,NA
"39","ivotuk",39,0.339205,NA,NA,285.836590909091,-8.29161706102117,2,NA
"40","ivotuk",40,0.33926,NA,NA,285.836590909091,-8.29161706102117,2,NA
"41","ivotuk",41,0.33928,NA,NA,285.836590909091,-8.29161706102117,2,NA
"42","ivotuk",42,0.339245,NA,NA,285.836590909091,-8.29161706102117,2,NA
"43","ivotuk",43,0.33907,NA,NA,285.836590909091,-8.29161706102117,2,NA
"44","ivotuk",44,0.33905,NA,NA,285.836590909091,-8.29161706102117,2,NA
"45","ivotuk",45,0.33917,NA,NA,285.836590909091,-8.29161706102117,2,NA
"46","ivotuk",46,0.339345,NA,NA,285.836590909091,-8.29161706102117,2,NA
"47","ivotuk",47,0.3394,NA,NA,285.836590909091,-8.29161706102117,2,NA
"48","ivotuk",48,0.33946,NA,NA,285.836590909091,-8.29161706102117,2,NA
"49","ivotuk",49,0.33981,NA,NA,285.836590909091,-8.29161706102117,2,NA
"50","ivotuk",50,0.340075,NA,NA,285.836590909091,-8.29161706102117,2,NA
"51","ivotuk",51,0.340205,NA,NA,285.836590909091,-8.29161706102117,2,NA
"52","ivotuk",52,0.340265,NA,NA,285.836590909091,-8.29161706102117,2,NA
"53","ivotuk",53,0.340305,NA,NA,285.836590909091,-8.29161706102117,2,NA
"54","ivotuk",54,0.34028,NA,NA,285.836590909091,-8.29161706102117,2,NA
"55","ivotuk",55,0.340225,NA,NA,285.836590909091,-8.29161706102117,2,NA
"56","ivotuk",56,0.3401,NA,NA,285.836590909091,-8.29161706102117,2,NA
"57","ivotuk",57,0.33998,NA,NA,285.836590909091,-8.29161706102117,2,NA
"58","ivotuk",58,0.3399,NA,NA,285.836590909091,-8.29161706102117,2,NA
"59","ivotuk",59,0.339725,NA,NA,285.836590909091,-8.29161706102117,2,NA
"60","ivotuk",60,0.33967,NA,NA,285.836590909091,-8.29161706102117,2,NA
"61","ivotuk",61,0.339625,NA,NA,285.836590909091,-8.29161706102117,2,NA
"62","ivotuk",62,0.33961,NA,NA,285.836590909091,-8.29161706102117,2,NA
"63","ivotuk",63,0.33971,NA,NA,285.836590909091,-8.29161706102117,2,NA
"64","ivotuk",64,0.33975,NA,NA,285.836590909091,-8.29161706102117,2,NA
"65","ivotuk",65,0.339875,NA,NA,285.836590909091,-8.29161706102117,2,NA
"66","ivotuk",66,0.34004,NA,NA,285.836590909091,-8.29161706102117,2,NA
"67","ivotuk",67,0.340205,NA,NA,285.836590909091,-8.29161706102117,2,NA
"68","ivotuk",68,0.34037,NA,NA,285.836590909091,-8.29161706102117,2,NA
"69","ivotuk",69,0.340525,NA,NA,285.836590909091,-8.29161706102117,2,NA
"70","ivotuk",70,0.340635,NA,NA,285.836590909091,-8.29161706102117,2,NA
"71","ivotuk",71,0.340635,NA,NA,285.836590909091,-8.29161706102117,2,NA
"72","ivotuk",72,0.34057,NA,NA,285.836590909091,-8.29161706102117,2,NA
"73","ivotuk",73,0.340475,NA,NA,285.836590909091,-8.29161706102117,2,NA
"74","ivotuk",74,0.340365,NA,NA,285.836590909091,-8.29161706102117,2,NA
"75","ivotuk",75,0.340215,NA,NA,285.836590909091,-8.29161706102117,2,NA
"76","ivotuk",76,0.3401,NA,NA,285.836590909091,-8.29161706102117,2,NA
"77","ivotuk",77,0.34008,NA,NA,285.836590909091,-8.29161706102117,2,NA
"78","ivotuk",78,0.340065,NA,NA,285.836590909091,-8.29161706102117,2,NA
"79","ivotuk",79,0.34015,NA,NA,285.836590909091,-8.29161706102117,2,NA
"80","ivotuk",80,0.34034,NA,NA,285.836590909091,-8.29161706102117,2,NA
"81","ivotuk",81,0.340485,NA,NA,285.836590909091,-8.29161706102117,2,NA
"82","ivotuk",82,0.340585,NA,NA,285.836590909091,-8.29161706102117,2,NA
"83","ivotuk",83,0.340675,NA,NA,285.836590909091,-8.29161706102117,2,NA
"84","ivotuk",84,0.340685,NA,NA,285.836590909091,-8.29161706102117,2,NA
"85","ivotuk",85,0.340685,NA,NA,285.836590909091,-8.29161706102117,2,NA
"86","ivotuk",86,0.34073,NA,NA,285.836590909091,-8.29161706102117,2,NA
"87","ivotuk",87,0.34076,NA,NA,285.836590909091,-8.29161706102117,2,NA
