"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","jergrassland2",1,0.33493,0.33753,0.00259999999999999,255.694318181818,16.1122182440847,1,1
"2","jergrassland2",2,0.33488,0.33769,0.00280999999999998,255.694318181818,16.1122182440847,1,1
"3","jergrassland2",3,0.33483,0.33788,0.00305,255.694318181818,16.1122182440847,1,1
"4","jergrassland2",4,0.3349,0.33826,0.00336000000000003,255.694318181818,16.1122182440847,1,1
"5","jergrassland2",5,0.33556,0.33865,0.00308999999999998,255.694318181818,16.1122182440847,1,1
"6","jergrassland2",6,0.33631,0.33894,0.00263000000000002,255.694318181818,16.1122182440847,1,1
"7","jergrassland2",7,0.33696,0.33892,0.00196000000000002,255.694318181818,16.1122182440847,1,1
"8","jergrassland2",8,0.33716,0.33884,0.00167999999999996,255.694318181818,16.1122182440847,1,1
"9","jergrassland2",9,0.33692,0.33881,0.00189,255.694318181818,16.1122182440847,1,1
"10","jergrassland2",10,0.33653,0.33895,0.00241999999999998,255.694318181818,16.1122182440847,1,1
"11","jergrassland2",11,0.3358,0.33903,0.00323000000000001,255.694318181818,16.1122182440847,1,1
"12","jergrassland2",12,0.33501,0.33898,0.00397000000000003,255.694318181818,16.1122182440847,1,1
"13","jergrassland2",13,0.33448,0.33857,0.00408999999999998,255.694318181818,16.1122182440847,1,1
"14","jergrassland2",14,0.33444,0.3381,0.00366,255.694318181818,16.1122182440847,1,1
"15","jergrassland2",15,0.33453,0.33755,0.00302000000000002,255.694318181818,16.1122182440847,1,1
"16","jergrassland2",16,0.33403,0.33704,0.00301000000000001,255.694318181818,16.1122182440847,1,1
"17","jergrassland2",17,0.3356,0.33681,0.00120999999999999,255.694318181818,16.1122182440847,1,1
"18","jergrassland2",18,0.33743,0.33688,-0.000549999999999995,255.694318181818,16.1122182440847,1,1
"19","jergrassland2",19,0.33791,0.337,-0.000909999999999966,255.694318181818,16.1122182440847,1,1
"20","jergrassland2",20,0.33811,0.33706,-0.00105,255.694318181818,16.1122182440847,1,1
"21","jergrassland2",21,0.33842,0.33691,-0.00151000000000001,255.694318181818,16.1122182440847,1,1
"22","jergrassland2",22,0.33893,0.33677,-0.00216,255.694318181818,16.1122182440847,1,1
"23","jergrassland2",23,0.33937,0.3366,-0.00276999999999999,255.694318181818,16.1122182440847,1,1
"24","jergrassland2",24,0.33964,0.3367,-0.00294,255.694318181818,16.1122182440847,1,1
"25","jergrassland2",25,0.33985,0.3369,-0.00295000000000001,255.694318181818,16.1122182440847,1,1
"26","jergrassland2",26,0.34,0.33738,-0.00262000000000001,255.694318181818,16.1122182440847,1,1
"27","jergrassland2",27,0.34024,0.33786,-0.00237999999999999,255.694318181818,16.1122182440847,1,1
"28","jergrassland2",28,0.34026,0.33831,-0.00195000000000001,255.694318181818,16.1122182440847,1,1
"29","jergrassland2",29,0.34016,0.33844,-0.00172,255.694318181818,16.1122182440847,1,1
"30","jergrassland2",30,0.33986,0.33846,-0.00140000000000001,255.694318181818,16.1122182440847,1,1
"31","jergrassland2",31,0.33955,0.33842,-0.00113000000000002,255.694318181818,16.1122182440847,1,1
"32","jergrassland2",32,0.33925,0.33836,-0.000890000000000002,255.694318181818,16.1122182440847,1,1
"33","jergrassland2",33,0.33899,0.33833,-0.000659999999999994,255.694318181818,16.1122182440847,1,1
"34","jergrassland2",34,0.33892,0.33827,-0.000649999999999984,255.694318181818,16.1122182440847,1,1
"35","jergrassland2",35,0.33894,0.33823,-0.000710000000000044,255.694318181818,16.1122182440847,1,1
"36","jergrassland2",36,0.33922,0.33811,-0.00111,255.694318181818,16.1122182440847,1,1
"37","jergrassland2",37,0.33946,0.33798,-0.00147999999999998,255.694318181818,16.1122182440847,1,1
"38","jergrassland2",38,0.33969,0.33787,-0.00181999999999999,255.694318181818,16.1122182440847,1,1
"39","jergrassland2",39,0.33978,0.33775,-0.00203000000000003,255.694318181818,16.1122182440847,1,1
"40","jergrassland2",40,0.33989,0.33765,-0.00224000000000002,255.694318181818,16.1122182440847,1,1
"41","jergrassland2",41,0.33999,0.33751,-0.00248000000000004,255.694318181818,16.1122182440847,1,1
"42","jergrassland2",42,0.33999,0.33736,-0.00263000000000002,255.694318181818,16.1122182440847,1,1
"43","jergrassland2",43,0.33997,0.33713,-0.00284000000000001,255.694318181818,16.1122182440847,1,1
"44","jergrassland2",44,0.33994,0.33694,-0.003,255.694318181818,16.1122182440847,1,1
"45","jergrassland2",45,0.33993,0.33678,-0.00314999999999999,255.694318181818,16.1122182440847,1,1
"46","jergrassland2",46,0.33993,0.33664,-0.00329000000000002,255.694318181818,16.1122182440847,1,1
"47","jergrassland2",47,0.33997,0.33664,-0.00333,255.694318181818,16.1122182440847,1,1
"48","jergrassland2",48,0.34001,0.3367,-0.00330999999999998,255.694318181818,16.1122182440847,1,1
"49","jergrassland2",49,0.34002,0.33677,-0.00324999999999998,255.694318181818,16.1122182440847,1,1
"50","jergrassland2",50,0.33997,0.33687,-0.00309999999999999,255.694318181818,16.1122182440847,1,1
"51","jergrassland2",51,0.33981,0.33696,-0.00285000000000002,255.694318181818,16.1122182440847,1,1
"52","jergrassland2",52,0.33965,0.33717,-0.00247999999999998,255.694318181818,16.1122182440847,1,1
"53","jergrassland2",53,0.3395,0.3374,-0.00210000000000005,255.694318181818,16.1122182440847,1,1
"54","jergrassland2",54,0.33939,0.3377,-0.00169000000000002,255.694318181818,16.1122182440847,1,1
"55","jergrassland2",55,0.3393,0.33795,-0.00135000000000002,255.694318181818,16.1122182440847,1,1
"56","jergrassland2",56,0.33924,0.33815,-0.00108999999999998,255.694318181818,16.1122182440847,1,1
"57","jergrassland2",57,0.33922,0.33828,-0.000939999999999996,255.694318181818,16.1122182440847,1,1
"58","jergrassland2",58,0.33933,0.33826,-0.00107000000000002,255.694318181818,16.1122182440847,1,1
"59","jergrassland2",59,0.33941,0.33821,-0.00119999999999998,255.694318181818,16.1122182440847,1,1
"60","jergrassland2",60,0.33947,0.33816,-0.00130999999999998,255.694318181818,16.1122182440847,1,1
"61","jergrassland2",61,0.33946,0.33814,-0.00131999999999999,255.694318181818,16.1122182440847,1,1
"62","jergrassland2",62,0.33941,0.33822,-0.00118999999999997,255.694318181818,16.1122182440847,1,1
"63","jergrassland2",63,0.33934,0.33839,-0.000949999999999951,255.694318181818,16.1122182440847,1,1
"64","jergrassland2",64,0.33918,0.33858,-0.000599999999999989,255.694318181818,16.1122182440847,1,1
"65","jergrassland2",65,0.3391,0.3388,-0.000300000000000022,255.694318181818,16.1122182440847,1,1
"66","jergrassland2",66,0.33899,0.33888,-0.000109999999999999,255.694318181818,16.1122182440847,1,1
"67","jergrassland2",67,0.33886,0.33892,6.00000000000045e-05,255.694318181818,16.1122182440847,1,1
"68","jergrassland2",68,0.33873,0.33885,0.000120000000000009,255.694318181818,16.1122182440847,1,1
"69","jergrassland2",69,0.33855,0.33887,0.000319999999999987,255.694318181818,16.1122182440847,1,1
"70","jergrassland2",70,0.33842,0.33883,0.000410000000000021,255.694318181818,16.1122182440847,1,1
"71","jergrassland2",71,0.33832,0.3388,0.00047999999999998,255.694318181818,16.1122182440847,1,1
"72","jergrassland2",72,0.33831,0.33864,0.000329999999999997,255.694318181818,16.1122182440847,1,1
"73","jergrassland2",73,0.33838,0.33812,-0.000260000000000038,255.694318181818,16.1122182440847,1,1
"74","jergrassland2",74,0.33846,0.3374,-0.00106000000000001,255.694318181818,16.1122182440847,1,1
"75","jergrassland2",75,0.33858,0.33672,-0.00185999999999997,255.694318181818,16.1122182440847,1,1
"76","jergrassland2",76,0.33844,0.33624,-0.00220000000000004,255.694318181818,16.1122182440847,1,1
"77","jergrassland2",77,0.33825,0.33625,-0.002,255.694318181818,16.1122182440847,1,1
"78","jergrassland2",78,0.33795,0.33638,-0.00156999999999996,255.694318181818,16.1122182440847,1,1
"79","jergrassland2",79,0.3377,0.33674,-0.000960000000000016,255.694318181818,16.1122182440847,1,1
"80","jergrassland2",80,0.33769,0.33688,-0.000809999999999977,255.694318181818,16.1122182440847,1,1
"81","jergrassland2",81,0.33795,0.33698,-0.000969999999999971,255.694318181818,16.1122182440847,1,1
"82","jergrassland2",82,0.33826,0.3367,-0.00156000000000001,255.694318181818,16.1122182440847,1,1
"83","jergrassland2",83,0.33866,0.33639,-0.00226999999999999,255.694318181818,16.1122182440847,1,1
"84","jergrassland2",84,0.33885,0.33618,-0.00267000000000001,255.694318181818,16.1122182440847,1,1
"85","jergrassland2",85,0.33899,0.33626,-0.00273000000000001,255.694318181818,16.1122182440847,1,1
"86","jergrassland2",86,0.33878,0.33643,-0.00235000000000002,255.694318181818,16.1122182440847,1,1
"87","jergrassland2",87,0.33862,0.33676,-0.00185999999999997,255.694318181818,16.1122182440847,1,1
"88","jergrassland2",88,0.33848,0.33702,-0.00146000000000002,255.694318181818,16.1122182440847,1,1
"89","jergrassland2",89,0.33866,0.33724,-0.00142000000000003,255.694318181818,16.1122182440847,1,1
"90","jergrassland2",90,0.3389,0.33734,-0.00156000000000001,255.694318181818,16.1122182440847,1,1
"91","jergrassland2",91,0.33926,0.33729,-0.00197000000000003,255.694318181818,16.1122182440847,1,1
"92","jergrassland2",92,0.33948,0.3372,-0.00228,255.694318181818,16.1122182440847,1,1
"93","jergrassland2",93,0.33962,0.33703,-0.00258999999999998,255.694318181818,16.1122182440847,1,1
"94","jergrassland2",94,0.33947,0.33691,-0.00256000000000001,255.694318181818,16.1122182440847,1,1
"95","jergrassland2",95,0.33926,0.33692,-0.00234000000000001,255.694318181818,16.1122182440847,1,1
"96","jergrassland2",96,0.33902,0.33716,-0.00185999999999997,255.694318181818,16.1122182440847,1,1
"97","jergrassland2",97,0.3389,0.33745,-0.00144999999999995,255.694318181818,16.1122182440847,1,1
"98","jergrassland2",98,0.33884,0.33788,-0.000959999999999961,255.694318181818,16.1122182440847,1,1
"99","jergrassland2",99,0.3388,0.33814,-0.000659999999999994,255.694318181818,16.1122182440847,1,1
"100","jergrassland2",100,0.33881,0.33832,-0.00048999999999999,255.694318181818,16.1122182440847,1,1
"101","jergrassland2",101,0.33882,0.33822,-0.000599999999999989,255.694318181818,16.1122182440847,1,1
"102","jergrassland2",102,0.3388,0.338,-0.000799999999999967,255.694318181818,16.1122182440847,1,1
"103","jergrassland2",103,0.33865,0.33774,-0.000910000000000022,255.694318181818,16.1122182440847,1,1
"104","jergrassland2",104,0.33851,0.33758,-0.000929999999999986,255.694318181818,16.1122182440847,1,1
"105","jergrassland2",105,0.33841,0.33746,-0.000950000000000006,255.694318181818,16.1122182440847,1,1
"106","jergrassland2",106,0.33844,0.33746,-0.000980000000000036,255.694318181818,16.1122182440847,1,1
"107","jergrassland2",107,0.33854,0.33754,-0.001,255.694318181818,16.1122182440847,1,1
"108","jergrassland2",108,0.33871,0.3377,-0.00101000000000001,255.694318181818,16.1122182440847,1,1
"109","jergrassland2",109,0.33895,0.33794,-0.00100999999999996,255.694318181818,16.1122182440847,1,1
"110","jergrassland2",110,0.33924,0.33829,-0.000950000000000006,255.694318181818,16.1122182440847,1,1
"111","jergrassland2",111,0.33949,0.33872,-0.000769999999999993,255.694318181818,16.1122182440847,1,1
"112","jergrassland2",112,0.33981,0.33928,-0.000529999999999975,255.694318181818,16.1122182440847,1,1
"113","jergrassland2",113,0.34014,0.3399,-0.000240000000000018,255.694318181818,16.1122182440847,1,1
"114","jergrassland2",114,0.34063,0.34059,-3.99999999999845e-05,255.694318181818,16.1122182440847,1,1
"115","jergrassland2",115,0.34134,0.34124,-9.9999999999989e-05,255.694318181818,16.1122182440847,1,1
"116","jergrassland2",116,0.34236,0.34199,-0.000369999999999981,255.694318181818,16.1122182440847,1,1
"117","jergrassland2",117,0.34379,0.34293,-0.000859999999999972,255.694318181818,16.1122182440847,1,1
"118","jergrassland2",118,0.34566,0.34412,-0.00154000000000004,255.694318181818,16.1122182440847,1,1
"119","jergrassland2",119,0.34822,0.34565,-0.00256999999999996,255.694318181818,16.1122182440847,1,1
"120","jergrassland2",120,0.35156,0.34753,-0.00402999999999998,255.694318181818,16.1122182440847,1,1
"121","jergrassland2",121,0.35526,0.34996,-0.00530000000000003,255.694318181818,16.1122182440847,1,1
"122","jergrassland2",122,0.35939,0.35271,-0.00667999999999996,255.694318181818,16.1122182440847,1,1
"123","jergrassland2",123,0.36352,0.35579,-0.00773000000000001,255.694318181818,16.1122182440847,1,1
"124","jergrassland2",124,0.36751,0.35919,-0.00831999999999999,255.694318181818,16.1122182440847,1,1
"125","jergrassland2",125,0.37097,0.36313,-0.00784000000000001,255.694318181818,16.1122182440847,1,1
"126","jergrassland2",126,0.37384,0.36717,-0.00667000000000001,255.694318181818,16.1122182440847,1,1
"127","jergrassland2",127,0.37627,0.37126,-0.00501000000000001,255.694318181818,16.1122182440847,1,1
"128","jergrassland2",128,0.37812,0.37508,-0.00303999999999999,255.694318181818,16.1122182440847,1,1
"129","jergrassland2",129,0.37943,0.37837,-0.00106000000000001,255.694318181818,16.1122182440847,1,1
"130","jergrassland2",130,0.38037,0.38053,0.000159999999999993,255.694318181818,16.1122182440847,1,1
"131","jergrassland2",131,0.38095,0.38214,0.00118999999999997,255.694318181818,16.1122182440847,1,1
"132","jergrassland2",132,0.38125,0.38275,0.0015,255.694318181818,16.1122182440847,1,1
"133","jergrassland2",133,0.3814,0.38321,0.00180999999999998,255.694318181818,16.1122182440847,1,1
"134","jergrassland2",134,0.38177,0.3835,0.00173000000000001,255.694318181818,16.1122182440847,1,1
"135","jergrassland2",135,0.38208,0.38422,0.00214000000000003,255.694318181818,16.1122182440847,1,1
"136","jergrassland2",136,0.3825,0.38501,0.00251000000000001,255.694318181818,16.1122182440847,1,1
"137","jergrassland2",137,0.38261,0.38568,0.00307000000000002,255.694318181818,16.1122182440847,1,1
"138","jergrassland2",138,0.38253,0.3858,0.00327,255.694318181818,16.1122182440847,1,1
"139","jergrassland2",139,0.38197,0.38577,0.00380000000000003,255.694318181818,16.1122182440847,1,1
"140","jergrassland2",140,0.38118,0.38523,0.00405,255.694318181818,16.1122182440847,1,1
"141","jergrassland2",141,0.3804,0.38515,0.00474999999999998,255.694318181818,16.1122182440847,1,1
"142","jergrassland2",142,0.37988,0.38515,0.00527,255.694318181818,16.1122182440847,1,1
