"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","jershrubland",1,0.31212,NA,NA,256.427045454545,16.045947384807,5,NA
"2","jershrubland",2,0.31222,NA,NA,256.427045454545,16.045947384807,5,NA
"3","jershrubland",3,0.31225,NA,NA,256.427045454545,16.045947384807,5,NA
"4","jershrubland",4,0.312238,NA,NA,256.427045454545,16.045947384807,5,NA
"5","jershrubland",5,0.312214,NA,NA,256.427045454545,16.045947384807,5,NA
"6","jershrubland",6,0.312176,NA,NA,256.427045454545,16.045947384807,5,NA
"7","jershrubland",7,0.312096,NA,NA,256.427045454545,16.045947384807,5,NA
"8","jershrubland",8,0.311992,NA,NA,256.427045454545,16.045947384807,5,NA
"9","jershrubland",9,0.31186,NA,NA,256.427045454545,16.045947384807,5,NA
"10","jershrubland",10,0.311702,NA,NA,256.427045454545,16.045947384807,5,NA
"11","jershrubland",11,0.311518,NA,NA,256.427045454545,16.045947384807,5,NA
"12","jershrubland",12,0.311294,NA,NA,256.427045454545,16.045947384807,5,NA
"13","jershrubland",13,0.311068,NA,NA,256.427045454545,16.045947384807,5,NA
"14","jershrubland",14,0.310854,NA,NA,256.427045454545,16.045947384807,5,NA
"15","jershrubland",15,0.310638,NA,NA,256.427045454545,16.045947384807,5,NA
"16","jershrubland",16,0.310442,NA,NA,256.427045454545,16.045947384807,5,NA
"17","jershrubland",17,0.310252,NA,NA,256.427045454545,16.045947384807,5,NA
"18","jershrubland",18,0.310096,NA,NA,256.427045454545,16.045947384807,5,NA
"19","jershrubland",19,0.309998,NA,NA,256.427045454545,16.045947384807,5,NA
"20","jershrubland",20,0.309924,NA,NA,256.427045454545,16.045947384807,5,NA
"21","jershrubland",21,0.309886,NA,NA,256.427045454545,16.045947384807,5,NA
"22","jershrubland",22,0.309926,NA,NA,256.427045454545,16.045947384807,5,NA
"23","jershrubland",23,0.309966,NA,NA,256.427045454545,16.045947384807,5,NA
"24","jershrubland",24,0.309982,NA,NA,256.427045454545,16.045947384807,5,NA
"25","jershrubland",25,0.31001,NA,NA,256.427045454545,16.045947384807,5,NA
"26","jershrubland",26,0.31002,NA,NA,256.427045454545,16.045947384807,5,NA
"27","jershrubland",27,0.309976,NA,NA,256.427045454545,16.045947384807,5,NA
"28","jershrubland",28,0.309886,NA,NA,256.427045454545,16.045947384807,5,NA
"29","jershrubland",29,0.309728,NA,NA,256.427045454545,16.045947384807,5,NA
"30","jershrubland",30,0.309532,NA,NA,256.427045454545,16.045947384807,5,NA
"31","jershrubland",31,0.309334,NA,NA,256.427045454545,16.045947384807,5,NA
"32","jershrubland",32,0.309102,NA,NA,256.427045454545,16.045947384807,5,NA
"33","jershrubland",33,0.308878,NA,NA,256.427045454545,16.045947384807,5,NA
"34","jershrubland",34,0.30871,NA,NA,256.427045454545,16.045947384807,5,NA
"35","jershrubland",35,0.308646,NA,NA,256.427045454545,16.045947384807,5,NA
"36","jershrubland",36,0.30867,NA,NA,256.427045454545,16.045947384807,5,NA
"37","jershrubland",37,0.30872,NA,NA,256.427045454545,16.045947384807,5,NA
"38","jershrubland",38,0.30887,NA,NA,256.427045454545,16.045947384807,5,NA
"39","jershrubland",39,0.309086,NA,NA,256.427045454545,16.045947384807,5,NA
"40","jershrubland",40,0.309298,NA,NA,256.427045454545,16.045947384807,5,NA
"41","jershrubland",41,0.309484,NA,NA,256.427045454545,16.045947384807,5,NA
"42","jershrubland",42,0.30966,NA,NA,256.427045454545,16.045947384807,5,NA
"43","jershrubland",43,0.309736,NA,NA,256.427045454545,16.045947384807,5,NA
"44","jershrubland",44,0.309668,NA,NA,256.427045454545,16.045947384807,5,NA
"45","jershrubland",45,0.309534,NA,NA,256.427045454545,16.045947384807,5,NA
"46","jershrubland",46,0.309304,NA,NA,256.427045454545,16.045947384807,5,NA
"47","jershrubland",47,0.309026,NA,NA,256.427045454545,16.045947384807,5,NA
"48","jershrubland",48,0.308734,NA,NA,256.427045454545,16.045947384807,5,NA
"49","jershrubland",49,0.308226,NA,NA,256.427045454545,16.045947384807,5,NA
"50","jershrubland",50,0.30758,NA,NA,256.427045454545,16.045947384807,5,NA
"51","jershrubland",51,0.307084,NA,NA,256.427045454545,16.045947384807,5,NA
