"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","kelloggcorn",1,0.349022,NA,NA,1023.02772727273,9.29490410958904,5,NA
"2","kelloggcorn",2,0.349244,NA,NA,1023.02772727273,9.29490410958904,5,NA
"3","kelloggcorn",3,0.349462,NA,NA,1023.02772727273,9.29490410958904,5,NA
"4","kelloggcorn",4,0.349634,NA,NA,1023.02772727273,9.29490410958904,5,NA
"5","kelloggcorn",5,0.349852,NA,NA,1023.02772727273,9.29490410958904,5,NA
"6","kelloggcorn",6,0.350106,NA,NA,1023.02772727273,9.29490410958904,5,NA
"7","kelloggcorn",7,0.350342,NA,NA,1023.02772727273,9.29490410958904,5,NA
"8","kelloggcorn",8,0.35049,NA,NA,1023.02772727273,9.29490410958904,5,NA
"9","kelloggcorn",9,0.35053,NA,NA,1023.02772727273,9.29490410958904,5,NA
"10","kelloggcorn",10,0.350518,NA,NA,1023.02772727273,9.29490410958904,5,NA
"11","kelloggcorn",11,0.350494,NA,NA,1023.02772727273,9.29490410958904,5,NA
"12","kelloggcorn",12,0.350504,NA,NA,1023.02772727273,9.29490410958904,5,NA
"13","kelloggcorn",13,0.350528,NA,NA,1023.02772727273,9.29490410958904,5,NA
"14","kelloggcorn",14,0.350556,NA,NA,1023.02772727273,9.29490410958904,5,NA
"15","kelloggcorn",15,0.350576,NA,NA,1023.02772727273,9.29490410958904,5,NA
"16","kelloggcorn",16,0.350654,NA,NA,1023.02772727273,9.29490410958904,5,NA
"17","kelloggcorn",17,0.350782,NA,NA,1023.02772727273,9.29490410958904,5,NA
"18","kelloggcorn",18,0.350862,NA,NA,1023.02772727273,9.29490410958904,5,NA
"19","kelloggcorn",19,0.350838,NA,NA,1023.02772727273,9.29490410958904,5,NA
"20","kelloggcorn",20,0.350806,NA,NA,1023.02772727273,9.29490410958904,5,NA
"21","kelloggcorn",21,0.350702,NA,NA,1023.02772727273,9.29490410958904,5,NA
"22","kelloggcorn",22,0.350452,NA,NA,1023.02772727273,9.29490410958904,5,NA
"23","kelloggcorn",23,0.350174,NA,NA,1023.02772727273,9.29490410958904,5,NA
