"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","macordway",1,0.332715,NA,NA,857.843863636364,7.76124875466999,4,NA
"2","macordway",2,0.3327225,NA,NA,857.843863636364,7.76124875466999,4,NA
"3","macordway",3,0.3327075,NA,NA,857.843863636364,7.76124875466999,4,NA
"4","macordway",4,0.3326925,NA,NA,857.843863636364,7.76124875466999,4,NA
"5","macordway",5,0.33266,NA,NA,857.843863636364,7.76124875466999,4,NA
"6","macordway",6,0.3326075,NA,NA,857.843863636364,7.76124875466999,4,NA
"7","macordway",7,0.3326075,NA,NA,857.843863636364,7.76124875466999,4,NA
"8","macordway",8,0.3326025,NA,NA,857.843863636364,7.76124875466999,4,NA
"9","macordway",9,0.3326075,NA,NA,857.843863636364,7.76124875466999,4,NA
"10","macordway",10,0.3326675,NA,NA,857.843863636364,7.76124875466999,4,NA
"11","macordway",11,0.332745,NA,NA,857.843863636364,7.76124875466999,4,NA
"12","macordway",12,0.332825,NA,NA,857.843863636364,7.76124875466999,4,NA
"13","macordway",13,0.33292,NA,NA,857.843863636364,7.76124875466999,4,NA
"14","macordway",14,0.3330075,NA,NA,857.843863636364,7.76124875466999,4,NA
"15","macordway",15,0.3330575,NA,NA,857.843863636364,7.76124875466999,4,NA
"16","macordway",16,0.3330825,NA,NA,857.843863636364,7.76124875466999,4,NA
"17","macordway",17,0.33309,NA,NA,857.843863636364,7.76124875466999,4,NA
"18","macordway",18,0.3330975,NA,NA,857.843863636364,7.76124875466999,4,NA
"19","macordway",19,0.333115,NA,NA,857.843863636364,7.76124875466999,4,NA
"20","macordway",20,0.3331375,NA,NA,857.843863636364,7.76124875466999,4,NA
"21","macordway",21,0.3331475,NA,NA,857.843863636364,7.76124875466999,4,NA
"22","macordway",22,0.3331725,NA,NA,857.843863636364,7.76124875466999,4,NA
"23","macordway",23,0.3332225,NA,NA,857.843863636364,7.76124875466999,4,NA
"24","macordway",24,0.3332825,NA,NA,857.843863636364,7.76124875466999,4,NA
"25","macordway",25,0.3333675,NA,NA,857.843863636364,7.76124875466999,4,NA
"26","macordway",26,0.3334875,NA,NA,857.843863636364,7.76124875466999,4,NA
"27","macordway",27,0.3335975,NA,NA,857.843863636364,7.76124875466999,4,NA
"28","macordway",28,0.3336825,NA,NA,857.843863636364,7.76124875466999,4,NA
"29","macordway",29,0.3337375,NA,NA,857.843863636364,7.76124875466999,4,NA
"30","macordway",30,0.3337625,NA,NA,857.843863636364,7.76124875466999,4,NA
"31","macordway",31,0.33376,NA,NA,857.843863636364,7.76124875466999,4,NA
"32","macordway",32,0.3337575,NA,NA,857.843863636364,7.76124875466999,4,NA
"33","macordway",33,0.3337725,NA,NA,857.843863636364,7.76124875466999,4,NA
"34","macordway",34,0.333825,NA,NA,857.843863636364,7.76124875466999,4,NA
"35","macordway",35,0.333845,NA,NA,857.843863636364,7.76124875466999,4,NA
"36","macordway",36,0.33386,NA,NA,857.843863636364,7.76124875466999,4,NA
"37","macordway",37,0.333885,NA,NA,857.843863636364,7.76124875466999,4,NA
"38","macordway",38,0.3339075,NA,NA,857.843863636364,7.76124875466999,4,NA
"39","macordway",39,0.33396,NA,NA,857.843863636364,7.76124875466999,4,NA
"40","macordway",40,0.3340375,NA,NA,857.843863636364,7.76124875466999,4,NA
"41","macordway",41,0.334105,NA,NA,857.843863636364,7.76124875466999,4,NA
"42","macordway",42,0.334155,NA,NA,857.843863636364,7.76124875466999,4,NA
"43","macordway",43,0.334185,NA,NA,857.843863636364,7.76124875466999,4,NA
"44","macordway",44,0.334195,NA,NA,857.843863636364,7.76124875466999,4,NA
"45","macordway",45,0.3341675,NA,NA,857.843863636364,7.76124875466999,4,NA
"46","macordway",46,0.334135,NA,NA,857.843863636364,7.76124875466999,4,NA
"47","macordway",47,0.3341075,NA,NA,857.843863636364,7.76124875466999,4,NA
"48","macordway",48,0.3341,NA,NA,857.843863636364,7.76124875466999,4,NA
"49","macordway",49,0.3341325,NA,NA,857.843863636364,7.76124875466999,4,NA
"50","macordway",50,0.334185,NA,NA,857.843863636364,7.76124875466999,4,NA
"51","macordway",51,0.33428,NA,NA,857.843863636364,7.76124875466999,4,NA
"52","macordway",52,0.3344425,NA,NA,857.843863636364,7.76124875466999,4,NA
"53","macordway",53,0.3346,NA,NA,857.843863636364,7.76124875466999,4,NA
"54","macordway",54,0.334775,NA,NA,857.843863636364,7.76124875466999,4,NA
"55","macordway",55,0.334965,NA,NA,857.843863636364,7.76124875466999,4,NA
"56","macordway",56,0.3351025,NA,NA,857.843863636364,7.76124875466999,4,NA
"57","macordway",57,0.335175,NA,NA,857.843863636364,7.76124875466999,4,NA
"58","macordway",58,0.33522,NA,NA,857.843863636364,7.76124875466999,4,NA
"59","macordway",59,0.335215,NA,NA,857.843863636364,7.76124875466999,4,NA
"60","macordway",60,0.3351275,NA,NA,857.843863636364,7.76124875466999,4,NA
"61","macordway",61,0.3349825,NA,NA,857.843863636364,7.76124875466999,4,NA
"62","macordway",62,0.334795,NA,NA,857.843863636364,7.76124875466999,4,NA
"63","macordway",63,0.3345225,NA,NA,857.843863636364,7.76124875466999,4,NA
"64","macordway",64,0.3341825,NA,NA,857.843863636364,7.76124875466999,4,NA
"65","macordway",65,0.333855,NA,NA,857.843863636364,7.76124875466999,4,NA
"66","macordway",66,0.3335225,NA,NA,857.843863636364,7.76124875466999,4,NA
"67","macordway",67,0.3331975,NA,NA,857.843863636364,7.76124875466999,4,NA
"68","macordway",68,0.332965,NA,NA,857.843863636364,7.76124875466999,4,NA
"69","macordway",69,0.3327675,NA,NA,857.843863636364,7.76124875466999,4,NA
"70","macordway",70,0.332585,NA,NA,857.843863636364,7.76124875466999,4,NA
"71","macordway",71,0.3324075,NA,NA,857.843863636364,7.76124875466999,4,NA
"72","macordway",72,0.3322825,NA,NA,857.843863636364,7.76124875466999,4,NA
"73","macordway",73,0.33222,NA,NA,857.843863636364,7.76124875466999,4,NA
"74","macordway",74,0.3321125,NA,NA,857.843863636364,7.76124875466999,4,NA
"75","macordway",75,0.331955,NA,NA,857.843863636364,7.76124875466999,4,NA
"76","macordway",76,0.3318,NA,NA,857.843863636364,7.76124875466999,4,NA
"77","macordway",77,0.3316,NA,NA,857.843863636364,7.76124875466999,4,NA
"78","macordway",78,0.331345,NA,NA,857.843863636364,7.76124875466999,4,NA
"79","macordway",79,0.331185,NA,NA,857.843863636364,7.76124875466999,4,NA
"80","macordway",80,0.331125,NA,NA,857.843863636364,7.76124875466999,4,NA
"81","macordway",81,0.33107,NA,NA,857.843863636364,7.76124875466999,4,NA
"82","macordway",82,0.3311225,NA,NA,857.843863636364,7.76124875466999,4,NA
"83","macordway",83,0.331215,NA,NA,857.843863636364,7.76124875466999,4,NA
"84","macordway",84,0.3313025,NA,NA,857.843863636364,7.76124875466999,4,NA
"85","macordway",85,0.33143,NA,NA,857.843863636364,7.76124875466999,4,NA
"86","macordway",86,0.33158,NA,NA,857.843863636364,7.76124875466999,4,NA
"87","macordway",87,0.3317325,NA,NA,857.843863636364,7.76124875466999,4,NA
"88","macordway",88,0.331905,NA,NA,857.843863636364,7.76124875466999,4,NA
"89","macordway",89,0.33205,NA,NA,857.843863636364,7.76124875466999,4,NA
"90","macordway",90,0.3321125,NA,NA,857.843863636364,7.76124875466999,4,NA
"91","macordway",91,0.3321275,NA,NA,857.843863636364,7.76124875466999,4,NA
"92","macordway",92,0.332115,NA,NA,857.843863636364,7.76124875466999,4,NA
"93","macordway",93,0.3320675,NA,NA,857.843863636364,7.76124875466999,4,NA
"94","macordway",94,0.3320125,NA,NA,857.843863636364,7.76124875466999,4,NA
"95","macordway",95,0.3319775,NA,NA,857.843863636364,7.76124875466999,4,NA
"96","macordway",96,0.33197,NA,NA,857.843863636364,7.76124875466999,4,NA
"97","macordway",97,0.3319825,NA,NA,857.843863636364,7.76124875466999,4,NA
"98","macordway",98,0.3319975,NA,NA,857.843863636364,7.76124875466999,4,NA
"99","macordway",99,0.33201,NA,NA,857.843863636364,7.76124875466999,4,NA
"100","macordway",100,0.3320925,NA,NA,857.843863636364,7.76124875466999,4,NA
"101","macordway",101,0.332185,NA,NA,857.843863636364,7.76124875466999,4,NA
"102","macordway",102,0.33225,NA,NA,857.843863636364,7.76124875466999,4,NA
"103","macordway",103,0.33234,NA,NA,857.843863636364,7.76124875466999,4,NA
"104","macordway",104,0.3324175,NA,NA,857.843863636364,7.76124875466999,4,NA
"105","macordway",105,0.3324475,NA,NA,857.843863636364,7.76124875466999,4,NA
"106","macordway",106,0.3323975,NA,NA,857.843863636364,7.76124875466999,4,NA
"107","macordway",107,0.3323,NA,NA,857.843863636364,7.76124875466999,4,NA
"108","macordway",108,0.332285,NA,NA,857.843863636364,7.76124875466999,4,NA
"109","macordway",109,0.332275,NA,NA,857.843863636364,7.76124875466999,4,NA
"110","macordway",110,0.3322825,NA,NA,857.843863636364,7.76124875466999,4,NA
"111","macordway",111,0.3323975,NA,NA,857.843863636364,7.76124875466999,4,NA
"112","macordway",112,0.3325175,NA,NA,857.843863636364,7.76124875466999,4,NA
"113","macordway",113,0.332695,NA,NA,857.843863636364,7.76124875466999,4,NA
"114","macordway",114,0.3329325,NA,NA,857.843863636364,7.76124875466999,4,NA
"115","macordway",115,0.3331925,NA,NA,857.843863636364,7.76124875466999,4,NA
"116","macordway",116,0.33355,NA,NA,857.843863636364,7.76124875466999,4,NA
"117","macordway",117,0.3340325,NA,NA,857.843863636364,7.76124875466999,4,NA
"118","macordway",118,0.334555,NA,NA,857.843863636364,7.76124875466999,4,NA
"119","macordway",119,0.33532,NA,NA,857.843863636364,7.76124875466999,4,NA
"120","macordway",120,0.336205,NA,NA,857.843863636364,7.76124875466999,4,NA
"121","macordway",121,0.337115,NA,NA,857.843863636364,7.76124875466999,4,NA
"122","macordway",122,0.3382875,NA,NA,857.843863636364,7.76124875466999,4,NA
"123","macordway",123,0.3395425,NA,NA,857.843863636364,7.76124875466999,4,NA
"124","macordway",124,0.3408875,NA,NA,857.843863636364,7.76124875466999,4,NA
"125","macordway",125,0.342395,NA,NA,857.843863636364,7.76124875466999,4,NA
"126","macordway",126,0.34406,NA,NA,857.843863636364,7.76124875466999,4,NA
"127","macordway",127,0.3459775,NA,NA,857.843863636364,7.76124875466999,4,NA
"128","macordway",128,0.3480275,NA,NA,857.843863636364,7.76124875466999,4,NA
"129","macordway",129,0.350165,NA,NA,857.843863636364,7.76124875466999,4,NA
"130","macordway",130,0.3524525,NA,NA,857.843863636364,7.76124875466999,4,NA
"131","macordway",131,0.3548975,NA,NA,857.843863636364,7.76124875466999,4,NA
"132","macordway",132,0.3575475,NA,NA,857.843863636364,7.76124875466999,4,NA
"133","macordway",133,0.360355,NA,NA,857.843863636364,7.76124875466999,4,NA
"134","macordway",134,0.36335,NA,NA,857.843863636364,7.76124875466999,4,NA
"135","macordway",135,0.3664375,NA,NA,857.843863636364,7.76124875466999,4,NA
"136","macordway",136,0.369405,NA,NA,857.843863636364,7.76124875466999,4,NA
"137","macordway",137,0.3724925,NA,NA,857.843863636364,7.76124875466999,4,NA
"138","macordway",138,0.37569,NA,NA,857.843863636364,7.76124875466999,4,NA
"139","macordway",139,0.3788,NA,NA,857.843863636364,7.76124875466999,4,NA
"140","macordway",140,0.38195,NA,NA,857.843863636364,7.76124875466999,4,NA
"141","macordway",141,0.3849925,NA,NA,857.843863636364,7.76124875466999,4,NA
"142","macordway",142,0.38772,NA,NA,857.843863636364,7.76124875466999,4,NA
"143","macordway",143,0.3903525,NA,NA,857.843863636364,7.76124875466999,4,NA
"144","macordway",144,0.39288,NA,NA,857.843863636364,7.76124875466999,4,NA
"145","macordway",145,0.395205,NA,NA,857.843863636364,7.76124875466999,4,NA
"146","macordway",146,0.397205,NA,NA,857.843863636364,7.76124875466999,4,NA
"147","macordway",147,0.3989575,NA,NA,857.843863636364,7.76124875466999,4,NA
"148","macordway",148,0.4006425,NA,NA,857.843863636364,7.76124875466999,4,NA
"149","macordway",149,0.40214,NA,NA,857.843863636364,7.76124875466999,4,NA
"150","macordway",150,0.40355,NA,NA,857.843863636364,7.76124875466999,4,NA
"151","macordway",151,0.40499,NA,NA,857.843863636364,7.76124875466999,4,NA
"152","macordway",152,0.40638,NA,NA,857.843863636364,7.76124875466999,4,NA
"153","macordway",153,0.40791,NA,NA,857.843863636364,7.76124875466999,4,NA
"154","macordway",154,0.409645,NA,NA,857.843863636364,7.76124875466999,4,NA
"155","macordway",155,0.4112825,NA,NA,857.843863636364,7.76124875466999,4,NA
"156","macordway",156,0.4130375,NA,NA,857.843863636364,7.76124875466999,4,NA
"157","macordway",157,0.4148275,NA,NA,857.843863636364,7.76124875466999,4,NA
"158","macordway",158,0.416455,NA,NA,857.843863636364,7.76124875466999,4,NA
"159","macordway",159,0.4181225,NA,NA,857.843863636364,7.76124875466999,4,NA
"160","macordway",160,0.41952,NA,NA,857.843863636364,7.76124875466999,4,NA
"161","macordway",161,0.4205425,NA,NA,857.843863636364,7.76124875466999,4,NA
"162","macordway",162,0.4213175,NA,NA,857.843863636364,7.76124875466999,4,NA
"163","macordway",163,0.4218125,NA,NA,857.843863636364,7.76124875466999,4,NA
"164","macordway",164,0.4222475,NA,NA,857.843863636364,7.76124875466999,4,NA
"165","macordway",165,0.4226425,NA,NA,857.843863636364,7.76124875466999,4,NA
"166","macordway",166,0.4230975,NA,NA,857.843863636364,7.76124875466999,4,NA
"167","macordway",167,0.4238,NA,NA,857.843863636364,7.76124875466999,4,NA
"168","macordway",168,0.424565,NA,NA,857.843863636364,7.76124875466999,4,NA
"169","macordway",169,0.425365,NA,NA,857.843863636364,7.76124875466999,4,NA
"170","macordway",170,0.4260775,NA,NA,857.843863636364,7.76124875466999,4,NA
"171","macordway",171,0.4266975,NA,NA,857.843863636364,7.76124875466999,4,NA
"172","macordway",172,0.4273425,NA,NA,857.843863636364,7.76124875466999,4,NA
"173","macordway",173,0.4278775,NA,NA,857.843863636364,7.76124875466999,4,NA
"174","macordway",174,0.42819,NA,NA,857.843863636364,7.76124875466999,4,NA
"175","macordway",175,0.42841,NA,NA,857.843863636364,7.76124875466999,4,NA
"176","macordway",176,0.4284275,NA,NA,857.843863636364,7.76124875466999,4,NA
"177","macordway",177,0.4282,NA,NA,857.843863636364,7.76124875466999,4,NA
"178","macordway",178,0.42798,NA,NA,857.843863636364,7.76124875466999,4,NA
"179","macordway",179,0.42784,NA,NA,857.843863636364,7.76124875466999,4,NA
"180","macordway",180,0.4276025,NA,NA,857.843863636364,7.76124875466999,4,NA
"181","macordway",181,0.4273325,NA,NA,857.843863636364,7.76124875466999,4,NA
"182","macordway",182,0.4273225,NA,NA,857.843863636364,7.76124875466999,4,NA
"183","macordway",183,0.4274825,NA,NA,857.843863636364,7.76124875466999,4,NA
"184","macordway",184,0.4276125,NA,NA,857.843863636364,7.76124875466999,4,NA
"185","macordway",185,0.4277625,NA,NA,857.843863636364,7.76124875466999,4,NA
"186","macordway",186,0.4279075,NA,NA,857.843863636364,7.76124875466999,4,NA
"187","macordway",187,0.427955,NA,NA,857.843863636364,7.76124875466999,4,NA
"188","macordway",188,0.428025,NA,NA,857.843863636364,7.76124875466999,4,NA
"189","macordway",189,0.4281275,NA,NA,857.843863636364,7.76124875466999,4,NA
"190","macordway",190,0.4281475,NA,NA,857.843863636364,7.76124875466999,4,NA
