"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","nevcanspg2a",1,0.31974,0.32237,0.00262999999999997,370.52,8.49739943960149,4,1
"2","nevcanspg2a",2,0.319915,0.32279,0.00287500000000002,370.52,8.49739943960149,4,1
"3","nevcanspg2a",3,0.3201175,0.32301,0.00289250000000002,370.52,8.49739943960149,4,1
"4","nevcanspg2a",4,0.3203775,0.32317,0.00279250000000003,370.52,8.49739943960149,4,1
"5","nevcanspg2a",5,0.320675,0.32328,0.00260500000000002,370.52,8.49739943960149,4,1
"6","nevcanspg2a",6,0.3209275,0.32333,0.00240249999999997,370.52,8.49739943960149,4,1
"7","nevcanspg2a",7,0.321105,0.32331,0.00220499999999996,370.52,8.49739943960149,4,1
"8","nevcanspg2a",8,0.32116,0.32328,0.00212000000000001,370.52,8.49739943960149,4,1
"9","nevcanspg2a",9,0.3211125,0.32317,0.00205749999999999,370.52,8.49739943960149,4,1
"10","nevcanspg2a",10,0.32104,0.32296,0.00192000000000003,370.52,8.49739943960149,4,1
"11","nevcanspg2a",11,0.32101,0.32269,0.00167999999999996,370.52,8.49739943960149,4,1
"12","nevcanspg2a",12,0.321005,0.3224,0.00139500000000004,370.52,8.49739943960149,4,1
"13","nevcanspg2a",13,0.3209825,0.32214,0.00115749999999998,370.52,8.49739943960149,4,1
"14","nevcanspg2a",14,0.320955,0.32187,0.000914999999999999,370.52,8.49739943960149,4,1
"15","nevcanspg2a",15,0.320885,0.32154,0.000654999999999961,370.52,8.49739943960149,4,1
"16","nevcanspg2a",16,0.320765,0.32123,0.000465000000000049,370.52,8.49739943960149,4,1
"17","nevcanspg2a",17,0.320625,0.32099,0.000365000000000004,370.52,8.49739943960149,4,1
"18","nevcanspg2a",18,0.320515,0.3209,0.000385000000000024,370.52,8.49739943960149,4,1
"19","nevcanspg2a",19,0.3204575,0.32096,0.000502500000000017,370.52,8.49739943960149,4,1
"20","nevcanspg2a",20,0.320425,0.3211,0.000675000000000037,370.52,8.49739943960149,4,1
"21","nevcanspg2a",21,0.3203525,0.3213,0.00094749999999999,370.52,8.49739943960149,4,1
"22","nevcanspg2a",22,0.32028,0.32151,0.00123000000000001,370.52,8.49739943960149,4,1
"23","nevcanspg2a",23,0.3203325,0.3217,0.00136749999999997,370.52,8.49739943960149,4,1
"24","nevcanspg2a",24,0.3204275,0.32207,0.00164250000000005,370.52,8.49739943960149,4,1
"25","nevcanspg2a",25,0.3203925,0.32262,0.00222750000000005,370.52,8.49739943960149,4,1
"26","nevcanspg2a",26,0.32036,0.32297,0.00261,370.52,8.49739943960149,4,1
"27","nevcanspg2a",27,0.32046,0.3231,0.00264000000000003,370.52,8.49739943960149,4,1
"28","nevcanspg2a",28,0.3206125,0.3232,0.00258749999999996,370.52,8.49739943960149,4,1
"29","nevcanspg2a",29,0.3207125,0.32321,0.00249749999999999,370.52,8.49739943960149,4,1
"30","nevcanspg2a",30,0.320735,0.32305,0.00231500000000001,370.52,8.49739943960149,4,1
"31","nevcanspg2a",31,0.32074,0.3227,0.00195999999999996,370.52,8.49739943960149,4,1
"32","nevcanspg2a",32,0.320805,0.32228,0.001475,370.52,8.49739943960149,4,1
"33","nevcanspg2a",33,0.3208825,0.32192,0.00103750000000002,370.52,8.49739943960149,4,1
"34","nevcanspg2a",34,0.32088,0.32171,0.000829999999999997,370.52,8.49739943960149,4,1
"35","nevcanspg2a",35,0.3208375,0.32166,0.000822500000000004,370.52,8.49739943960149,4,1
"36","nevcanspg2a",36,0.3208775,0.32167,0.000792500000000029,370.52,8.49739943960149,4,1
"37","nevcanspg2a",37,0.3209575,0.32171,0.000752499999999989,370.52,8.49739943960149,4,1
