"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","rosemountcons",1,0.336525,0.33496,-0.00156499999999998,860.807272727273,7.51961363636364,2,1
"2","rosemountcons",2,0.336415,0.33471,-0.00170500000000001,860.807272727273,7.51961363636364,2,1
"3","rosemountcons",3,0.33618,0.33441,-0.00177000000000005,860.807272727273,7.51961363636364,2,1
"4","rosemountcons",4,0.33575,0.33399,-0.00175999999999998,860.807272727273,7.51961363636364,2,1
"5","rosemountcons",5,0.335905,0.33359,-0.00231500000000001,860.807272727273,7.51961363636364,2,1
"6","rosemountcons",6,0.33683,0.33352,-0.00330999999999998,860.807272727273,7.51961363636364,2,1
"7","rosemountcons",7,0.337525,0.33355,-0.00397500000000001,860.807272727273,7.51961363636364,2,1
"8","rosemountcons",8,0.33777,0.33364,-0.00413000000000002,860.807272727273,7.51961363636364,2,1
"9","rosemountcons",9,0.337875,0.33388,-0.00399500000000003,860.807272727273,7.51961363636364,2,1
"10","rosemountcons",10,0.338225,0.33415,-0.004075,860.807272727273,7.51961363636364,2,1
"11","rosemountcons",11,0.33808,0.33433,-0.00375000000000003,860.807272727273,7.51961363636364,2,1
"12","rosemountcons",12,0.337165,0.3345,-0.00266499999999997,860.807272727273,7.51961363636364,2,1
"13","rosemountcons",13,0.33656,0.3347,-0.00185999999999997,860.807272727273,7.51961363636364,2,1
"14","rosemountcons",14,0.33626,0.33492,-0.00134000000000001,860.807272727273,7.51961363636364,2,1
"15","rosemountcons",15,0.336225,0.33502,-0.00120500000000001,860.807272727273,7.51961363636364,2,1
"16","rosemountcons",16,0.33622,0.33501,-0.00120999999999999,860.807272727273,7.51961363636364,2,1
"17","rosemountcons",17,0.33615,0.33494,-0.00120999999999999,860.807272727273,7.51961363636364,2,1
"18","rosemountcons",18,0.3359,0.33474,-0.00115999999999999,860.807272727273,7.51961363636364,2,1
"19","rosemountcons",19,0.33548,0.3345,-0.000979999999999981,860.807272727273,7.51961363636364,2,1
"20","rosemountcons",20,0.3351,0.3349,-0.000200000000000033,860.807272727273,7.51961363636364,2,1
"21","rosemountcons",21,0.33478,0.3362,0.00142000000000003,860.807272727273,7.51961363636364,2,1
"22","rosemountcons",22,0.334445,0.33795,0.00350499999999998,860.807272727273,7.51961363636364,2,1
"23","rosemountcons",23,0.33428,0.34103,0.00674999999999998,860.807272727273,7.51961363636364,2,1
"24","rosemountcons",24,0.334265,0.34447,0.010205,860.807272727273,7.51961363636364,2,1
"25","rosemountcons",25,0.334205,0.34644,0.0122350000000001,860.807272727273,7.51961363636364,2,1
"26","rosemountcons",26,0.33418,0.34819,0.01401,860.807272727273,7.51961363636364,2,1
"27","rosemountcons",27,0.334225,0.35006,0.015835,860.807272727273,7.51961363636364,2,1
"28","rosemountcons",28,0.334155,0.35132,0.017165,860.807272727273,7.51961363636364,2,1
"29","rosemountcons",29,0.33405,0.3517,0.0176500000000001,860.807272727273,7.51961363636364,2,1
"30","rosemountcons",30,0.33398,0.35194,0.01796,860.807272727273,7.51961363636364,2,1
"31","rosemountcons",31,0.333865,0.35235,0.018485,860.807272727273,7.51961363636364,2,1
"32","rosemountcons",32,0.333925,0.3526,0.018675,860.807272727273,7.51961363636364,2,1
"33","rosemountcons",33,0.334125,0.35269,0.018565,860.807272727273,7.51961363636364,2,1
"34","rosemountcons",34,0.334315,0.35239,0.018075,860.807272727273,7.51961363636364,2,1
"35","rosemountcons",35,0.33463,0.35189,0.01726,860.807272727273,7.51961363636364,2,1
"36","rosemountcons",36,0.33513,0.35143,0.0163,860.807272727273,7.51961363636364,2,1
"37","rosemountcons",37,0.33556,0.35088,0.0153200000000001,860.807272727273,7.51961363636364,2,1
"38","rosemountcons",38,0.3359,0.3503,0.0144,860.807272727273,7.51961363636364,2,1
"39","rosemountcons",39,0.33611,0.34975,0.01364,860.807272727273,7.51961363636364,2,1
"40","rosemountcons",40,0.336105,0.34928,0.013175,860.807272727273,7.51961363636364,2,1
"41","rosemountcons",41,0.33601,0.34917,0.0131599999999999,860.807272727273,7.51961363636364,2,1
"42","rosemountcons",42,0.335995,0.34924,0.013245,860.807272727273,7.51961363636364,2,1
"43","rosemountcons",43,0.33594,0.3494,0.01346,860.807272727273,7.51961363636364,2,1
"44","rosemountcons",44,0.33583,0.34957,0.01374,860.807272727273,7.51961363636364,2,1
"45","rosemountcons",45,0.33582,0.34983,0.01401,860.807272727273,7.51961363636364,2,1
