"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","sagehen",1,0.374,0.37503,0.00102999999999998,870.378409090909,6.70599097135741,5,1
"2","sagehen",2,0.374258,0.37591,0.00165200000000004,870.378409090909,6.70599097135741,5,1
"3","sagehen",3,0.37468,0.37649,0.00180999999999998,870.378409090909,6.70599097135741,5,1
"4","sagehen",4,0.37518,0.37662,0.00144,870.378409090909,6.70599097135741,5,1
"5","sagehen",5,0.375666,0.37636,0.000693999999999972,870.378409090909,6.70599097135741,5,1
"6","sagehen",6,0.376138,0.37589,-0.000248000000000026,870.378409090909,6.70599097135741,5,1
"7","sagehen",7,0.37659,0.37537,-0.00122,870.378409090909,6.70599097135741,5,1
"8","sagehen",8,0.376954,0.37498,-0.00197400000000003,870.378409090909,6.70599097135741,5,1
"9","sagehen",9,0.377194,0.37489,-0.00230400000000003,870.378409090909,6.70599097135741,5,1
"10","sagehen",10,0.377268,0.37517,-0.00209799999999999,870.378409090909,6.70599097135741,5,1
"11","sagehen",11,0.377134,0.37572,-0.00141400000000003,870.378409090909,6.70599097135741,5,1
"12","sagehen",12,0.37676,0.37642,-0.000340000000000007,870.378409090909,6.70599097135741,5,1
"13","sagehen",13,0.376238,0.37719,0.000952000000000008,870.378409090909,6.70599097135741,5,1
"14","sagehen",14,0.37565,0.37792,0.00226999999999999,870.378409090909,6.70599097135741,5,1
"15","sagehen",15,0.37506,0.37852,0.00346000000000002,870.378409090909,6.70599097135741,5,1
"16","sagehen",16,0.374552,0.37909,0.00453799999999999,870.378409090909,6.70599097135741,5,1
"17","sagehen",17,0.374132,0.37975,0.00561799999999996,870.378409090909,6.70599097135741,5,1
"18","sagehen",18,0.37366,0.38039,0.00673000000000001,870.378409090909,6.70599097135741,5,1
"19","sagehen",19,0.373082,0.38094,0.00785799999999998,870.378409090909,6.70599097135741,5,1
"20","sagehen",20,0.372454,0.38132,0.00886599999999999,870.378409090909,6.70599097135741,5,1
"21","sagehen",21,0.371856,0.38143,0.00957399999999997,870.378409090909,6.70599097135741,5,1
"22","sagehen",22,0.371388,0.38124,0.00985200000000003,870.378409090909,6.70599097135741,5,1
"23","sagehen",23,0.371204,0.38082,0.00961600000000001,870.378409090909,6.70599097135741,5,1
"24","sagehen",24,0.371334,0.38024,0.00890600000000003,870.378409090909,6.70599097135741,5,1
"25","sagehen",25,0.371684,0.37959,0.00790599999999997,870.378409090909,6.70599097135741,5,1
"26","sagehen",26,0.372118,0.37892,0.00680199999999997,870.378409090909,6.70599097135741,5,1
"27","sagehen",27,0.372496,0.37831,0.00581399999999999,870.378409090909,6.70599097135741,5,1
"28","sagehen",28,0.37272,0.37764,0.00491999999999998,870.378409090909,6.70599097135741,5,1
"29","sagehen",29,0.372786,0.37678,0.003994,870.378409090909,6.70599097135741,5,1
"30","sagehen",30,0.372798,0.37588,0.00308199999999997,870.378409090909,6.70599097135741,5,1
"31","sagehen",31,0.372802,0.37502,0.002218,870.378409090909,6.70599097135741,5,1
"32","sagehen",32,0.37286,0.37435,0.00149000000000005,870.378409090909,6.70599097135741,5,1
"33","sagehen",33,0.373,0.37383,0.000829999999999997,870.378409090909,6.70599097135741,5,1
"34","sagehen",34,0.37319,0.37339,0.000199999999999978,870.378409090909,6.70599097135741,5,1
"35","sagehen",35,0.37333,0.37302,-0.000309999999999977,870.378409090909,6.70599097135741,5,1
"36","sagehen",36,0.373358,0.37273,-0.000627999999999962,870.378409090909,6.70599097135741,5,1
"37","sagehen",37,0.373298,0.37252,-0.000778000000000001,870.378409090909,6.70599097135741,5,1
"38","sagehen",38,0.373184,0.37239,-0.000794000000000017,870.378409090909,6.70599097135741,5,1
"39","sagehen",39,0.373092,0.37238,-0.00071199999999999,870.378409090909,6.70599097135741,5,1
"40","sagehen",40,0.373056,0.37252,-0.000535999999999981,870.378409090909,6.70599097135741,5,1
"41","sagehen",41,0.373076,0.37273,-0.000345999999999957,870.378409090909,6.70599097135741,5,1
"42","sagehen",42,0.373122,0.37295,-0.000172000000000005,870.378409090909,6.70599097135741,5,1
"43","sagehen",43,0.373166,0.37313,-3.59999999999805e-05,870.378409090909,6.70599097135741,5,1
"44","sagehen",44,0.373164,0.37319,2.6000000000026e-05,870.378409090909,6.70599097135741,5,1
