"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","segaarboretumforest",1,0.331616666666667,0.33327,0.00165333333333334,642.769545454545,8.39733125778331,3,1
"2","segaarboretumforest",2,0.33146,0.33317,0.00171000000000004,642.769545454545,8.39733125778331,3,1
"3","segaarboretumforest",3,0.331196666666667,0.33312,0.00192333333333333,642.769545454545,8.39733125778331,3,1
"4","segaarboretumforest",4,0.33091,0.33304,0.00213000000000002,642.769545454545,8.39733125778331,3,1
"5","segaarboretumforest",5,0.330523333333333,0.33302,0.00249666666666665,642.769545454545,8.39733125778331,3,1
"6","segaarboretumforest",6,0.330046666666667,0.33297,0.00292333333333333,642.769545454545,8.39733125778331,3,1
"7","segaarboretumforest",7,0.32973,0.33294,0.00321000000000005,642.769545454545,8.39733125778331,3,1
"8","segaarboretumforest",8,0.32962,0.33293,0.00330999999999998,642.769545454545,8.39733125778331,3,1
"9","segaarboretumforest",9,0.329563333333333,0.33294,0.00337666666666669,642.769545454545,8.39733125778331,3,1
"10","segaarboretumforest",10,0.329536666666667,0.33295,0.00341333333333338,642.769545454545,8.39733125778331,3,1
"11","segaarboretumforest",11,0.329566666666667,0.33298,0.00341333333333332,642.769545454545,8.39733125778331,3,1
"12","segaarboretumforest",12,0.32963,0.33301,0.00337999999999994,642.769545454545,8.39733125778331,3,1
"13","segaarboretumforest",13,0.329686666666667,0.33303,0.00334333333333331,642.769545454545,8.39733125778331,3,1
"14","segaarboretumforest",14,0.32977,0.33307,0.00329999999999997,642.769545454545,8.39733125778331,3,1
"15","segaarboretumforest",15,0.32994,0.33311,0.00317000000000001,642.769545454545,8.39733125778331,3,1
"16","segaarboretumforest",16,0.33018,0.33313,0.00295000000000001,642.769545454545,8.39733125778331,3,1
"17","segaarboretumforest",17,0.330396666666667,0.33315,0.00275333333333333,642.769545454545,8.39733125778331,3,1
"18","segaarboretumforest",18,0.33068,0.33316,0.00248000000000004,642.769545454545,8.39733125778331,3,1
"19","segaarboretumforest",19,0.33096,0.33315,0.00219000000000003,642.769545454545,8.39733125778331,3,1
"20","segaarboretumforest",20,0.331163333333333,0.33314,0.00197666666666668,642.769545454545,8.39733125778331,3,1
"21","segaarboretumforest",21,0.331413333333333,0.33309,0.00167666666666666,642.769545454545,8.39733125778331,3,1
"22","segaarboretumforest",22,0.33164,0.333,0.00136000000000003,642.769545454545,8.39733125778331,3,1
"23","segaarboretumforest",23,0.33175,0.33288,0.00113000000000002,642.769545454545,8.39733125778331,3,1
"24","segaarboretumforest",24,0.33175,0.33271,0.000960000000000016,642.769545454545,8.39733125778331,3,1
"25","segaarboretumforest",25,0.331666666666667,0.33252,0.000853333333333317,642.769545454545,8.39733125778331,3,1
"26","segaarboretumforest",26,0.331526666666667,0.33228,0.000753333333333384,642.769545454545,8.39733125778331,3,1
"27","segaarboretumforest",27,0.331353333333333,0.33197,0.000616666666666654,642.769545454545,8.39733125778331,3,1
"28","segaarboretumforest",28,0.33115,0.33162,0.000470000000000026,642.769545454545,8.39733125778331,3,1
"29","segaarboretumforest",29,0.331013333333333,0.33122,0.000206666666666688,642.769545454545,8.39733125778331,3,1
"30","segaarboretumforest",30,0.330906666666667,0.33072,-0.000186666666666668,642.769545454545,8.39733125778331,3,1
"31","segaarboretumforest",31,0.330806666666667,0.33021,-0.000596666666666634,642.769545454545,8.39733125778331,3,1
"32","segaarboretumforest",32,0.330713333333333,0.32977,-0.000943333333333296,642.769545454545,8.39733125778331,3,1
"33","segaarboretumforest",33,0.330626666666667,0.32935,-0.0012766666666667,642.769545454545,8.39733125778331,3,1
"34","segaarboretumforest",34,0.330536666666667,0.32891,-0.00162666666666667,642.769545454545,8.39733125778331,3,1
"35","segaarboretumforest",35,0.33045,0.32854,-0.00190999999999997,642.769545454545,8.39733125778331,3,1
"36","segaarboretumforest",36,0.33041,0.32826,-0.00214999999999999,642.769545454545,8.39733125778331,3,1
"37","segaarboretumforest",37,0.330413333333333,0.32801,-0.00240333333333331,642.769545454545,8.39733125778331,3,1
"38","segaarboretumforest",38,0.330436666666667,0.32781,-0.00262666666666667,642.769545454545,8.39733125778331,3,1
"39","segaarboretumforest",39,0.33051,0.32765,-0.00286000000000003,642.769545454545,8.39733125778331,3,1
"40","segaarboretumforest",40,0.33063,0.32752,-0.00311,642.769545454545,8.39733125778331,3,1
"41","segaarboretumforest",41,0.330756666666667,0.32743,-0.00332666666666664,642.769545454545,8.39733125778331,3,1
