"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","segaarboretummeadow",1,0.30497,NA,NA,642.769545454545,8.39733125778331,1,NA
"2","segaarboretummeadow",2,0.3048,NA,NA,642.769545454545,8.39733125778331,1,NA
"3","segaarboretummeadow",3,0.30503,NA,NA,642.769545454545,8.39733125778331,1,NA
"4","segaarboretummeadow",4,0.30547,NA,NA,642.769545454545,8.39733125778331,1,NA
"5","segaarboretummeadow",5,0.30605,NA,NA,642.769545454545,8.39733125778331,1,NA
"6","segaarboretummeadow",6,0.3067,NA,NA,642.769545454545,8.39733125778331,1,NA
"7","segaarboretummeadow",7,0.30763,NA,NA,642.769545454545,8.39733125778331,1,NA
"8","segaarboretummeadow",8,0.30896,NA,NA,642.769545454545,8.39733125778331,1,NA
"9","segaarboretummeadow",9,0.31043,NA,NA,642.769545454545,8.39733125778331,1,NA
"10","segaarboretummeadow",10,0.31177,NA,NA,642.769545454545,8.39733125778331,1,NA
"11","segaarboretummeadow",11,0.31271,NA,NA,642.769545454545,8.39733125778331,1,NA
"12","segaarboretummeadow",12,0.31322,NA,NA,642.769545454545,8.39733125778331,1,NA
"13","segaarboretummeadow",13,0.31354,NA,NA,642.769545454545,8.39733125778331,1,NA
"14","segaarboretummeadow",14,0.31383,NA,NA,642.769545454545,8.39733125778331,1,NA
"15","segaarboretummeadow",15,0.31426,NA,NA,642.769545454545,8.39733125778331,1,NA
"16","segaarboretummeadow",16,0.3148,NA,NA,642.769545454545,8.39733125778331,1,NA
"17","segaarboretummeadow",17,0.31529,NA,NA,642.769545454545,8.39733125778331,1,NA
"18","segaarboretummeadow",18,0.31574,NA,NA,642.769545454545,8.39733125778331,1,NA
"19","segaarboretummeadow",19,0.31612,NA,NA,642.769545454545,8.39733125778331,1,NA
"20","segaarboretummeadow",20,0.31641,NA,NA,642.769545454545,8.39733125778331,1,NA
"21","segaarboretummeadow",21,0.31676,NA,NA,642.769545454545,8.39733125778331,1,NA
"22","segaarboretummeadow",22,0.31722,NA,NA,642.769545454545,8.39733125778331,1,NA
"23","segaarboretummeadow",23,0.31764,NA,NA,642.769545454545,8.39733125778331,1,NA
"24","segaarboretummeadow",24,0.31788,NA,NA,642.769545454545,8.39733125778331,1,NA
"25","segaarboretummeadow",25,0.31788,NA,NA,642.769545454545,8.39733125778331,1,NA
"26","segaarboretummeadow",26,0.31769,NA,NA,642.769545454545,8.39733125778331,1,NA
"27","segaarboretummeadow",27,0.31741,NA,NA,642.769545454545,8.39733125778331,1,NA
"28","segaarboretummeadow",28,0.31711,NA,NA,642.769545454545,8.39733125778331,1,NA
"29","segaarboretummeadow",29,0.31689,NA,NA,642.769545454545,8.39733125778331,1,NA
"30","segaarboretummeadow",30,0.31667,NA,NA,642.769545454545,8.39733125778331,1,NA
"31","segaarboretummeadow",31,0.31638,NA,NA,642.769545454545,8.39733125778331,1,NA
"32","segaarboretummeadow",32,0.31606,NA,NA,642.769545454545,8.39733125778331,1,NA
"33","segaarboretummeadow",33,0.31577,NA,NA,642.769545454545,8.39733125778331,1,NA
"34","segaarboretummeadow",34,0.31559,NA,NA,642.769545454545,8.39733125778331,1,NA
"35","segaarboretummeadow",35,0.31553,NA,NA,642.769545454545,8.39733125778331,1,NA
"36","segaarboretummeadow",36,0.31549,NA,NA,642.769545454545,8.39733125778331,1,NA
"37","segaarboretummeadow",37,0.31537,NA,NA,642.769545454545,8.39733125778331,1,NA
"38","segaarboretummeadow",38,0.31509,NA,NA,642.769545454545,8.39733125778331,1,NA
"39","segaarboretummeadow",39,0.31442,NA,NA,642.769545454545,8.39733125778331,1,NA
"40","segaarboretummeadow",40,0.31344,NA,NA,642.769545454545,8.39733125778331,1,NA
"41","segaarboretummeadow",41,0.31246,NA,NA,642.769545454545,8.39733125778331,1,NA
"42","segaarboretummeadow",42,0.3118,NA,NA,642.769545454545,8.39733125778331,1,NA
"43","segaarboretummeadow",43,0.31124,NA,NA,642.769545454545,8.39733125778331,1,NA
"44","segaarboretummeadow",44,0.31053,NA,NA,642.769545454545,8.39733125778331,1,NA
"45","segaarboretummeadow",45,0.30993,NA,NA,642.769545454545,8.39733125778331,1,NA
"46","segaarboretummeadow",46,0.30972,NA,NA,642.769545454545,8.39733125778331,1,NA
"47","segaarboretummeadow",47,0.31005,NA,NA,642.769545454545,8.39733125778331,1,NA
"48","segaarboretummeadow",48,0.31074,NA,NA,642.769545454545,8.39733125778331,1,NA
"49","segaarboretummeadow",49,0.31158,NA,NA,642.769545454545,8.39733125778331,1,NA
"50","segaarboretummeadow",50,0.31233,NA,NA,642.769545454545,8.39733125778331,1,NA
"51","segaarboretummeadow",51,0.31322,NA,NA,642.769545454545,8.39733125778331,1,NA
"52","segaarboretummeadow",52,0.31443,NA,NA,642.769545454545,8.39733125778331,1,NA
"53","segaarboretummeadow",53,0.31575,NA,NA,642.769545454545,8.39733125778331,1,NA
"54","segaarboretummeadow",54,0.31694,NA,NA,642.769545454545,8.39733125778331,1,NA
"55","segaarboretummeadow",55,0.31779,NA,NA,642.769545454545,8.39733125778331,1,NA
"56","segaarboretummeadow",56,0.31848,NA,NA,642.769545454545,8.39733125778331,1,NA
"57","segaarboretummeadow",57,0.31921,NA,NA,642.769545454545,8.39733125778331,1,NA
"58","segaarboretummeadow",58,0.31982,NA,NA,642.769545454545,8.39733125778331,1,NA
"59","segaarboretummeadow",59,0.32013,NA,NA,642.769545454545,8.39733125778331,1,NA
