"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","spruceT4P13",1,0.334205,NA,NA,734.930681818182,4.09423754669988,8,NA
"2","spruceT4P13",2,0.3342525,NA,NA,734.930681818182,4.09423754669988,8,NA
"3","spruceT4P13",3,0.33428125,NA,NA,734.930681818182,4.09423754669988,8,NA
"4","spruceT4P13",4,0.33430125,NA,NA,734.930681818182,4.09423754669988,8,NA
"5","spruceT4P13",5,0.33431875,NA,NA,734.930681818182,4.09423754669988,8,NA
"6","spruceT4P13",6,0.3343375,NA,NA,734.930681818182,4.09423754669988,8,NA
"7","spruceT4P13",7,0.3343525,NA,NA,734.930681818182,4.09423754669988,8,NA
"8","spruceT4P13",8,0.33436125,NA,NA,734.930681818182,4.09423754669988,8,NA
"9","spruceT4P13",9,0.33437125,NA,NA,734.930681818182,4.09423754669988,8,NA
"10","spruceT4P13",10,0.33439,NA,NA,734.930681818182,4.09423754669988,8,NA
"11","spruceT4P13",11,0.33441375,NA,NA,734.930681818182,4.09423754669988,8,NA
"12","spruceT4P13",12,0.3344325,NA,NA,734.930681818182,4.09423754669988,8,NA
"13","spruceT4P13",13,0.33443375,NA,NA,734.930681818182,4.09423754669988,8,NA
"14","spruceT4P13",14,0.3344225,NA,NA,734.930681818182,4.09423754669988,8,NA
"15","spruceT4P13",15,0.33440625,NA,NA,734.930681818182,4.09423754669988,8,NA
"16","spruceT4P13",16,0.33438625,NA,NA,734.930681818182,4.09423754669988,8,NA
"17","spruceT4P13",17,0.33435875,NA,NA,734.930681818182,4.09423754669988,8,NA
"18","spruceT4P13",18,0.3343225,NA,NA,734.930681818182,4.09423754669988,8,NA
"19","spruceT4P13",19,0.3342925,NA,NA,734.930681818182,4.09423754669988,8,NA
"20","spruceT4P13",20,0.33426875,NA,NA,734.930681818182,4.09423754669988,8,NA
"21","spruceT4P13",21,0.33425125,NA,NA,734.930681818182,4.09423754669988,8,NA
"22","spruceT4P13",22,0.33422125,NA,NA,734.930681818182,4.09423754669988,8,NA
"23","spruceT4P13",23,0.33417625,NA,NA,734.930681818182,4.09423754669988,8,NA
"24","spruceT4P13",24,0.3341225,NA,NA,734.930681818182,4.09423754669988,8,NA
"25","spruceT4P13",25,0.33406875,NA,NA,734.930681818182,4.09423754669988,8,NA
"26","spruceT4P13",26,0.3340125,NA,NA,734.930681818182,4.09423754669988,8,NA
"27","spruceT4P13",27,0.33397375,NA,NA,734.930681818182,4.09423754669988,8,NA
"28","spruceT4P13",28,0.333965,NA,NA,734.930681818182,4.09423754669988,8,NA
"29","spruceT4P13",29,0.333985,NA,NA,734.930681818182,4.09423754669988,8,NA
"30","spruceT4P13",30,0.3340175,NA,NA,734.930681818182,4.09423754669988,8,NA
"31","spruceT4P13",31,0.33405625,NA,NA,734.930681818182,4.09423754669988,8,NA
"32","spruceT4P13",32,0.33409625,NA,NA,734.930681818182,4.09423754669988,8,NA
"33","spruceT4P13",33,0.33413875,NA,NA,734.930681818182,4.09423754669988,8,NA
"34","spruceT4P13",34,0.334175,NA,NA,734.930681818182,4.09423754669988,8,NA
"35","spruceT4P13",35,0.33421125,NA,NA,734.930681818182,4.09423754669988,8,NA
"36","spruceT4P13",36,0.33425125,NA,NA,734.930681818182,4.09423754669988,8,NA
"37","spruceT4P13",37,0.33429375,NA,NA,734.930681818182,4.09423754669988,8,NA
"38","spruceT4P13",38,0.3343375,NA,NA,734.930681818182,4.09423754669988,8,NA
"39","spruceT4P13",39,0.3343875,NA,NA,734.930681818182,4.09423754669988,8,NA
"40","spruceT4P13",40,0.33444375,NA,NA,734.930681818182,4.09423754669988,8,NA
"41","spruceT4P13",41,0.3344975,NA,NA,734.930681818182,4.09423754669988,8,NA
"42","spruceT4P13",42,0.3345425,NA,NA,734.930681818182,4.09423754669988,8,NA
"43","spruceT4P13",43,0.33458125,NA,NA,734.930681818182,4.09423754669988,8,NA
"44","spruceT4P13",44,0.33461625,NA,NA,734.930681818182,4.09423754669988,8,NA
"45","spruceT4P13",45,0.33464375,NA,NA,734.930681818182,4.09423754669988,8,NA
"46","spruceT4P13",46,0.3346625,NA,NA,734.930681818182,4.09423754669988,8,NA
"47","spruceT4P13",47,0.33468125,NA,NA,734.930681818182,4.09423754669988,8,NA
"48","spruceT4P13",48,0.3347,NA,NA,734.930681818182,4.09423754669988,8,NA
"49","spruceT4P13",49,0.33472125,NA,NA,734.930681818182,4.09423754669988,8,NA
"50","spruceT4P13",50,0.33473875,NA,NA,734.930681818182,4.09423754669988,8,NA
"51","spruceT4P13",51,0.33475125,NA,NA,734.930681818182,4.09423754669988,8,NA
"52","spruceT4P13",52,0.3347575,NA,NA,734.930681818182,4.09423754669988,8,NA
"53","spruceT4P13",53,0.3347625,NA,NA,734.930681818182,4.09423754669988,8,NA
"54","spruceT4P13",54,0.334765,NA,NA,734.930681818182,4.09423754669988,8,NA
"55","spruceT4P13",55,0.33477625,NA,NA,734.930681818182,4.09423754669988,8,NA
"56","spruceT4P13",56,0.334785,NA,NA,734.930681818182,4.09423754669988,8,NA
"57","spruceT4P13",57,0.334795,NA,NA,734.930681818182,4.09423754669988,8,NA
"58","spruceT4P13",58,0.3347875,NA,NA,734.930681818182,4.09423754669988,8,NA
"59","spruceT4P13",59,0.33476375,NA,NA,734.930681818182,4.09423754669988,8,NA
"60","spruceT4P13",60,0.3347425,NA,NA,734.930681818182,4.09423754669988,8,NA
"61","spruceT4P13",61,0.33474125,NA,NA,734.930681818182,4.09423754669988,8,NA
"62","spruceT4P13",62,0.3347625,NA,NA,734.930681818182,4.09423754669988,8,NA
"63","spruceT4P13",63,0.3348025,NA,NA,734.930681818182,4.09423754669988,8,NA
"64","spruceT4P13",64,0.334855,NA,NA,734.930681818182,4.09423754669988,8,NA
"65","spruceT4P13",65,0.33491625,NA,NA,734.930681818182,4.09423754669988,8,NA
"66","spruceT4P13",66,0.33499125,NA,NA,734.930681818182,4.09423754669988,8,NA
"67","spruceT4P13",67,0.3350775,NA,NA,734.930681818182,4.09423754669988,8,NA
"68","spruceT4P13",68,0.33517125,NA,NA,734.930681818182,4.09423754669988,8,NA
"69","spruceT4P13",69,0.33526375,NA,NA,734.930681818182,4.09423754669988,8,NA
"70","spruceT4P13",70,0.33535875,NA,NA,734.930681818182,4.09423754669988,8,NA
"71","spruceT4P13",71,0.33546625,NA,NA,734.930681818182,4.09423754669988,8,NA
"72","spruceT4P13",72,0.3355875,NA,NA,734.930681818182,4.09423754669988,8,NA
"73","spruceT4P13",73,0.3357175,NA,NA,734.930681818182,4.09423754669988,8,NA
"74","spruceT4P13",74,0.33585,NA,NA,734.930681818182,4.09423754669988,8,NA
"75","spruceT4P13",75,0.3359775,NA,NA,734.930681818182,4.09423754669988,8,NA
"76","spruceT4P13",76,0.3360925,NA,NA,734.930681818182,4.09423754669988,8,NA
"77","spruceT4P13",77,0.3361975,NA,NA,734.930681818182,4.09423754669988,8,NA
"78","spruceT4P13",78,0.33630875,NA,NA,734.930681818182,4.09423754669988,8,NA
"79","spruceT4P13",79,0.33643125,NA,NA,734.930681818182,4.09423754669988,8,NA
"80","spruceT4P13",80,0.33656625,NA,NA,734.930681818182,4.09423754669988,8,NA
"81","spruceT4P13",81,0.33669875,NA,NA,734.930681818182,4.09423754669988,8,NA
"82","spruceT4P13",82,0.3368175,NA,NA,734.930681818182,4.09423754669988,8,NA
"83","spruceT4P13",83,0.33692,NA,NA,734.930681818182,4.09423754669988,8,NA
"84","spruceT4P13",84,0.3370125,NA,NA,734.930681818182,4.09423754669988,8,NA
"85","spruceT4P13",85,0.33711,NA,NA,734.930681818182,4.09423754669988,8,NA
"86","spruceT4P13",86,0.3372175,NA,NA,734.930681818182,4.09423754669988,8,NA
"87","spruceT4P13",87,0.3373375,NA,NA,734.930681818182,4.09423754669988,8,NA
"88","spruceT4P13",88,0.3374525,NA,NA,734.930681818182,4.09423754669988,8,NA
"89","spruceT4P13",89,0.33755125,NA,NA,734.930681818182,4.09423754669988,8,NA
"90","spruceT4P13",90,0.337645,NA,NA,734.930681818182,4.09423754669988,8,NA
"91","spruceT4P13",91,0.33775,NA,NA,734.930681818182,4.09423754669988,8,NA
"92","spruceT4P13",92,0.33784375,NA,NA,734.930681818182,4.09423754669988,8,NA
"93","spruceT4P13",93,0.33792375,NA,NA,734.930681818182,4.09423754669988,8,NA
"94","spruceT4P13",94,0.33804125,NA,NA,734.930681818182,4.09423754669988,8,NA
"95","spruceT4P13",95,0.33821375,NA,NA,734.930681818182,4.09423754669988,8,NA
"96","spruceT4P13",96,0.3383975,NA,NA,734.930681818182,4.09423754669988,8,NA
"97","spruceT4P13",97,0.3385775,NA,NA,734.930681818182,4.09423754669988,8,NA
"98","spruceT4P13",98,0.33880625,NA,NA,734.930681818182,4.09423754669988,8,NA
"99","spruceT4P13",99,0.339135,NA,NA,734.930681818182,4.09423754669988,8,NA
"100","spruceT4P13",100,0.33956,NA,NA,734.930681818182,4.09423754669988,8,NA
"101","spruceT4P13",101,0.3400525,NA,NA,734.930681818182,4.09423754669988,8,NA
"102","spruceT4P13",102,0.34055125,NA,NA,734.930681818182,4.09423754669988,8,NA
"103","spruceT4P13",103,0.34106,NA,NA,734.930681818182,4.09423754669988,8,NA
"104","spruceT4P13",104,0.34164375,NA,NA,734.930681818182,4.09423754669988,8,NA
"105","spruceT4P13",105,0.3423325,NA,NA,734.930681818182,4.09423754669988,8,NA
"106","spruceT4P13",106,0.34305875,NA,NA,734.930681818182,4.09423754669988,8,NA
"107","spruceT4P13",107,0.34379625,NA,NA,734.930681818182,4.09423754669988,8,NA
"108","spruceT4P13",108,0.34461375,NA,NA,734.930681818182,4.09423754669988,8,NA
"109","spruceT4P13",109,0.34549125,NA,NA,734.930681818182,4.09423754669988,8,NA
"110","spruceT4P13",110,0.34638125,NA,NA,734.930681818182,4.09423754669988,8,NA
"111","spruceT4P13",111,0.34730875,NA,NA,734.930681818182,4.09423754669988,8,NA
"112","spruceT4P13",112,0.3483525,NA,NA,734.930681818182,4.09423754669988,8,NA
"113","spruceT4P13",113,0.349495,NA,NA,734.930681818182,4.09423754669988,8,NA
