"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","sweetbriargrass",1,0.335106666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"2","sweetbriargrass",2,0.335226666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"3","sweetbriargrass",3,0.335298333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"4","sweetbriargrass",4,0.335291666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"5","sweetbriargrass",5,0.335166666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"6","sweetbriargrass",6,0.33499,NA,NA,1188.4425,13.4577907845579,6,NA
"7","sweetbriargrass",7,0.334746666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"8","sweetbriargrass",8,0.33444,NA,NA,1188.4425,13.4577907845579,6,NA
"9","sweetbriargrass",9,0.334181666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"10","sweetbriargrass",10,0.33393,NA,NA,1188.4425,13.4577907845579,6,NA
"11","sweetbriargrass",11,0.333701666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"12","sweetbriargrass",12,0.333605,NA,NA,1188.4425,13.4577907845579,6,NA
"13","sweetbriargrass",13,0.333598333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"14","sweetbriargrass",14,0.33366,NA,NA,1188.4425,13.4577907845579,6,NA
"15","sweetbriargrass",15,0.333776666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"16","sweetbriargrass",16,0.333905,NA,NA,1188.4425,13.4577907845579,6,NA
"17","sweetbriargrass",17,0.334038333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"18","sweetbriargrass",18,0.334175,NA,NA,1188.4425,13.4577907845579,6,NA
"19","sweetbriargrass",19,0.334293333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"20","sweetbriargrass",20,0.334368333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"21","sweetbriargrass",21,0.334398333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"22","sweetbriargrass",22,0.334403333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"23","sweetbriargrass",23,0.334355,NA,NA,1188.4425,13.4577907845579,6,NA
"24","sweetbriargrass",24,0.33425,NA,NA,1188.4425,13.4577907845579,6,NA
"25","sweetbriargrass",25,0.334143333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"26","sweetbriargrass",26,0.334008333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"27","sweetbriargrass",27,0.333893333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"28","sweetbriargrass",28,0.333818333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"29","sweetbriargrass",29,0.333673333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"30","sweetbriargrass",30,0.33355,NA,NA,1188.4425,13.4577907845579,6,NA
"31","sweetbriargrass",31,0.333493333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"32","sweetbriargrass",32,0.333361666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"33","sweetbriargrass",33,0.333258333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"34","sweetbriargrass",34,0.333211666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"35","sweetbriargrass",35,0.33317,NA,NA,1188.4425,13.4577907845579,6,NA
"36","sweetbriargrass",36,0.333236666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"37","sweetbriargrass",37,0.333346666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"38","sweetbriargrass",38,0.333441666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"39","sweetbriargrass",39,0.333635,NA,NA,1188.4425,13.4577907845579,6,NA
"40","sweetbriargrass",40,0.33386,NA,NA,1188.4425,13.4577907845579,6,NA
"41","sweetbriargrass",41,0.334038333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"42","sweetbriargrass",42,0.33428,NA,NA,1188.4425,13.4577907845579,6,NA
"43","sweetbriargrass",43,0.33437,NA,NA,1188.4425,13.4577907845579,6,NA
"44","sweetbriargrass",44,0.334311666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"45","sweetbriargrass",45,0.334523333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"46","sweetbriargrass",46,0.33484,NA,NA,1188.4425,13.4577907845579,6,NA
"47","sweetbriargrass",47,0.335025,NA,NA,1188.4425,13.4577907845579,6,NA
"48","sweetbriargrass",48,0.335088333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"49","sweetbriargrass",49,0.335133333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"50","sweetbriargrass",50,0.335238333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"51","sweetbriargrass",51,0.335451666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"52","sweetbriargrass",52,0.335778333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"53","sweetbriargrass",53,0.336101666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"54","sweetbriargrass",54,0.336508333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"55","sweetbriargrass",55,0.337065,NA,NA,1188.4425,13.4577907845579,6,NA
"56","sweetbriargrass",56,0.337688333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"57","sweetbriargrass",57,0.33827,NA,NA,1188.4425,13.4577907845579,6,NA
"58","sweetbriargrass",58,0.338751666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"59","sweetbriargrass",59,0.339156666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"60","sweetbriargrass",60,0.339465,NA,NA,1188.4425,13.4577907845579,6,NA
"61","sweetbriargrass",61,0.339695,NA,NA,1188.4425,13.4577907845579,6,NA
"62","sweetbriargrass",62,0.339886666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"63","sweetbriargrass",63,0.340025,NA,NA,1188.4425,13.4577907845579,6,NA
"64","sweetbriargrass",64,0.340093333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"65","sweetbriargrass",65,0.340188333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"66","sweetbriargrass",66,0.340348333333333,NA,NA,1188.4425,13.4577907845579,6,NA
"67","sweetbriargrass",67,0.340546666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"68","sweetbriargrass",68,0.340836666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"69","sweetbriargrass",69,0.341276666666667,NA,NA,1188.4425,13.4577907845579,6,NA
"70","sweetbriargrass",70,0.341763333333333,NA,NA,1188.4425,13.4577907845579,6,NA
