"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","tworfpr",1,0.326024,NA,NA,999.369318181818,19.2628552303861,5,NA
"2","tworfpr",2,0.325922,NA,NA,999.369318181818,19.2628552303861,5,NA
"3","tworfpr",3,0.325802,NA,NA,999.369318181818,19.2628552303861,5,NA
"4","tworfpr",4,0.325736,NA,NA,999.369318181818,19.2628552303861,5,NA
"5","tworfpr",5,0.325742,NA,NA,999.369318181818,19.2628552303861,5,NA
"6","tworfpr",6,0.32572,NA,NA,999.369318181818,19.2628552303861,5,NA
"7","tworfpr",7,0.32564,NA,NA,999.369318181818,19.2628552303861,5,NA
"8","tworfpr",8,0.325684,NA,NA,999.369318181818,19.2628552303861,5,NA
"9","tworfpr",9,0.325872,NA,NA,999.369318181818,19.2628552303861,5,NA
"10","tworfpr",10,0.326052,NA,NA,999.369318181818,19.2628552303861,5,NA
"11","tworfpr",11,0.326172,NA,NA,999.369318181818,19.2628552303861,5,NA
"12","tworfpr",12,0.326254,NA,NA,999.369318181818,19.2628552303861,5,NA
"13","tworfpr",13,0.32639,NA,NA,999.369318181818,19.2628552303861,5,NA
"14","tworfpr",14,0.326582,NA,NA,999.369318181818,19.2628552303861,5,NA
"15","tworfpr",15,0.326734,NA,NA,999.369318181818,19.2628552303861,5,NA
"16","tworfpr",16,0.326832,NA,NA,999.369318181818,19.2628552303861,5,NA
"17","tworfpr",17,0.326914,NA,NA,999.369318181818,19.2628552303861,5,NA
"18","tworfpr",18,0.326964,NA,NA,999.369318181818,19.2628552303861,5,NA
"19","tworfpr",19,0.326964,NA,NA,999.369318181818,19.2628552303861,5,NA
"20","tworfpr",20,0.326956,NA,NA,999.369318181818,19.2628552303861,5,NA
"21","tworfpr",21,0.326934,NA,NA,999.369318181818,19.2628552303861,5,NA
"22","tworfpr",22,0.326912,NA,NA,999.369318181818,19.2628552303861,5,NA
"23","tworfpr",23,0.326926,NA,NA,999.369318181818,19.2628552303861,5,NA
"24","tworfpr",24,0.326956,NA,NA,999.369318181818,19.2628552303861,5,NA
"25","tworfpr",25,0.326978,NA,NA,999.369318181818,19.2628552303861,5,NA
"26","tworfpr",26,0.32705,NA,NA,999.369318181818,19.2628552303861,5,NA
"27","tworfpr",27,0.327134,NA,NA,999.369318181818,19.2628552303861,5,NA
"28","tworfpr",28,0.32714,NA,NA,999.369318181818,19.2628552303861,5,NA
"29","tworfpr",29,0.327146,NA,NA,999.369318181818,19.2628552303861,5,NA
"30","tworfpr",30,0.327292,NA,NA,999.369318181818,19.2628552303861,5,NA
"31","tworfpr",31,0.32774,NA,NA,999.369318181818,19.2628552303861,5,NA
"32","tworfpr",32,0.328382,NA,NA,999.369318181818,19.2628552303861,5,NA
"33","tworfpr",33,0.328814,NA,NA,999.369318181818,19.2628552303861,5,NA
"34","tworfpr",34,0.329052,NA,NA,999.369318181818,19.2628552303861,5,NA
"35","tworfpr",35,0.329312,NA,NA,999.369318181818,19.2628552303861,5,NA
"36","tworfpr",36,0.329516,NA,NA,999.369318181818,19.2628552303861,5,NA
"37","tworfpr",37,0.329594,NA,NA,999.369318181818,19.2628552303861,5,NA
"38","tworfpr",38,0.32955,NA,NA,999.369318181818,19.2628552303861,5,NA
"39","tworfpr",39,0.329496,NA,NA,999.369318181818,19.2628552303861,5,NA
"40","tworfpr",40,0.329486,NA,NA,999.369318181818,19.2628552303861,5,NA
"41","tworfpr",41,0.329528,NA,NA,999.369318181818,19.2628552303861,5,NA
"42","tworfpr",42,0.329636,NA,NA,999.369318181818,19.2628552303861,5,NA
"43","tworfpr",43,0.329768,NA,NA,999.369318181818,19.2628552303861,5,NA
"44","tworfpr",44,0.329934,NA,NA,999.369318181818,19.2628552303861,5,NA
"45","tworfpr",45,0.330118,NA,NA,999.369318181818,19.2628552303861,5,NA
"46","tworfpr",46,0.33035,NA,NA,999.369318181818,19.2628552303861,5,NA
"47","tworfpr",47,0.330694,NA,NA,999.369318181818,19.2628552303861,5,NA
"48","tworfpr",48,0.33108,NA,NA,999.369318181818,19.2628552303861,5,NA
"49","tworfpr",49,0.331474,NA,NA,999.369318181818,19.2628552303861,5,NA
"50","tworfpr",50,0.331874,NA,NA,999.369318181818,19.2628552303861,5,NA
"51","tworfpr",51,0.332248,NA,NA,999.369318181818,19.2628552303861,5,NA
"52","tworfpr",52,0.332514,NA,NA,999.369318181818,19.2628552303861,5,NA
"53","tworfpr",53,0.332652,NA,NA,999.369318181818,19.2628552303861,5,NA
"54","tworfpr",54,0.33277,NA,NA,999.369318181818,19.2628552303861,5,NA
"55","tworfpr",55,0.332976,NA,NA,999.369318181818,19.2628552303861,5,NA
"56","tworfpr",56,0.333308,NA,NA,999.369318181818,19.2628552303861,5,NA
"57","tworfpr",57,0.33369,NA,NA,999.369318181818,19.2628552303861,5,NA
"58","tworfpr",58,0.334102,NA,NA,999.369318181818,19.2628552303861,5,NA
"59","tworfpr",59,0.334666,NA,NA,999.369318181818,19.2628552303861,5,NA
"60","tworfpr",60,0.335358,NA,NA,999.369318181818,19.2628552303861,5,NA
"61","tworfpr",61,0.336086,NA,NA,999.369318181818,19.2628552303861,5,NA
"62","tworfpr",62,0.336894,NA,NA,999.369318181818,19.2628552303861,5,NA
"63","tworfpr",63,0.337794,NA,NA,999.369318181818,19.2628552303861,5,NA
"64","tworfpr",64,0.338782,NA,NA,999.369318181818,19.2628552303861,5,NA
"65","tworfpr",65,0.339904,NA,NA,999.369318181818,19.2628552303861,5,NA
"66","tworfpr",66,0.341142,NA,NA,999.369318181818,19.2628552303861,5,NA
"67","tworfpr",67,0.342534,NA,NA,999.369318181818,19.2628552303861,5,NA
"68","tworfpr",68,0.34408,NA,NA,999.369318181818,19.2628552303861,5,NA
"69","tworfpr",69,0.345638,NA,NA,999.369318181818,19.2628552303861,5,NA
"70","tworfpr",70,0.347196,NA,NA,999.369318181818,19.2628552303861,5,NA
"71","tworfpr",71,0.348866,NA,NA,999.369318181818,19.2628552303861,5,NA
"72","tworfpr",72,0.350562,NA,NA,999.369318181818,19.2628552303861,5,NA
"73","tworfpr",73,0.35221,NA,NA,999.369318181818,19.2628552303861,5,NA
"74","tworfpr",74,0.353872,NA,NA,999.369318181818,19.2628552303861,5,NA
"75","tworfpr",75,0.355536,NA,NA,999.369318181818,19.2628552303861,5,NA
"76","tworfpr",76,0.357244,NA,NA,999.369318181818,19.2628552303861,5,NA
"77","tworfpr",77,0.35912,NA,NA,999.369318181818,19.2628552303861,5,NA
"78","tworfpr",78,0.361018,NA,NA,999.369318181818,19.2628552303861,5,NA
"79","tworfpr",79,0.362818,NA,NA,999.369318181818,19.2628552303861,5,NA
"80","tworfpr",80,0.364654,NA,NA,999.369318181818,19.2628552303861,5,NA
"81","tworfpr",81,0.366542,NA,NA,999.369318181818,19.2628552303861,5,NA
"82","tworfpr",82,0.368406,NA,NA,999.369318181818,19.2628552303861,5,NA
"83","tworfpr",83,0.37024,NA,NA,999.369318181818,19.2628552303861,5,NA
"84","tworfpr",84,0.372106,NA,NA,999.369318181818,19.2628552303861,5,NA
"85","tworfpr",85,0.373912,NA,NA,999.369318181818,19.2628552303861,5,NA
"86","tworfpr",86,0.375578,NA,NA,999.369318181818,19.2628552303861,5,NA
"87","tworfpr",87,0.377238,NA,NA,999.369318181818,19.2628552303861,5,NA
"88","tworfpr",88,0.378956,NA,NA,999.369318181818,19.2628552303861,5,NA
"89","tworfpr",89,0.380646,NA,NA,999.369318181818,19.2628552303861,5,NA
"90","tworfpr",90,0.382376,NA,NA,999.369318181818,19.2628552303861,5,NA
"91","tworfpr",91,0.38426,NA,NA,999.369318181818,19.2628552303861,5,NA
"92","tworfpr",92,0.386136,NA,NA,999.369318181818,19.2628552303861,5,NA
