"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","uwmfieldsta",1,0.32779,0.33017,0.00237999999999999,943.678863636364,7.87423225404732,10,1
"2","uwmfieldsta",2,0.327922,0.33061,0.00268800000000002,943.678863636364,7.87423225404732,10,1
"3","uwmfieldsta",3,0.328046,0.33108,0.00303399999999998,943.678863636364,7.87423225404732,10,1
"4","uwmfieldsta",4,0.328164,0.33156,0.00339600000000001,943.678863636364,7.87423225404732,10,1
"5","uwmfieldsta",5,0.328281,0.33202,0.00373899999999999,943.678863636364,7.87423225404732,10,1
"6","uwmfieldsta",6,0.328397,0.33244,0.00404300000000002,943.678863636364,7.87423225404732,10,1
"7","uwmfieldsta",7,0.328515,0.33279,0.00427499999999997,943.678863636364,7.87423225404732,10,1
"8","uwmfieldsta",8,0.328641,0.33306,0.00441900000000001,943.678863636364,7.87423225404732,10,1
"9","uwmfieldsta",9,0.328775,0.33321,0.00443500000000002,943.678863636364,7.87423225404732,10,1
"10","uwmfieldsta",10,0.328903,0.33328,0.00437700000000002,943.678863636364,7.87423225404732,10,1
"11","uwmfieldsta",11,0.329008,0.33328,0.004272,943.678863636364,7.87423225404732,10,1
"12","uwmfieldsta",12,0.329092,0.33324,0.00414799999999999,943.678863636364,7.87423225404732,10,1
"13","uwmfieldsta",13,0.329159,0.33318,0.004021,943.678863636364,7.87423225404732,10,1
"14","uwmfieldsta",14,0.329222,0.33311,0.003888,943.678863636364,7.87423225404732,10,1
"15","uwmfieldsta",15,0.329279,0.33307,0.00379099999999999,943.678863636364,7.87423225404732,10,1
"16","uwmfieldsta",16,0.329345,0.33307,0.00372499999999998,943.678863636364,7.87423225404732,10,1
"17","uwmfieldsta",17,0.329423,0.33313,0.00370699999999996,943.678863636364,7.87423225404732,10,1
"18","uwmfieldsta",18,0.329527,0.33326,0.00373299999999999,943.678863636364,7.87423225404732,10,1
"19","uwmfieldsta",19,0.329683,0.33342,0.00373699999999999,943.678863636364,7.87423225404732,10,1
"20","uwmfieldsta",20,0.329885,0.33362,0.00373500000000004,943.678863636364,7.87423225404732,10,1
"21","uwmfieldsta",21,0.330101,0.33383,0.00372900000000004,943.678863636364,7.87423225404732,10,1
"22","uwmfieldsta",22,0.330329,0.33405,0.00372100000000003,943.678863636364,7.87423225404732,10,1
"23","uwmfieldsta",23,0.330551,0.33427,0.00371900000000003,943.678863636364,7.87423225404732,10,1
"24","uwmfieldsta",24,0.33076,0.33447,0.00370999999999999,943.678863636364,7.87423225404732,10,1
"25","uwmfieldsta",25,0.330949,0.33465,0.00370100000000001,943.678863636364,7.87423225404732,10,1
"26","uwmfieldsta",26,0.331106,0.3348,0.00369399999999998,943.678863636364,7.87423225404732,10,1
"27","uwmfieldsta",27,0.331224,0.33492,0.00369599999999998,943.678863636364,7.87423225404732,10,1
"28","uwmfieldsta",28,0.331325,0.33503,0.00370500000000001,943.678863636364,7.87423225404732,10,1
"29","uwmfieldsta",29,0.331423,0.33514,0.00371699999999997,943.678863636364,7.87423225404732,10,1
"30","uwmfieldsta",30,0.331524,0.33523,0.00370599999999999,943.678863636364,7.87423225404732,10,1
"31","uwmfieldsta",31,0.331621,0.33532,0.00369900000000001,943.678863636364,7.87423225404732,10,1
"32","uwmfieldsta",32,0.331716,0.33539,0.00367400000000001,943.678863636364,7.87423225404732,10,1
"33","uwmfieldsta",33,0.331802,0.33546,0.00365799999999999,943.678863636364,7.87423225404732,10,1
"34","uwmfieldsta",34,0.33188,0.33553,0.00364999999999999,943.678863636364,7.87423225404732,10,1
"35","uwmfieldsta",35,0.331946,0.33558,0.00363399999999997,943.678863636364,7.87423225404732,10,1
"36","uwmfieldsta",36,0.331987,0.33563,0.00364300000000001,943.678863636364,7.87423225404732,10,1
"37","uwmfieldsta",37,0.331987,0.33567,0.00368299999999999,943.678863636364,7.87423225404732,10,1
"38","uwmfieldsta",38,0.331949,0.33569,0.00374099999999999,943.678863636364,7.87423225404732,10,1
"39","uwmfieldsta",39,0.331889,0.33571,0.00382100000000002,943.678863636364,7.87423225404732,10,1
"40","uwmfieldsta",40,0.331812,0.33573,0.00391799999999998,943.678863636364,7.87423225404732,10,1
"41","uwmfieldsta",41,0.331728,0.33573,0.00400199999999995,943.678863636364,7.87423225404732,10,1
"42","uwmfieldsta",42,0.331648,0.33574,0.00409199999999998,943.678863636364,7.87423225404732,10,1
"43","uwmfieldsta",43,0.331577,0.33574,0.00416299999999997,943.678863636364,7.87423225404732,10,1
"44","uwmfieldsta",44,0.33153,0.33574,0.00420999999999999,943.678863636364,7.87423225404732,10,1
"45","uwmfieldsta",45,0.331507,0.33577,0.00426300000000002,943.678863636364,7.87423225404732,10,1
"46","uwmfieldsta",46,0.331501,0.33583,0.00432900000000003,943.678863636364,7.87423225404732,10,1
"47","uwmfieldsta",47,0.331497,0.33591,0.004413,943.678863636364,7.87423225404732,10,1
"48","uwmfieldsta",48,0.331492,0.33599,0.004498,943.678863636364,7.87423225404732,10,1
"49","uwmfieldsta",49,0.331486,0.33606,0.00457400000000002,943.678863636364,7.87423225404732,10,1
"50","uwmfieldsta",50,0.331475,0.3361,0.00462499999999999,943.678863636364,7.87423225404732,10,1
"51","uwmfieldsta",51,0.331459,0.33609,0.004631,943.678863636364,7.87423225404732,10,1
"52","uwmfieldsta",52,0.331441,0.33602,0.004579,943.678863636364,7.87423225404732,10,1
"53","uwmfieldsta",53,0.331418,0.33586,0.004442,943.678863636364,7.87423225404732,10,1
"54","uwmfieldsta",54,0.331397,0.33561,0.00421300000000002,943.678863636364,7.87423225404732,10,1
