"","site","doy","smooth_gcc_90_mean","smooth_gcc_90_drought","drought_impact_absolute","map","mat","control_years","drought_years"
"1","witnesstree",1,0.3446225,0.33776,-0.00686249999999999,1384.45272727273,7.39144115815691,8,1
"2","witnesstree",2,0.34464125,0.33753,-0.00711125000000001,1384.45272727273,7.39144115815691,8,1
"3","witnesstree",3,0.3446775,0.33728,-0.0073975,1384.45272727273,7.39144115815691,8,1
"4","witnesstree",4,0.3447325,0.33702,-0.00771250000000001,1384.45272727273,7.39144115815691,8,1
"5","witnesstree",5,0.3447875,0.33676,-0.00802750000000002,1384.45272727273,7.39144115815691,8,1
"6","witnesstree",6,0.3448375,0.33652,-0.00831750000000003,1384.45272727273,7.39144115815691,8,1
"7","witnesstree",7,0.34485375,0.3363,-0.00855375000000003,1384.45272727273,7.39144115815691,8,1
"8","witnesstree",8,0.344825,0.33612,-0.00870500000000002,1384.45272727273,7.39144115815691,8,1
"9","witnesstree",9,0.34472875,0.33597,-0.00875875000000004,1384.45272727273,7.39144115815691,8,1
"10","witnesstree",10,0.3445675,0.33584,-0.0087275,1384.45272727273,7.39144115815691,8,1
"11","witnesstree",11,0.34435,0.33573,-0.00862000000000002,1384.45272727273,7.39144115815691,8,1
"12","witnesstree",12,0.34409875,0.33564,-0.00845875000000001,1384.45272727273,7.39144115815691,8,1
"13","witnesstree",13,0.343835,0.33557,-0.00826500000000002,1384.45272727273,7.39144115815691,8,1
"14","witnesstree",14,0.3435775,0.33552,-0.0080575,1384.45272727273,7.39144115815691,8,1
"15","witnesstree",15,0.343345,0.33549,-0.007855,1384.45272727273,7.39144115815691,8,1
"16","witnesstree",16,0.3431175,0.33545,-0.00766749999999999,1384.45272727273,7.39144115815691,8,1
"17","witnesstree",17,0.34293625,0.33538,-0.00755624999999999,1384.45272727273,7.39144115815691,8,1
"18","witnesstree",18,0.34283125,0.3353,-0.00753125000000004,1384.45272727273,7.39144115815691,8,1
"19","witnesstree",19,0.3427975,0.33522,-0.00757749999999996,1384.45272727273,7.39144115815691,8,1
"20","witnesstree",20,0.34282375,0.33516,-0.00766374999999997,1384.45272727273,7.39144115815691,8,1
"21","witnesstree",21,0.34289875,0.33514,-0.00775875000000004,1384.45272727273,7.39144115815691,8,1
"22","witnesstree",22,0.34301625,0.33518,-0.00783625000000004,1384.45272727273,7.39144115815691,8,1
"23","witnesstree",23,0.343175,0.33528,-0.00789499999999999,1384.45272727273,7.39144115815691,8,1
"24","witnesstree",24,0.34335125,0.33546,-0.00789125000000002,1384.45272727273,7.39144115815691,8,1
"25","witnesstree",25,0.34357125,0.3357,-0.00787125,1384.45272727273,7.39144115815691,8,1
"26","witnesstree",26,0.34385125,0.33599,-0.00786124999999999,1384.45272727273,7.39144115815691,8,1
"27","witnesstree",27,0.34416125,0.33635,-0.00781124999999999,1384.45272727273,7.39144115815691,8,1
"28","witnesstree",28,0.34450375,0.33675,-0.00775375,1384.45272727273,7.39144115815691,8,1
"29","witnesstree",29,0.34485625,0.33721,-0.00764624999999997,1384.45272727273,7.39144115815691,8,1
"30","witnesstree",30,0.3451875,0.33771,-0.00747749999999997,1384.45272727273,7.39144115815691,8,1
"31","witnesstree",31,0.34549,0.33826,-0.00723000000000001,1384.45272727273,7.39144115815691,8,1
"32","witnesstree",32,0.34575375,0.33895,-0.00680375000000005,1384.45272727273,7.39144115815691,8,1
