#
# 1-day summary product time series for NEON.D01.HARV.DP1.00033
#
# Site: NEON.D01.HARV.DP1.00033
# Veg Type: EN
# ROI ID Number: 0002
# Lat: 42.536911
# Lon: -72.17265
# Elev: 359
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-08-07
# Creation Time: 21:57:00
# Update Date: 2018-03-12
# Update Time: 05:50:39
# Final Processing Date:: 2025-06-28
# Final Processing Time:: 14:43:17
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2016-09-14,2016,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3704,0.37281,0.37376,0.37623,0.38369,0.39007,0.42558,0.42596,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44177.6,0,436.59,0,27.31,8.11,1080.52
2016-09-15,2016,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37043,0.37261,0.37404,0.37622,0.38639,0.39206,0.42509,0.42573,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44000.17,0,369.92,0,21.45,8.08,1077.92
2016-09-16,2016,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37037,0.37235,0.37411,0.376,0.38893,0.39395,0.42461,0.42551,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43822.61,0,406.4,0,22.16,5.99,934.1
2016-09-17,2016,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37023,0.372,0.37394,0.37555,0.39133,0.39575,0.42414,0.4253,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43644.96,0.38,400.18,0,22.72,6.68,979.33
2016-09-18,2016,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37,0.37158,0.37362,0.37497,0.39359,0.39745,0.42368,0.4251,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43467.24,30.81,268.3,0,23.18,9.55,1191.01
2016-09-19,2016,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36968,0.37107,0.37313,0.37424,0.3957,0.39905,0.42322,0.42491,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43289.47,16.71,72.86,0,21.21,18.13,2079.94
2016-09-20,2016,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36928,0.37048,0.37246,0.37334,0.39766,0.40054,0.42277,0.42472,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43111.69,0,240.96,0,25.66,17.12,1951.28
2016-09-21,2016,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36881,0.36984,0.37169,0.37239,0.39946,0.40193,0.42233,0.42454,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42933.93,0,305.56,0,24.36,13.12,1508.75
2016-09-22,2016,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3683,0.36917,0.3705,0.37101,0.4011,0.40321,0.42189,0.42436,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42756.21,0,395.85,0,27.68,10.03,1229.54
2016-09-23,2016,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36775,0.36848,0.36918,0.36953,0.40259,0.40438,0.42146,0.42419,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42578.55,11.15,267.2,0,24.45,10.29,1251.44
