#
# 1-day summary product time series for NEON.D02.SCBI.DP1.00033
#
# Site: NEON.D02.SCBI.DP1.00033
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 38.892925
# Lon: -78.139494
# Elev: 364
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-04-21
# Creation Time: 18:09:18
# Update Date: 2018-03-12
# Update Time: 05:51:41
# Final Processing Date:: 2025-06-28
# Final Processing Time:: 16:17:39
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2016-09-14,2016,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39098,0.38938,0.39606,0.40115,0.38505,0.38962,0.40324,0.40838,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44058.77,0,417.31,0,31.83,14.86,1689.02
2016-09-15,2016,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39555,0.3963,0.40111,0.4047,0.37909,0.38301,0.39438,0.39938,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43902.92,0,258.19,0,24.93,16.82,1914.16
2016-09-16,2016,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39774,0.39978,0.40398,0.40654,0.37388,0.37722,0.38647,0.39133,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43746.95,0,210.15,0,23.41,17.04,1941.25
2016-09-17,2016,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39738,0.39974,0.40454,0.40649,0.36946,0.37229,0.37949,0.38421,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43590.89,0,321.91,0,26.64,15.92,1808.6
2016-09-18,2016,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39452,0.39651,0.40261,0.40427,0.36589,0.36827,0.37344,0.378,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43434.76,4.91,253.35,0,28.03,16.33,1856.04
2016-09-19,2016,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3878,0.38809,0.39716,0.39906,0.36319,0.36521,0.36839,0.37278,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43278.6,17.15,148.59,0,24.2,18.09,2075.16
2016-09-20,2016,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37927,0.37764,0.38952,0.39177,0.36131,0.36302,0.3644,0.36861,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43122.42,0,272.06,0,25.83,17.05,1942.84
2016-09-21,2016,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36851,0.36584,0.37828,0.38049,0.36011,0.36158,0.36146,0.36548,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42966.26,0.3,311.61,0,26.66,16.16,1836.41
2016-09-22,2016,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35747,0.35517,0.36592,0.36796,0.35947,0.36075,0.35955,0.36339,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42810.13,0,380.34,0,27.9,13.52,1549.06
2016-09-23,2016,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34875,0.34728,0.35551,0.35736,0.35926,0.36038,0.35865,0.36231,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42654.07,0,403.24,0,30.21,13.28,1524.4
