#
# 1-day summary product timeseries for NEON.D03.BARC.DP1.20002
#
# Site: NEON.D03.BARC.DP1.20002
# Veg Type: WL
# ROI ID Number: 2000
# Lat: 29.676473
# Lon: -82.009089
# Elev: 35
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2022-07-28
# Creation Time: 05:55:07
# Update Date: 2025-06-28
# Update Time: 11:47:33
# Final Processing Date:: 2025-06-28
# Final Processing Time:: 16:22:38
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2018-09-15,2018,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36309,0.36385,0.36862,0.37243,0.35572,0.35816,0.3648,0.37073,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43806.32,0,366.9,0,34.9,24.9,3147.82
2018-09-16,2018,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36322,0.36388,0.36895,0.3728,0.35517,0.35761,0.3647,0.37083,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43696.29,0,338.52,0,34.71,25.69,3299.49
2018-09-17,2018,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36329,0.36387,0.36919,0.37307,0.35468,0.35713,0.36462,0.37093,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43586.18,0,355.18,0,34.07,24.65,3101.82
2018-09-18,2018,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36331,0.36383,0.36936,0.37326,0.35426,0.3567,0.36456,0.37102,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43476,0,368,0,33.83,24,2982.97
2018-09-19,2018,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3633,0.36377,0.36946,0.37339,0.3539,0.35633,0.3645,0.3711,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43365.76,13.19,293.25,0,34.25,23.38,2873.47
2018-09-20,2018,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36325,0.36368,0.36951,0.37345,0.35358,0.356,0.36445,0.37117,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43255.5,0,390.69,0,33.54,22.79,2772.31
2018-09-21,2018,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36316,0.36356,0.36948,0.37343,0.35331,0.3557,0.36439,0.37122,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43145.22,0,373.58,0,32.84,22.82,2778.44
2018-09-22,2018,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36301,0.3634,0.36937,0.37333,0.35308,0.35545,0.36433,0.37125,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43034.96,0,373.21,0,32.06,22.19,2672.76
2018-09-23,2018,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36281,0.36321,0.3692,0.37315,0.35289,0.35523,0.36426,0.37126,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42924.73,0,421.36,0,33.09,20.79,2453.59
2018-09-24,2018,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3626,0.363,0.36899,0.37293,0.35275,0.35506,0.36421,0.37127,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42814.54,4.93,291.57,0,32.79,21.91,2627.69
