#
# 1-day summary product time series for NEON.D03.JERC.DP1.00033
#
# Site: NEON.D03.JERC.DP1.00033
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 31.194839
# Lon: -84.468623
# Elev: 58
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-08-07
# Creation Time: 22:00:21
# Update Date: 2018-03-12
# Update Time: 05:53:24
# Final Processing Date:: 2025-06-28
# Final Processing Time:: 16:25:32
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2016-09-15,2016,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37432,0.37401,0.37767,0.38174,0.39783,0.40566,0.41243,0.4177,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43727.96,0,385.94,0,32.35,20.54,2416.48
2016-09-16,2016,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37365,0.37346,0.37697,0.38046,0.39909,0.4064,0.41325,0.41859,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43610.82,0,382.22,0,32.56,20.77,2451
2016-09-17,2016,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37319,0.37304,0.37629,0.37931,0.40011,0.40697,0.41389,0.41931,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43493.61,0,322.75,0,31.69,22.27,2685.85
2016-09-18,2016,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37285,0.37268,0.37561,0.37826,0.40087,0.40739,0.41435,0.41984,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43376.34,12.79,237.41,0,31.76,22.52,2727.22
2016-09-19,2016,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37255,0.37235,0.37498,0.37734,0.40148,0.40773,0.41471,0.42027,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43259.04,5.69,245.42,0,32.16,22.48,2720.61
2016-09-20,2016,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37242,0.3721,0.3744,0.37658,0.40189,0.40793,0.41494,0.42059,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43141.73,0,373.14,0,33.36,21.62,2582.11
2016-09-21,2016,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37217,0.37174,0.37387,0.37598,0.4021,0.40799,0.41505,0.4208,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43024.43,0,387.1,0,32.73,20.45,2403.02
2016-09-22,2016,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37108,0.3707,0.37339,0.37546,0.40228,0.40811,0.41515,0.42095,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42907.16,0,382.7,0,33.01,20.78,2452.63
2016-09-23,2016,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37007,0.36988,0.37266,0.37482,0.40208,0.40819,0.415,0.4208,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42789.95,0,419.38,0,34.73,19.95,2330.11
2016-09-24,2016,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36916,0.36921,0.37199,0.37426,0.40187,0.40831,0.41483,0.42056,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42672.81,0,406.4,0,34.33,20.24,2371.51
