#
# 1-day summary product time series for NEON.D04.GUAN.DP1.00033
#
# Site: NEON.D04.GUAN.DP1.00033
# Veg Type: EN
# ROI ID Number: 0001
# Lat: 17.96955
# Lon: -66.8687
# Elev: 136
# UTC Offset: -4
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-08-07
# Creation Time: 22:01:20
# Update Date: 2018-03-12
# Update Time: 05:54:15
# Final Processing Date:: 2025-06-28
# Final Processing Time:: 16:42:36
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2016-09-15,2016,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42037,0.41461,0.42149,0.43409,0.38874,0.39266,0.39571,0.39775,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43482.61,0,486.73,0,33.19,21.01,1557.44
2016-09-16,2016,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42189,0.41864,0.42419,0.43411,0.39035,0.39274,0.3965,0.39839,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43419.91,0,530.91,0,33.01,18.97,1280.91
2016-09-17,2016,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42327,0.42224,0.42654,0.43413,0.39181,0.39286,0.39746,0.39897,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43357.17,0,532.37,0,33.02,18.79,1265.1
2016-09-18,2016,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42451,0.4253,0.42852,0.43414,0.39309,0.393,0.39848,0.39948,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43294.39,0,526.91,0,32.73,18.66,1270.54
2016-09-19,2016,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42558,0.42776,0.43018,0.43414,0.39412,0.39311,0.39945,0.39992,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43231.6,2.42,369.43,0,33.37,19.93,1769.73
2016-09-20,2016,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.4265,0.42956,0.43156,0.43415,0.39476,0.39321,0.40043,0.40029,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43168.81,1.21,468.89,0,32.51,20.53,1605.43
2016-09-21,2016,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42728,0.4306,0.43263,0.43414,0.395,0.39321,0.40111,0.4006,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43106.02,0,439.25,0,31.83,20.9,1743.11
2016-09-22,2016,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42794,0.42986,0.43341,0.43414,0.39442,0.39285,0.40055,0.40085,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43043.25,4.93,323.56,0,31.95,20.81,2065.98
2016-09-23,2016,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42849,0.42953,0.43352,0.43413,0.39413,0.39257,0.40025,0.40106,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42980.51,0,346.05,0,29.91,21.68,2182.63
2016-09-24,2016,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42895,0.42912,0.43334,0.43412,0.39382,0.39227,0.3999,0.40121,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42917.81,0,360.58,0,30.41,21.82,2152.65
