#
# 1-day summary product time series for NEON.D05.TREE.DP1.00033
#
# Site: NEON.D05.TREE.DP1.00033
# Veg Type: DB
# ROI ID Number: 0004
# Lat: 45.49373
# Lon: -89.58572
# Elev: 474
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-08-07
# Creation Time: 22:02:46
# Update Date: 2018-03-12
# Update Time: 05:55:13
# Final Processing Date:: 2025-06-29
# Final Processing Time:: 15:26:19
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2016-09-16,2016,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36483,0.3641,0.36756,0.36687,0.43842,0.43869,0.44489,0.44848,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43890.94,8.13,255.58,0,21.39,10.09,1234.51
2016-09-17,2016,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36723,0.36652,0.36977,0.37128,0.43432,0.43451,0.43991,0.44343,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43693.78,0,223.17,0,19.94,13.41,1538.04
2016-09-18,2016,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3694,0.36872,0.37176,0.37467,0.43059,0.43075,0.43547,0.4389,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43496.56,0,364.77,0,23.38,10.16,1240.42
2016-09-19,2016,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37136,0.37072,0.37354,0.37699,0.42719,0.42736,0.43151,0.43485,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43299.29,2.45,248.88,0,21.99,10.49,1268.24
2016-09-20,2016,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37307,0.37249,0.37511,0.37851,0.42405,0.42429,0.42796,0.43121,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43102.01,3.03,290.07,0,23.69,7.67,1048.27
2016-09-21,2016,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37457,0.37406,0.37652,0.37868,0.42117,0.42154,0.42486,0.42804,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42904.74,29.57,251.99,0,22.2,10.07,1233
2016-09-22,2016,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37587,0.37543,0.37774,0.37845,0.41857,0.41913,0.42222,0.42531,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42707.51,1.14,277.97,0,21.97,12.69,1466.91
2016-09-23,2016,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37681,0.37646,0.37865,0.37813,0.41625,0.41703,0.41996,0.42298,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42510.36,0,248.03,0,19.96,11.95,1397.13
2016-09-24,2016,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37788,0.37769,0.37961,0.38005,0.4135,0.41458,0.41742,0.42029,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42313.3,0,272.6,0,19.87,10.86,1299.52
2016-09-25,2016,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37854,0.37851,0.38019,0.38204,0.41123,0.41261,0.41543,0.41817,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42116.38,6.12,184.76,0,19.4,11.42,1349.44
2016-09-26,2016,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37908,0.37918,0.38089,0.38362,0.40839,0.41002,0.41299,0.41587,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,41919.61,1.41,150.01,0,13.04,8.61,1117.75
2016-09-27,2016,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3796,0.37984,0.38171,0.38434,0.40509,0.40696,0.41021,0.41336,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,41723.04,3.2,61.32,0,10.33,8.22,1088.07
2016-09-28,2016,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37819,0.37852,0.3805,0.38288,0.40535,0.40742,0.41089,0.41424,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,41526.68,0.91,260.75,0,16.15,7.94,1067.76
2016-09-29,2016,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37337,0.37365,0.37574,0.37949,0.41153,0.41382,0.41717,0.42065,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,41330.57,0,341.9,0,20.22,7.14,1010.91
2016-09-30,2016,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36752,0.36772,0.3699,0.37419,0.41941,0.42187,0.42516,0.42875,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,41134.74,0,342.52,0,20.46,7.04,1004.5
2016-10-01,2016,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36051,0.36063,0.36277,0.36506,0.42994,0.43237,0.43601,0.43967,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,40939.23,0,287.33,0,18.98,8.98,1145.69
2016-10-02,2016,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3518,0.35179,0.35383,0.35521,0.44369,0.446,0.45011,0.45381,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,40744.05,0,340.68,0,20.72,7.01,1002.23
2016-10-03,2016,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3446,0.34451,0.34645,0.34488,0.45431,0.45643,0.461,0.46475,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,40549.25,0,361.39,0,20.46,4.25,827.53
2016-10-04,2016,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33835,0.33832,0.34011,0.33804,0.46233,0.46406,0.46935,0.47316,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,40354.86,0,314.2,0,18.36,6.56,971.28
2016-10-05,2016,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33285,0.33289,0.33451,0.3328,0.46903,0.47034,0.47629,0.48014,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,40160.9,8.1,191.06,0,18.36,9.62,1196.3
2016-10-06,2016,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32976,0.32988,0.33134,0.33135,0.47142,0.47235,0.47859,0.48245,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,39967.43,9.2,258.29,0,20.49,4.87,864.28
2016-10-07,2016,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32797,0.32817,0.32949,0.33137,0.47119,0.47168,0.47813,0.48197,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,39774.46,0,209.26,0,11.8,4.89,865.2
2016-10-08,2016,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32698,0.32723,0.32845,0.33117,0.47009,0.47031,0.47684,0.48069,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,39582.03,0,279.97,0,11.48,1.29,670.58
