#
# 1-day summary product time series for NEON.D05.UNDE.DP1.00033
#
# Site: NEON.D05.UNDE.DP1.00033
# Veg Type: DB
# ROI ID Number: 0004
# Lat: 46.23391
# Lon: -89.537254
# Elev: 529
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-08-07
# Creation Time: 22:03:11
# Update Date: 2018-03-12
# Update Time: 05:55:39
# Final Processing Date:: 2025-06-29
# Final Processing Time:: 15:28:43
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2016-09-16,2016,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38799,0.38723,0.39633,0.39877,0.39657,0.39803,0.40297,0.40925,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43907.73,1.29,308.74,0,20.92,10.32,1254.01
2016-09-17,2016,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38858,0.38766,0.39595,0.39927,0.3984,0.40043,0.40484,0.40978,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43705.79,2.64,175.2,0,20.12,12.64,1462.14
2016-09-18,2016,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38899,0.38794,0.39554,0.39953,0.40017,0.40268,0.40671,0.41048,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43503.77,1.34,364.29,0,23.6,9.07,1152.89
2016-09-19,2016,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38924,0.38807,0.39511,0.39955,0.40186,0.40476,0.40856,0.41134,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43301.7,1.44,337.58,0,22.31,9.29,1170.15
2016-09-20,2016,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38935,0.38809,0.39465,0.39938,0.40343,0.40665,0.41034,0.41236,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43099.62,0,377.96,0,21.42,5.2,884.27
2016-09-21,2016,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38928,0.38792,0.39413,0.39902,0.40484,0.40831,0.41205,0.41354,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42897.56,13.44,244.93,0,20.99,8.49,1108.21
2016-09-22,2016,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38904,0.38757,0.39356,0.39848,0.40609,0.40976,0.4137,0.41491,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42695.54,0,229.95,0,18.35,10.55,1273.05
2016-09-23,2016,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38868,0.38714,0.39294,0.39777,0.40728,0.41107,0.41527,0.41646,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42493.59,0,297.86,0,19.23,8.27,1092.21
2016-09-24,2016,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38802,0.38649,0.39225,0.39659,0.40807,0.4119,0.41655,0.41822,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42291.74,0,289.63,0,20.61,9.83,1213.67
2016-09-25,2016,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38728,0.38583,0.39155,0.39528,0.40892,0.41271,0.41784,0.4202,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42090.03,7.46,145.63,0,17.98,11.36,1343.38
