#
# 1-day summary product time series for NEON.D06.KONZ.DP1.00033
#
# Site: NEON.D06.KONZ.DP1.00033
# Veg Type: AG
# ROI ID Number: 0001
# Lat: 39.10077
# Lon: -96.56309
# Elev: 415
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-07-14
# Creation Time: 02:57:28
# Update Date: 2018-03-12
# Update Time: 05:56:37
# Final Processing Date:: 2025-06-29
# Final Processing Time:: 15:34:25
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2016-11-26,2016,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32244,0.32245,0.32388,0.32621,0.4946,0.49774,0.4942,0.50664,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,34230.57,0,248.54,0,16.61,-0.36,594.92
2016-11-27,2016,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.323,0.3225,0.32507,0.32701,0.482,0.48306,0.49177,0.50337,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,34155.61,0.81,181.03,0,14.03,3.84,803.96
2016-11-28,2016,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32341,0.32249,0.32606,0.3277,0.4732,0.47376,0.49008,0.50102,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,34083.49,0,144.96,0,13.98,6.16,945.09
2016-11-29,2016,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32369,0.32241,0.32686,0.32828,0.46791,0.46939,0.48906,0.4995,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,34014.26,0,128.73,0,8.58,1.86,698.27
2016-11-30,2016,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32386,0.32231,0.3275,0.32875,0.46538,0.46879,0.48852,0.49858,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,33947.96,0,144.55,0,5.88,-1.55,545.27
2016-12-01,2016,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32392,0.32216,0.32797,0.3291,0.4662,0.47351,0.48862,0.49841,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,33884.64,0,217.1,0,7.6,-5.08,418.6
2016-12-02,2016,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32385,0.32194,0.32826,0.32934,0.46806,0.47903,0.48937,0.49902,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,33824.34,0,241.87,0,9.15,-6.72,369.45
2016-12-03,2016,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32369,0.3217,0.32839,0.32955,0.46778,0.47911,0.49054,0.50016,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,33767.09,12.01,130.41,0,4.94,-4.4,440.66
2016-12-04,2016,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32347,0.32148,0.3284,0.32964,0.4677,0.47828,0.4919,0.50155,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,33712.95,0,136.03,0,6.34,-0.62,583.52
2016-12-05,2016,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32311,0.32124,0.32816,0.32945,0.46835,0.47696,0.49399,0.50398,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,33661.94,0,214.6,0,11.93,-0.87,573.22
