#
# 1-day summary product timeseries for canadaOA
#
# Site: canadaOA
# Veg Type: DB
# ROI ID Number: 1000
# Lat: 53.62889
# Lon: -106.19779
# Elev: 601
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2024-11-27
# Creation Time: 15:44:33
# Update Date: 2024-11-27
# Update Time: 15:44:36
# Final Processing Date:: 2025-06-27
# Final Processing Time:: 14:51:39
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2011-03-18,2011,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31209,0.31265,0.31394,0.31489,0.39779,0.39944,0.40842,0.41429,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42146.75,0,281.36,56.25,-1.62,-11.93,244.97
2011-03-19,2011,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31233,0.3128,0.31419,0.31519,0.398,0.39967,0.40766,0.41345,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42409.9,0,247.72,56.25,0.8,-7.9,337.15
2011-03-20,2011,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31255,0.31293,0.31441,0.31546,0.39836,0.40004,0.40721,0.41294,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42673.12,0,312.36,56.25,-0.07,-11.66,240.01
2011-03-21,2011,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31272,0.31305,0.3146,0.31571,0.39887,0.40057,0.40707,0.41277,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42936.4,0,163.13,56.25,-1.61,-6.73,369.11
2011-03-22,2011,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31285,0.31314,0.31476,0.31592,0.39952,0.40123,0.40717,0.41286,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43199.71,0,262.75,56.25,-1.02,-9.49,297.57
2011-03-23,2011,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31294,0.31321,0.31487,0.31608,0.40029,0.40201,0.40752,0.41322,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43463.02,0,364.88,56.25,-2.31,-15.68,167.15
2011-03-24,2011,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31298,0.31325,0.31495,0.31621,0.4012,0.40292,0.40815,0.41388,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43726.3,0,410.01,56.25,-3.44,-21.01,105.16
2011-03-25,2011,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31299,0.31327,0.31498,0.31629,0.40222,0.40394,0.40899,0.41474,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43989.53,0,404.93,56.25,-3.59,-20.32,111.87
2011-03-26,2011,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31295,0.31326,0.31497,0.31631,0.40333,0.40504,0.40996,0.41574,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44252.67,0,398.85,56.25,-3.51,-19.44,120.5
2011-03-27,2011,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31284,0.31318,0.31487,0.31623,0.40476,0.40642,0.41132,0.41717,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44515.7,0,341.66,56.25,-3.07,-14.71,183.15
