#
# 1-day summary product timeseries for eastend
#
# Site: eastend
# Veg Type: WL
# ROI ID Number: 2000
# Lat: 38.10273
# Lon: -121.641318
# Elev: -5
# UTC Offset: -8
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2024-01-21
# Creation Time: 13:54:54
# Update Date: 2025-06-27
# Update Time: 11:13:38
# Final Processing Date:: 2025-06-27
# Final Processing Time:: 15:14:53
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2018-07-06,2018,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40571,0.4053,0.41751,0.42315,0.3608,0.36413,0.36672,0.37518,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,52378.88,0,459.22,0,35.23,18.85,827.49
2018-07-07,2018,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40631,0.40466,0.41954,0.42927,0.36139,0.36437,0.36772,0.37498,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,52329.97,0,492.87,0,37.23,18.6,813.95
2018-07-08,2018,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40688,0.40418,0.42145,0.43442,0.36191,0.3646,0.3686,0.37482,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,52278.04,0,493.21,0,36.61,18.04,783.55
2018-07-09,2018,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40747,0.40389,0.42325,0.43868,0.36236,0.36482,0.36937,0.37472,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,52223.14,0,519.07,0,37.82,17.12,736.78
2018-07-10,2018,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40804,0.40378,0.42494,0.44199,0.36276,0.36503,0.37002,0.37468,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,52165.3,0,492.5,0,37.69,18.78,823.4
2018-07-11,2018,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40861,0.40382,0.42654,0.44439,0.36307,0.36522,0.37055,0.37466,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,52104.56,0,494.83,0,36.17,17.34,747.69
2018-07-12,2018,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40926,0.404,0.42803,0.44616,0.36327,0.36537,0.37095,0.37462,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,52040.95,0,465.06,0,35.86,18.89,829.61
2018-07-13,2018,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41,0.40435,0.42943,0.44651,0.36342,0.3655,0.37123,0.37462,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,51974.53,0,441.28,0,36.05,20.35,913.95
2018-07-14,2018,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41081,0.40488,0.43074,0.44565,0.36352,0.36563,0.3714,0.37468,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,51905.34,0,454.03,0,35.79,19.51,864.62
2018-07-15,2018,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41174,0.40551,0.43193,0.44539,0.36345,0.36567,0.37143,0.37464,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,51833.41,0,477.59,0,34.34,16.89,725.05
