#
# 1-day summary product timeseries for glees
#
# Site: glees
# Veg Type: EN
# ROI ID Number: 4000
# Lat: 41.3644
# Lon: -106.2394
# Elev: 3150
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2024-01-17
# Creation Time: 23:32:17
# Update Date: 2025-06-27
# Update Time: 11:22:33
# Final Processing Date:: 2025-06-27
# Final Processing Time:: 15:39:39
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2020-09-09,2020,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31539,0.32422,0.3261,0.32702,0.41167,0.41394,0.41756,0.4175,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44984.76,0,421.23,74.47,2.5,-7.42,268.23
2020-09-10,2020,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31697,0.32493,0.32691,0.32776,0.41126,0.41344,0.41799,0.41909,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44815.71,0,411.06,73.01,7.18,-2.52,363.37
2020-09-11,2020,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31841,0.32558,0.32769,0.32847,0.41092,0.41302,0.41824,0.42044,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44646.39,4.01,174.85,70.72,4.65,-0.55,586.55
2020-09-12,2020,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31971,0.32617,0.32841,0.32913,0.41065,0.41266,0.41834,0.42156,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44476.84,0,483.5,67.61,13.46,1.41,406.74
2020-09-13,2020,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32086,0.3267,0.32905,0.3297,0.41043,0.41237,0.4184,0.42252,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44307.08,0,535.37,64.16,16.7,2.23,374.98
2020-09-14,2020,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32186,0.32717,0.32963,0.33022,0.41028,0.41215,0.4184,0.4233,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44137.15,0,525.9,60.07,18.06,3.74,417.48
2020-09-15,2020,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3227,0.32758,0.33011,0.33064,0.41022,0.41204,0.4183,0.42389,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43967.06,0,483.75,55.69,17.04,4.41,481.93
2020-09-16,2020,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32342,0.32792,0.33052,0.331,0.41025,0.41204,0.41821,0.42435,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43796.85,0,491.47,51.55,16.92,3.86,459.66
2020-09-17,2020,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32404,0.3282,0.3308,0.33124,0.41037,0.41215,0.41823,0.42477,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43626.55,0,502.3,47.28,17.94,4.19,456.51
2020-09-18,2020,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3245,0.32846,0.33066,0.33112,0.4105,0.41228,0.41794,0.42473,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43456.18,0,477.64,42.62,18.03,5.09,510.11
