#
# 1-day summary product timeseries for harvardgarden
#
# Site: harvardgarden
# Veg Type: AG
# ROI ID Number: 1000
# Lat: 42.5291
# Lon: -72.1863
# Elev: 335
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2022-07-28
# Creation Time: 05:44:03
# Update Date: 2025-06-27
# Update Time: 11:26:18
# Final Processing Date:: 2025-06-27
# Final Processing Time:: 17:35:34
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2016-03-13,2016,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33537,0.33559,0.33602,0.33659,0.31963,0.31838,0.32569,0.33013,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,41779.94,0,477.22,109.57,15.31,-2.09,523.7
2016-03-14,2016,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3356,0.33582,0.33635,0.33691,0.31956,0.31894,0.32577,0.32992,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,41956.94,14.75,112.14,105.89,6.65,2.76,744.75
2016-03-15,2016,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33578,0.33598,0.33661,0.33717,0.31916,0.3191,0.3255,0.32941,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42134.13,4.64,193.27,103.19,7.32,0.43,630
2016-03-16,2016,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33593,0.33611,0.33681,0.33737,0.31871,0.31913,0.32516,0.32886,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42311.49,8.14,317.47,99.66,15.21,2.41,726.56
2016-03-17,2016,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33603,0.3362,0.33696,0.33753,0.31807,0.3189,0.3246,0.32813,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42488.98,3.43,314.01,96.09,14.3,2.49,730.79
2016-03-18,2016,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33611,0.33626,0.33706,0.33764,0.31746,0.31862,0.32405,0.32743,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42666.59,0,298.59,92.94,8.88,1.5,680.73
2016-03-19,2016,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33614,0.33627,0.33711,0.3377,0.31653,0.318,0.32317,0.32642,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42844.28,0,386.8,92.72,4.49,-5.48,406.19
2016-03-20,2016,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33615,0.33626,0.33712,0.33772,0.31574,0.31743,0.3224,0.32555,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43022.03,5.45,320.12,98.17,3.35,-7.78,340.21
2016-03-21,2016,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33617,0.33626,0.33711,0.33771,0.3144,0.31609,0.32109,0.32431,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43199.81,4.57,364.18,102.73,5.88,-7.54,346.74
2016-03-22,2016,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33616,0.33624,0.33706,0.33766,0.31359,0.3152,0.32029,0.32361,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43377.58,0,447.57,102.05,7.33,-4.37,441.81
2016-03-23,2016,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33625,0.33634,0.33709,0.33768,0.3154,0.31687,0.32191,0.3253,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43555.33,0,535.21,100.67,15.21,-2.71,500.17
2016-03-24,2016,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3363,0.33641,0.33709,0.33767,0.31802,0.31932,0.32429,0.32774,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43733.02,1.45,277.16,97.88,7.1,0.64,639.65
2016-03-25,2016,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33616,0.33629,0.33695,0.33751,0.32204,0.32329,0.32811,0.33153,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43910.63,4.04,279.97,95.23,9.18,0.3,624.35
2016-03-26,2016,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33597,0.33611,0.33676,0.33731,0.32743,0.32863,0.33327,0.33664,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44088.13,0,426.9,92.85,10.12,-0.32,596.45
2016-03-27,2016,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33578,0.33593,0.33657,0.33711,0.33174,0.33284,0.33745,0.34078,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44265.48,0,471.52,90.79,11.36,-1.09,563.93
