#
# 1-day summary product timeseries for hwmo1
#
# Site: hwmo1
# Veg Type: DB
# ROI ID Number: 1000
# Lat: 20.0212
# Lon: -155.7331
# Elev: 585
# UTC Offset: -10
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2022-07-28
# Creation Time: 05:45:51
# Update Date: 2025-06-27
# Update Time: 11:28:41
# Final Processing Date:: 2025-06-27
# Final Processing Time:: 22:06:46
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2019-03-18,2019,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40523,0.40804,0.41598,0.41914,0.34796,0.3566,0.3651,0.37126,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42917.67,0,505.03,0,23.94,11.85,1388.43
2019-03-19,2019,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40469,0.40744,0.41554,0.41888,0.34739,0.35609,0.36525,0.37132,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,42988.19,0,472.54,0,23.7,12.95,1491.95
2019-03-20,2019,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40426,0.40701,0.41521,0.41869,0.34685,0.3556,0.36535,0.37133,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43058.74,0,472.26,0,23.26,12.64,1462.27
2019-03-21,2019,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40393,0.40672,0.41497,0.41856,0.34633,0.35512,0.3654,0.37128,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43129.33,0,504.83,0,24.09,12.09,1409.83
2019-03-22,2019,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40366,0.40652,0.41479,0.41847,0.34584,0.35466,0.36538,0.37118,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43199.92,0,492,0,24.03,12.58,1456.74
2019-03-23,2019,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40349,0.40643,0.4147,0.41844,0.34538,0.35423,0.3653,0.37103,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43270.52,0,473.08,0,25.53,14.6,1660.81
2019-03-24,2019,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40339,0.40645,0.41467,0.41845,0.34495,0.35381,0.36516,0.37083,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43341.1,0,432.02,0,24.33,14.87,1690.19
2019-03-25,2019,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40332,0.4065,0.41468,0.41849,0.34455,0.35343,0.36496,0.3706,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43411.66,0,466.47,0,24.68,14.09,1606.7
2019-03-26,2019,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40334,0.40667,0.41477,0.41858,0.34418,0.35306,0.36474,0.37033,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43482.17,0,477.8,0,24.52,13.53,1549.99
2019-03-27,2019,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.4034,0.40689,0.41491,0.4187,0.34384,0.35272,0.36446,0.37002,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43552.64,0.3,513.25,0,24.04,11.79,1382.59
