#
# 1-day summary product timeseries for jershrubland2
#
# Site: jershrubland2
# Veg Type: SH
# ROI ID Number: 1000
# Lat: 32.6638
# Lon: -106.831
# Elev: 1336
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2024-01-07
# Creation Time: 22:07:48
# Update Date: 2025-06-27
# Update Time: 11:33:04
# Final Processing Date:: 2025-06-27
# Final Processing Time:: 22:37:11
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2021-11-05,2021,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34139,0.34101,0.3428,0.34344,0.4952,0.49912,0.51529,0.51925,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37926.38,0,387.08,0,24.48,1.27,370.47
2021-11-06,2021,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34057,0.3402,0.34194,0.34288,0.49481,0.49865,0.51511,0.52027,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37829.39,0,380.4,0,26.73,3.74,417.43
2021-11-07,2021,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33967,0.33932,0.34109,0.34224,0.49445,0.49821,0.51494,0.5212,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37733.75,0,382.55,0,26.4,2.81,391.57
2021-11-08,2021,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33871,0.33839,0.34026,0.34155,0.49411,0.4978,0.51479,0.52204,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37639.51,0,348.2,0,24.39,4.44,491.82
2021-11-09,2021,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33774,0.33745,0.33945,0.34083,0.49379,0.49744,0.51468,0.52278,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37546.71,0,363.16,0,24.02,2.15,406.75
2021-11-10,2021,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33677,0.33652,0.33865,0.34011,0.49348,0.49711,0.51459,0.52339,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37455.38,0,330.69,0,22.25,3.49,494.92
2021-11-11,2021,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33577,0.33556,0.33788,0.33934,0.49319,0.49682,0.51454,0.52389,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37365.57,0,334.52,0,21.29,2.03,448.74
2021-11-12,2021,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33473,0.33457,0.33713,0.33853,0.49292,0.49657,0.5145,0.52428,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37277.31,0,366.33,0,22.86,-0.18,334.08
2021-11-13,2021,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33375,0.33362,0.3364,0.33775,0.49269,0.49634,0.51448,0.52459,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37190.65,0,368.62,0,23.02,-0.49,255.6
2021-11-14,2021,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33271,0.33264,0.33567,0.33691,0.49249,0.49614,0.51448,0.52485,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37105.63,0,370.74,0,24.54,0.18,260.15
