#
# 1-day summary product timeseries for jershrubland2
#
# Site: jershrubland2
# Veg Type: XX
# ROI ID Number: 1000
# Lat: 32.6638
# Lon: -106.831
# Elev: 1336
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2022-07-28
# Creation Time: 05:48:21
# Update Date: 2025-06-27
# Update Time: 11:33:01
# Final Processing Date:: 2025-06-27
# Final Processing Time:: 22:37:31
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2021-11-05,2021,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32235,0.3214,0.32359,0.32626,0.47889,0.48341,0.49168,0.49757,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37926.38,0,387.08,0,24.48,1.27,370.47
2021-11-06,2021,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32183,0.32096,0.32322,0.32591,0.47934,0.48343,0.49214,0.49751,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37829.39,0,380.4,0,26.73,3.74,417.43
2021-11-07,2021,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32132,0.32053,0.32287,0.32557,0.47977,0.48342,0.49254,0.49756,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37733.75,0,382.55,0,26.4,2.81,391.57
2021-11-08,2021,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32082,0.32012,0.32253,0.32524,0.48014,0.48338,0.49289,0.49771,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37639.51,0,348.2,0,24.39,4.44,491.82
2021-11-09,2021,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32036,0.31973,0.3222,0.32493,0.48043,0.48331,0.49317,0.4979,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37546.71,0,363.16,0,24.02,2.15,406.75
2021-11-10,2021,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31991,0.31936,0.32189,0.32463,0.48065,0.48322,0.49339,0.49817,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37455.38,0,330.69,0,22.25,3.49,494.92
2021-11-11,2021,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31948,0.319,0.3216,0.32435,0.4808,0.48309,0.49355,0.49852,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37365.57,0,334.52,0,21.29,2.03,448.74
2021-11-12,2021,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31909,0.31866,0.3213,0.32408,0.48085,0.48295,0.49365,0.4989,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37277.31,0,366.33,0,22.86,-0.18,334.08
2021-11-13,2021,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31873,0.31833,0.32102,0.3238,0.4808,0.48278,0.4937,0.49925,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37190.65,0,368.62,0,23.02,-0.49,255.6
2021-11-14,2021,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31845,0.31801,0.32074,0.32354,0.48064,0.48259,0.4937,0.49979,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37105.63,0,370.74,0,24.54,0.18,260.15
