#
# 1-day summary product timeseries for mead2
#
# Site: mead2
# Veg Type: AG
# ROI ID Number: 2000
# Lat: 41.1649
# Lon: -96.4701
# Elev: 362
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2024-01-19
# Creation Time: 11:28:42
# Update Date: 2025-06-27
# Update Time: 11:38:20
# Final Processing Date:: 2025-06-28
# Final Processing Time:: 12:05:12
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2023-01-11,2023,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32542,0.32563,0.32627,0.32672,0.34764,0.35105,0.35652,0.36124,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,33324.28,0,187.99,0,3.42,-4,454.47
2023-01-12,2023,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32565,0.32584,0.32651,0.32691,0.35072,0.35339,0.35884,0.36307,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,33401.03,0,87.09,0,-2.72,-5.69,399.57
2023-01-13,2023,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32586,0.32604,0.32672,0.32709,0.35335,0.35536,0.36076,0.36459,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,33480.87,0,185.4,0,-1.71,-8.72,316.35
2023-01-14,2023,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32605,0.32623,0.32691,0.32726,0.35558,0.35705,0.36238,0.36588,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,33563.76,0,258.28,0,6.23,-7.5,347.7
2023-01-15,2023,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32624,0.32641,0.32707,0.32742,0.35731,0.35835,0.36363,0.36688,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,33649.64,0,240.66,0,8.12,-3.04,488.07
2023-01-16,2023,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32641,0.32657,0.32721,0.32757,0.35869,0.35939,0.36464,0.36769,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,33738.45,0,205.15,0,7.55,-0.63,583.26
2023-01-17,2023,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32657,0.32672,0.32734,0.3277,0.35968,0.36014,0.36533,0.36826,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,33830.15,0,178.88,0,5.23,-1.38,551.93
2023-01-18,2023,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32672,0.32686,0.32744,0.32781,0.36035,0.36068,0.36583,0.36868,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,33924.67,15.37,81.79,0,0.4,-3.25,480.47
2023-01-19,2023,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32685,0.32699,0.32751,0.32792,0.3602,0.36058,0.36561,0.36856,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,34021.95,0,76.45,0,-1.02,-3.45,473.47
2023-01-20,2023,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32698,0.32711,0.32755,0.32801,0.35973,0.3603,0.36525,0.36833,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,34121.95,0,179.51,0,0.54,-5.77,397.24
2023-01-21,2023,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32709,0.32721,0.32753,0.32808,0.35819,0.35943,0.36469,0.3677,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,34224.6,0,188.43,0,-0.91,-7.51,347.44
2023-01-22,2023,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32718,0.3273,0.32752,0.32814,0.35707,0.35897,0.36454,0.3675,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,34329.83,0,160.29,0,-4.7,-10.01,285.78
2023-01-23,2023,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32726,0.32737,0.32764,0.32819,0.35795,0.36012,0.3659,0.36894,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,34437.6,0,287.85,0,2.08,-13.36,218.28
2023-01-24,2023,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32732,0.32742,0.32778,0.32822,0.35968,0.36204,0.36794,0.37105,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,34547.84,0,260.8,0,2.53,-8.33,325.91
2023-01-25,2023,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32736,0.32746,0.32798,0.32825,0.36321,0.36558,0.37106,0.37417,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,34660.49,0,193.16,0,-1.69,-8.19,329.71
2023-01-26,2023,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32738,0.32748,0.32814,0.32825,0.36755,0.36989,0.37487,0.37797,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,34775.5,0,292.7,0,2.11,-12.48,234.37
2023-01-27,2023,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32738,0.32746,0.32816,0.32821,0.37335,0.37554,0.37981,0.38285,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,34892.79,0,275.37,0,4.49,-7.23,355.08
2023-01-28,2023,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32735,0.32741,0.32812,0.32815,0.37962,0.3816,0.38521,0.38824,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,35012.32,0,186.18,0,-3.71,-9.67,293.49
2023-01-29,2023,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32731,0.32735,0.32801,0.32808,0.38566,0.38736,0.39095,0.39431,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,35134.03,0,156.11,0,-12.9,-17.61,153.22
2023-01-30,2023,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32726,0.32729,0.32785,0.328,0.39163,0.39303,0.39673,0.40043,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,35257.84,0,216.72,0,-10.78,-17.74,151.63
2023-01-31,2023,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32717,0.32718,0.32761,0.32788,0.3968,0.39816,0.40217,0.4061,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,35383.71,0,305.25,0,-3.41,-17.36,156.5
