#
# 1-day summary product timeseries for sequoia1
#
# Site: sequoia1
# Veg Type: EN
# ROI ID Number: 1000
# Lat: 37.51
# Lon: -119.63
# Elev: 2000
# UTC Offset: -8
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2024-08-20
# Creation Time: 15:09:31
# Update Date: 2025-06-29
# Update Time: 12:07:13
# Final Processing Date:: 2025-06-30
# Final Processing Time:: 12:00:36
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2023-06-15,2023,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36926,0.36915,0.36976,0.37038,0.37529,0.37485,0.37617,0.37728,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,52467.37,0,490.75,0,24.46,11.01,1228.01
2023-06-16,2023,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36926,0.36915,0.36976,0.37038,0.37529,0.37485,0.37617,0.37728,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,52485.84,0,490.85,0,24.88,11.42,1258.42
2023-06-17,2023,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36926,0.36915,0.36976,0.37038,0.37529,0.37485,0.37617,0.37728,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,52501.12,0,516.35,0,26.15,11.43,1184.16
2023-06-18,2023,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36926,0.36915,0.36976,0.37038,0.37529,0.37485,0.37617,0.37728,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,52513.19,0,506.54,0,24.12,10.36,1011.04
2023-06-19,2023,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36926,0.36915,0.36976,0.37038,0.37529,0.37485,0.37617,0.37728,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,52522.06,0,503.01,0,19.49,6.39,760.98
2023-06-20,2023,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36926,0.36915,0.36976,0.37038,0.37529,0.37485,0.37617,0.37728,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,52527.71,0,570.74,0,20.17,3.61,498.67
2023-06-21,2023,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36926,0.36915,0.36976,0.37038,0.37529,0.37485,0.37617,0.37728,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,52530.13,0,567.32,0,22.41,5.83,545.15
2023-06-22,2023,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36926,0.36915,0.36976,0.37038,0.37529,0.37485,0.37617,0.37728,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,52529.33,0,526.54,0,20.85,6.67,582.83
2023-06-23,2023,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36926,0.36915,0.36976,0.37038,0.37529,0.37485,0.37617,0.37728,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,52525.31,0,527.07,0,19.92,5.68,550.98
2023-06-24,2023,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36926,0.36915,0.36976,0.37038,0.37529,0.37485,0.37617,0.37728,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,52518.07,0,524.26,0,22.19,7.84,623.14
