#
# 1-day summary product timeseries for twitchellalfalfa2
#
# Site: twitchellalfalfa2
# Veg Type: AG
# ROI ID Number: 1000
# Lat: 38.11542167
# Lon: -121.64666623
# Elev: -9
# UTC Offset: -8
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2024-03-22
# Creation Time: 10:48:55
# Update Date: 2024-03-22
# Update Time: 10:48:57
# Final Processing Date:: 2025-06-30
# Final Processing Time:: 15:07:04
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2016-09-02,2016,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38086,0.38218,0.38428,0.38705,0.45547,0.46081,0.47583,0.48104,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,45838.57,0,432.31,0,30.64,14,595
2016-09-03,2016,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37949,0.38029,0.38216,0.38493,0.45293,0.45637,0.46926,0.47393,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,45690.28,0,360.97,0,28.03,15.22,647.31
2016-09-04,2016,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3787,0.37907,0.38076,0.38349,0.45073,0.45263,0.46348,0.46775,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,45541.55,0,431.08,0,29.95,13.33,568.06
2016-09-05,2016,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37851,0.37856,0.38012,0.38276,0.44896,0.44974,0.45872,0.46275,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,45392.4,0,472.76,0,32.59,12.63,540.65
2016-09-06,2016,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37885,0.37871,0.38017,0.38271,0.44739,0.44746,0.45477,0.45876,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,45242.87,0,467.44,0,34.53,14.57,618.71
2016-09-07,2016,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37967,0.37945,0.38087,0.38326,0.44599,0.44572,0.45145,0.45558,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,45092.99,0,415.21,0,33.08,16.87,724.48
2016-09-08,2016,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38118,0.38113,0.38266,0.38491,0.44416,0.44419,0.44863,0.45356,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44942.77,0,406.51,0,32.05,16.4,701.4
2016-09-09,2016,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38316,0.38337,0.38504,0.38715,0.44246,0.44319,0.44664,0.45246,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44792.26,0,427.43,0,32.67,15.56,662.46
2016-09-10,2016,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.386,0.38669,0.38863,0.39061,0.44075,0.44346,0.44669,0.45355,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44641.48,0,446.98,0,34.4,15.53,661.05
2016-09-11,2016,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38892,0.38988,0.39175,0.39344,0.44089,0.44492,0.44771,0.45473,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44490.45,0,367.35,0,26.75,13.35,568.72
2016-09-12,2016,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39154,0.3927,0.39447,0.39588,0.44113,0.44611,0.4487,0.45563,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44339.2,0,356.23,0,24.94,12.21,525.16
2016-09-13,2016,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39377,0.3948,0.39635,0.39759,0.44085,0.44529,0.44808,0.45459,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44187.76,0,405.67,0,25.28,9.92,446.48
2016-09-14,2016,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39495,0.39562,0.39731,0.39854,0.43864,0.44196,0.44563,0.45083,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,44036.15,0,427.23,0,29.25,12.16,523.31
2016-09-15,2016,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39489,0.39516,0.39703,0.39826,0.43671,0.43869,0.4433,0.44699,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43884.41,0,433.9,0,31.02,13.15,560.88
2016-09-16,2016,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39177,0.39174,0.39391,0.39518,0.43495,0.43523,0.44015,0.44245,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,43732.55,0,462.07,0,33.9,12.9,551.16
