#
# 1-day summary product timeseries for umichbiological2
#
# Site: umichbiological2
# Veg Type: DB
# ROI ID Number: 3000
# Lat: 45.5625
# Lon: -84.6976
# Elev: 240
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2023-08-14
# Creation Time: 13:04:33
# Update Date: 2025-06-30
# Update Time: 12:28:51
# Final Processing Date:: 2025-06-30
# Final Processing Time:: 15:28:37
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2022-06-29,2022,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41421,0.4153,0.42302,0.42887,0.34569,0.34656,0.35404,0.35775,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,55673.23,0,379.99,0,22.23,11.27,1335.55
2022-06-30,2022,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41574,0.41677,0.4242,0.42975,0.34704,0.34797,0.35511,0.35883,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,55636.4,8.55,340.83,0,27.71,12.63,1461.02
2022-07-01,2022,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41701,0.41801,0.42515,0.43042,0.3483,0.34929,0.35613,0.35987,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,55595.21,0,312.8,0,22.52,13.8,1577.08
2022-07-02,2022,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41804,0.41903,0.42589,0.43092,0.34947,0.35052,0.35709,0.36085,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,55549.69,0,353.62,0,21.9,12.02,1403.55
2022-07-03,2022,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41888,0.41988,0.42648,0.43128,0.35055,0.35165,0.358,0.36177,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,55499.87,2.54,370.01,0,23.49,6.95,998.16
2022-07-04,2022,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41951,0.42053,0.42689,0.43148,0.35154,0.35269,0.35885,0.36264,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,55445.81,14.48,317.72,0,24.83,11.98,1399.94
2022-07-05,2022,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41995,0.421,0.42713,0.43154,0.35246,0.35364,0.35966,0.36346,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,55387.53,4.62,224.68,0,23.33,15.16,1721.78
2022-07-06,2022,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42024,0.42133,0.42725,0.4315,0.3533,0.35452,0.3604,0.36422,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,55325.09,0,308.96,0,22.71,14.21,1620.12
2022-07-07,2022,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42026,0.42143,0.42716,0.43127,0.35407,0.35533,0.36109,0.36493,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,55258.54,0,434.99,0,25.08,11.52,1357.97
2022-07-08,2022,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42013,0.42138,0.42693,0.43093,0.35478,0.35607,0.36173,0.36558,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,55187.94,0,381.64,0,23.49,12.43,1442.11
