#
# 1-day summary product timeseries for westpond2
#
# Site: westpond2
# Veg Type: WL
# ROI ID Number: 1000
# Lat: 38.1074
# Lon: -121.6469
# Elev: -5
# UTC Offset: -8
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2024-05-17
# Creation Time: 12:25:46
# Update Date: 2024-05-17
# Update Time: 12:25:47
# Final Processing Date:: 2025-07-07
# Final Processing Time:: 12:22:05
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,dayl..s.,prcp..mm.day.,srad..W.m.2.,swe..kg.m.2.,tmax..deg.c.,tmin..deg.c.,vp..Pa.
2022-10-20,2022,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36206,0.3636,0.36528,0.3676,0.41905,0.42399,0.43004,0.43576,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,38828.85,0,329.24,0,32.04,15.29,650.17
2022-10-21,2022,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36173,0.36336,0.36514,0.36719,0.42039,0.42462,0.43181,0.43804,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,38689.24,0,333.19,0,28.61,11.44,497.45
2022-10-22,2022,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36139,0.36309,0.36497,0.36678,0.42173,0.42526,0.43356,0.44026,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,38550.56,0,241.88,0,25.13,14.24,604.8
2022-10-23,2022,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36103,0.36279,0.36476,0.36638,0.42306,0.4259,0.4353,0.44244,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,38412.83,0,275.4,0,22.59,9.88,445.13
2022-10-24,2022,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36063,0.36243,0.36448,0.36596,0.42438,0.42651,0.43704,0.44458,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,38276.09,0,311.57,0,24.74,9.34,428.11
2022-10-25,2022,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36021,0.36205,0.36417,0.36553,0.4257,0.42707,0.43878,0.44668,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,38140.4,0,287.7,0,23.74,9.99,448.78
2022-10-26,2022,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35977,0.36163,0.36382,0.36509,0.42704,0.42763,0.44051,0.44874,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,38005.79,0,308.49,0,23.14,7.72,380.75
2022-10-27,2022,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35927,0.36113,0.36337,0.3646,0.42839,0.42824,0.44223,0.45077,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37872.29,0,302.45,0,23.53,8.41,400.37
2022-10-28,2022,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35874,0.36052,0.36281,0.36412,0.42976,0.42897,0.44391,0.45277,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37739.96,0,302.76,0,22.92,7.65,378.96
2022-10-29,2022,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35816,0.35984,0.36216,0.36359,0.43114,0.42989,0.44556,0.45473,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37608.84,0,314.99,0,25.13,8.43,400.9
2022-10-30,2022,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35741,0.35896,0.36123,0.36279,0.43255,0.43069,0.44725,0.45667,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37478.97,0,311.8,0,25.56,8.9,414.86
2022-10-31,2022,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35655,0.35793,0.36011,0.36185,0.434,0.43119,0.44904,0.45856,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37350.4,0,279.66,0,22.71,8.74,410.2
2022-11-01,2022,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35577,0.35701,0.35915,0.36103,0.43546,0.43172,0.45081,0.46041,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37223.18,7.67,138.94,0,18.18,9.57,808.59
2022-11-02,2022,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35519,0.35628,0.35843,0.36039,0.43691,0.43256,0.45249,0.46222,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,37097.34,2.4,154.49,0,16.68,7.14,650.09
2022-11-03,2022,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3546,0.35556,0.35774,0.35974,0.43832,0.43402,0.45398,0.46398,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,36972.94,0,282.14,0,17.4,3.35,275.29
2022-11-04,2022,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35396,0.35488,0.3571,0.35911,0.4398,0.43687,0.45536,0.4657,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,36850.03,0,278.25,0,18.83,4.9,309.21
